"arm","iteration","deviance"
"near.separable",0,14.8957443190907
"near.separable",1,6.72849510063435
"near.separable",2,6.69576622162799
"near.separable",3,6.46017685803134
"near.separable",4,6.425942390458
"near.separable",5,6.42033481443528
"near.separable",6,6.41998958716117
"near.separable",7,6.41998740175631
"near.separable",8,6.41998740164921
"near.separable",9,6.41998740164922
"exactly.separable",0,16.3170687631615
"exactly.separable",1,2.35127620946811
"exactly.separable",2,0.781425434771162
"exactly.separable",3,0.278461702176592
"exactly.separable",4,0.101304671547247
"exactly.separable",5,0.0371179915619227
"exactly.separable",6,0.0136348677442772
"exactly.separable",7,0.00501335435279851
"exactly.separable",8,0.00184410391304148
"exactly.separable",9,0.000678514198834899
"exactly.separable",10,0.000249682664502096
"exactly.separable",11,9.18839107044502e-05
"exactly.separable",12,3.38142835419552e-05
"exactly.separable",13,1.24441642405756e-05
"exactly.separable",14,4.58033510889448e-06
"exactly.separable",15,1.68685512584752e-06
"exactly.separable",16,6.21987322695559e-07
"exactly.separable",17,2.29990746977449e-07
"exactly.separable",18,8.94249929972879e-08
"exactly.separable",19,5.55900657380526e-08
"exactly.separable",20,4.1491031152805e-08
"exactly.separable",21,3.33944899166566e-08
"exactly.separable",22,2.80590737831658e-08
"exactly.separable",23,2.42500667602902e-08
"exactly.separable",24,2.13823315962614e-08
"exactly.separable",25,1.91393769659462e-08
"exactly.separable",26,1.73338539254522e-08
"exactly.separable",27,1.58472882808572e-08
"exactly.separable",28,1.46008639103712e-08
"exactly.separable",29,1.35399969726807e-08
"exactly.separable",30,1.26256248207721e-08
"exactly.separable",31,1.18290211377747e-08
"exactly.separable",32,1.11285684833723e-08
"exactly.separable",33,1.05076742242992e-08
"exactly.separable",34,9.95338304790222e-09
"exactly.separable",35,9.45542695871818e-09
"exactly.separable",36,9.00555837984837e-09
"exactly.separable",37,8.59707552182909e-09
"exactly.separable",38,8.2244735276631e-09
"exactly.separable",39,7.88318805911833e-09
"exactly.separable",40,7.56940151697461e-09
"exactly.separable",41,7.27989626658224e-09
"exactly.separable",42,7.01194005733794e-09
"exactly.separable",43,6.76319725864637e-09
"exactly.separable",44,6.53166062713843e-09
"exactly.separable",45,6.31559353482247e-09
"exactly.separable",46,6.11348668286082e-09
"exactly.separable",47,5.92402205104813e-09
"exactly.separable",48,5.74604308110563e-09
"exactly.separable",49,5.57853026081503e-09
"exactly.separable",50,5.42058213685651e-09
