"dataset.id","gtag","generator","n","p","d","seed","sigma","params","sha256"
"G1-D2-n600","G1","dgp.g1",600,2,"2",1,"0","n=600; D=2; sigma=0; seed=1","140fcd33ccd2900f054249124ce42f10571e8e6a24ae08d4761a7ea770fb204b"
"G2-d2D3-n600","G2","dgp.g2",600,3,"2",1,"0","n=600; d=2; D=3; sigma=0; seed=1","1ca4b944057d12248f4314fd75a1cdf41d434fa717ccb7925d0b13831b23b3b4"
"G3a-R1-lin-noiseless","G3a","dgp.g3a",600,3,"2",1,"0","n=600; R=1; truth=linear; sigma=0; seed=1","7a06dcbd34c6bd35e35c3393b0444c32ee18e776a1f961847f29df6e0f79c2c7"
"G3a-R2-lin-noiseless","G3a","dgp.g3a",600,3,"2",1,"0","n=600; R=2; truth=linear; sigma=0; seed=1","6664004a06816ffc476f2f030e8e1415e2772f5608b80cf403fd5fc3afd26cf1"
"G3a-R4-lin-noiseless","G3a","dgp.g3a",600,3,"2",1,"0","n=600; R=4; truth=linear; sigma=0; seed=1","0a95ff438c7e229c26d67b115e469fbc759740cd55d4ae36ee2952e547fdd581"
"G3a-R8-lin-noiseless","G3a","dgp.g3a",600,3,"2",1,"0","n=600; R=8; truth=linear; sigma=0; seed=1","d0df7d7c0ffdb99da0f1c0bccc53674a7f8a08c86bd8d27d36e730e80b959caa"
"G3a-R1-smooth-s003-n600","G3a","dgp.g3a",600,3,"2",1,"0.03","n=600; R=1; truth=smooth; sigma=0.03; seed=1","779136d774f346983752665a74b22f6a9c28ef01810f7af42425cff159721268"
"G3a-R1-smooth-s010-n600","G3a","dgp.g3a",600,3,"2",1,"0.1","n=600; R=1; truth=smooth; sigma=0.1; seed=1","76f726aea94230bb7d7db1b44bcfe4e07fc31e3bcee834283a121f591a9dd92d"
"G3a-R1-smooth-s003-n1600","G3a","dgp.g3a",1600,3,"2",1,"0.03","n=1600; R=1; truth=smooth; sigma=0.03; seed=1","1174eca84cb03f49e708067f6850c7ec17ed7ceb139717c1ef7856e5482e7627"
"G3a-R4-smooth-s001-n400","G3a","dgp.g3a",400,3,"2",1,"0.01","n=400; R=4; truth=smooth; sigma=0.01; seed=1","439d6ac46aa445ce03e03fcc08a914103dbb5472978af05abe27b31a8cd19460"
"G3a-R1-smooth-s010-n1200","G3a","dgp.g3a",1200,3,"2",1,"0.1","n=1200; R=1; truth=smooth; sigma=0.1; seed=1","b5a2e07699378e74eecbeeef5fb2b1108e3701a43601c4623babb81a9d204614"
"G3b-R2-smooth-s003-n600","G3b","dgp.g3b",600,3,"2",1,"0.03","n=600; R=2; rho0=1; truth=smooth; sigma=0.03; seed=1","b3800f58b2fbef97d796799fcd3e11efb0b61aa53c049150d0cb313738321e14"
"G3b-R2-smooth-s001-n1600","G3b","dgp.g3b",1600,3,"2",1,"0.01","n=1600; R=2; rho0=1; truth=smooth; sigma=0.01; seed=1","876763db25fea4ef536f9630d3b42a387b888a5b1e276c6feafc3742b90c1afa"
"G3c-c02-n600","G3c","dgp.g3c",600,3,"1",1,"0.1","n=600; c=0.2; sigma=0.1; seed=1","ef8a341a899f5e42282b5b3d741df5bab8ed4be5aa57bd28058ba39212ce8e62"
"G3d-smooth-s003-n600","G3d","dgp.g3d",600,3,"2",1,"0.03","n=600; truth=smooth; sigma=0.03; seed=1","5fd1bbd2ddf995a949965af5b88d45348e8336029df878d632279d584233c95b"
"G3d-smooth-s010-n600","G3d","dgp.g3d",600,3,"2",1,"0.1","n=600; truth=smooth; sigma=0.1; seed=1","fae45fe0a80ed84eaf5b430dc2a215153a971dcb719e1f920d454c980af61bc7"
"G3d-smooth-s003-n1600","G3d","dgp.g3d",1600,3,"2",1,"0.03","n=1600; truth=smooth; sigma=0.03; seed=1","eacb52a7d30e41bebe81937d60ff5fd25916294468f3d0d0cb12fa38757075e8"
"G4-n600","G4","dgp.g4",600,3,"varies",1,"0.1","n=600; fracA=0.5; eta=0.02; sigma=0.1; seed=1","d4c87e8539549e10ca10138536e73a05f875ec8260a39c455e154c399058251c"
"G4-n800","G4","dgp.g4",800,3,"varies",1,"0.1","n=800; fracA=0.5; eta=0.02; sigma=0.1; seed=1","e3fc4e9eb57aef3f35416cf50494e6378711fd20675a28449a6eb0eea5a1330c"
"G5-K40-m20-rho03","G5","dgp.g5",800,2,"2",1,"0.1","K=40; m=20; rho=0.3; sigma=0.1; seed=1","eb9edabc4d7da0a6ac589d976f3979142acf95f86617d80da5ff49382c30e0e7"
"G5-K40-m20-rho06","G5","dgp.g5",800,2,"2",1,"0.1","K=40; m=20; rho=0.6; sigma=0.1; seed=1","1dfbfcef1c91badfad7aacb6eb6473fb7e54df99f34ad7c3208a0163ea6d3c8f"
"G6-prev050-n400","G6","dgp.g6",400,2,"2",1,"NA","n=400; prevalence=0.5; seed=1","3956d3736671aae8fc880cea267703d5c8559ae7628a3c5078912b8416a25f07"
"G6-prev030-n400","G6","dgp.g6",400,2,"2",1,"NA","n=400; prevalence=0.3; seed=1","133724a4dddab0000ad48f621894aafb375848f6181e63ce90ca3d75a9ed4cc0"
"G7-D5-zf05-n600","G7","dgp.g7",600,5,"varies",1,"0.1","n=600; D=5; zero.fraction=0.5; zero.parts=5; sigma=0.1; seed=1","63ea7c7f4bcf44b8161404c149a644db83f1465c51448ef0d62e8663d82e6de8"
