"checksum.id","instance.id","content.sha256","payload.contract","serialization","r.version","platform","architecture","endianness","status"
"geosmooth.g1.default.v1.content.v1","geosmooth.g1.default.v1","584cf4ff9e78ccb120028615351491fca8f0897ad02fcfc7d9e412095749f8b7","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g2.default.v1.content.v1","geosmooth.g2.default.v1","63f436512af7f60efcd0a37f4f2077f94fabab2f9c8b2b85e1508110ad34d4a9","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g3a.default.v1.content.v1","geosmooth.g3a.default.v1","3632552641c2ced97077246955cc3f6c64c1a48d932d1f15fed733460c7a35f4","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g3b.default.v1.content.v1","geosmooth.g3b.default.v1","f4ce1ee2a7172ad9dcbe4acce358846c8c521c68a7edb2e36cc4b84a8a989af1","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g3c.default.v1.content.v1","geosmooth.g3c.default.v1","7f2598e15b9ea210085fbe6e0bb014253ee4415eb15cfd322309aec51b687663","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g3d.default.v1.content.v1","geosmooth.g3d.default.v1","1bc458504bec37c18815eff2c88ba6b9c02816e9402d03be468b26c69153dedd","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g4.default.v1.content.v1","geosmooth.g4.default.v1","579bfdb91505fef310a8f4375d2f5edd264ff1e6012a780169f6d8da9d3650f5","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g5.default.v1.content.v1","geosmooth.g5.default.v1","db3c35064c3a2ff9ee3221349ee363cb18bbfd6bca56eeaf12e399a05da8f223","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g6.default.v1.content.v1","geosmooth.g6.default.v1","2584eb508c6ac39a2c048949c131712dc569abc893c331ccc89afe7686a81b3a","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
"geosmooth.g7.default.v1.content.v1","geosmooth.g7.default.v1","1fdd9460f00dcfdcb01e76deae32f3d3aff13a59f3b75c9755f2c294e279c2e1","synthetic-content-v1","R-xdr-v3","R Under development (unstable) (2026-06-24 r90190)","aarch64-apple-darwin23","aarch64","little","active"
