"field","type","required","description"
"r.version","character",TRUE,"Full R version and build string"
"platform","character",TRUE,"R build platform"
"architecture","character",TRUE,"R architecture"
"compiler","character",TRUE,"Configured C++17 compiler command and version"
"os.name","character",TRUE,"Operating-system name"
"os.release","character",TRUE,"Operating-system release"
"os.version","character",TRUE,"Operating-system version"
"os.machine","character",TRUE,"Operating-system machine architecture"
"endianness","character",TRUE,"Machine byte order"
"rng.policy","character",TRUE,"Synthetic-data RNG policy"
"rng.kind","character",TRUE,"Effective uniform RNG kind"
"normal.kind","character",TRUE,"Effective normal RNG kind"
"sample.kind","character",TRUE,"Effective sample RNG kind"
"rng.version","character",TRUE,"RNGversion explicitly established before materialization"
"blas.path","character",TRUE,"Absolute BLAS library path"
"blas.sha256","character",TRUE,"BLAS library file SHA-256"
"lapack.path","character",TRUE,"Absolute LAPACK library path"
"lapack.sha256","character",TRUE,"LAPACK library file SHA-256"
"lapack.version","character",TRUE,"LAPACK runtime version"
"math.runtime","character",TRUE,"libm or equivalent linked math-runtime identity"
"geosmooth.version","character",TRUE,"geosmooth package version"
"registry.schema.version","integer",TRUE,"Synthetic registry schema version"
"evaluator.registry.version","integer",TRUE,"Truth evaluator registry version"
"dependency.versions","character",TRUE,"Pinned versions of registry and generator dependencies"
