"component.id","kind","family","version","parameters","component.sha256"
"geometry.g4.segment.rectangle.34f7adb362291868","geometry","g4.segment.rectangle",1,"{""type"":""list"",""names"":[""ambient.dim"",""intrinsic.dim"",""intrinsic.dim.by.region"",""codimension.by.region"",""eta"",""declared.regions""],""values"":{""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[null]},""intrinsic.dim.by.region"":{""type"":""integer"",""names"":[""A"",""B""],""values"":[1,2]},""codimension.by.region"":{""type"":""integer"",""names"":[""A"",""B""],""values"":[2,1]},""eta"":{""type"":""double"",""names"":null,""values"":[0.02]},""declared.regions"":{""type"":""character"",""names"":null,""values"":[""A"",""B""]}}}","34f7adb362291868fb679717b8a2ec1d6e08d8d0cb288253b92a06dd420c50a2"
"geometry.helix.410d0bba6d8198ee","geometry","helix",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""canonical.dim"",""pitch"",""t.range"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[1]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""pitch"":{""type"":""double"",""names"":null,""values"":[0.20000000000000001]},""t.range"":{""type"":""double"",""names"":null,""values"":[0,6.2831853071795862]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0]}}}","410d0bba6d8198ee53ec2244678507a7d4a7cfcbca4393b90e42381200585ae9"
"geometry.quadform.01ee2a66869a5e2e","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":4,""ncol"":4,""values"":[[2,0,0,0],[0,2,0,0],[0,0,4,0],[0,0,0,-8]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0,0]}}}","01ee2a66869a5e2eb00990c2c1b1e6f31c31011b30ad19ffe1377c4e24813253"
"geometry.quadform.02e75e9b3c8fd480","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":4,""ncol"":4,""values"":[[0.34999999999999998,0,0,0],[0,0.34999999999999998,0,0],[0,0,-0.69999999999999996,0],[0,0,0,-1.3999999999999999]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0,0]}}}","02e75e9b3c8fd480c761097ae16f67f7c755b76a41d5491eb0eb43ca33f71770"
"geometry.quadform.04b3c1f18fd8e830","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[2]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":2,""ncol"":2,""values"":[[0.34999999999999998,0],[0,-0.34999999999999998]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0]}}}","04b3c1f18fd8e8301206cb32e9df894177bb88a34753ce1689389c264924b10b"
"geometry.quadform.08a331c7f7c45ae0","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[2]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[2]},""forms"":{""type"":""list"",""names"":null,""values"":[]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[2]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0]}}}","08a331c7f7c45ae0277c6ca25a3624dbf55c1a7ab4192acf6eefc8ea3054a1e4"
"geometry.quadform.10e84aa3e8e9714e","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":4,""ncol"":4,""values"":[[0.84999999999999998,0,0,0],[0,-0.84999999999999998,0,0],[0,0,-1.7,0],[0,0,0,-3.3999999999999999]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0,0]}}}","10e84aa3e8e9714e059137dea3ae27f843ede5f616d559a5af17e0d4a3c3ca76"
"geometry.quadform.1abdfd2de75e1f24","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":4,""ncol"":4,""values"":[[1.5,0,0,0],[0,1.5,0,0],[0,0,3,0],[0,0,0,6]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0,0]}}}","1abdfd2de75e1f2446fa1920e19452dc4b1bf35f6c9b1def041b526d1bb195f4"
"geometry.quadform.2bf4a2f20cc6b77e","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":4,""ncol"":4,""values"":[[1.25,0,0,0],[0,1.25,0,0],[0,0,2.5,0],[0,0,0,5]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[5]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0,0]}}}","2bf4a2f20cc6b77e33f5a131fb8179a5defbbd53748b52a26c37205b3cf40ca1"
"geometry.quadform.3337c547c2dbd2ac","geometry","quadform",1,"{""type"":""list"",""names"":[""intrinsic.dim"",""ambient.dim"",""forms"",""canonical.dim"",""frame"",""frame.algorithm"",""frame.matrix"",""offset""],""values"":{""intrinsic.dim"":{""type"":""integer"",""names"":null,""values"":[3]},""ambient.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""forms"":{""type"":""list"",""names"":null,""values"":[{""type"":""double.matrix"",""nrow"":3,""ncol"":3,""values"":[[0.84999999999999998,0,0],[0,-0.84999999999999998,0],[0,0,-1.2749999999999999]],""row.names"":null,""column.names"":null}]},""canonical.dim"":{""type"":""integer"",""names"":null,""values"":[4]},""frame"":{""type"":""character"",""names"":null,""values"":[""canonical""]},""frame.algorithm"":{""type"":""null""},""frame.matrix"":{""type"":""null""},""offset"":{""type"":""double"",""names"":null,""values"":[0,0,0,0]}}}","3337c547c2dbd2ac08b96d96a910d33c5fffb0635fb7dcd7bbf52215d8806def"
