"instance.id","recipe.id","n","seed","rng.policy","checksum.id","fixture.path","status","version","content.sha256"
"geosmooth.g1.default.v1","G1",128,202,"legacy","geosmooth.g1.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g1.default.v1.rds","active",1,"1c5a4fd80f90f5a1dbb18f0b480547dd8cc2a248bb6f87446f8411106584c35f"
"geosmooth.g2.default.v1","G2",128,203,"legacy","geosmooth.g2.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g2.default.v1.rds","active",1,"248702db90aba1ed8b9c8139c633b2478882bd800507b759ca63e5fbd6ec775d"
"geosmooth.g3a.default.v1","G3a",128,204,"legacy","geosmooth.g3a.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g3a.default.v1.rds","active",1,"3632552641c2ced97077246955cc3f6c64c1a48d932d1f15fed733460c7a35f4"
"geosmooth.g3b.default.v1","G3b",128,205,"legacy","geosmooth.g3b.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g3b.default.v1.rds","active",1,"f4ce1ee2a7172ad9dcbe4acce358846c8c521c68a7edb2e36cc4b84a8a989af1"
"geosmooth.g3c.default.v1","G3c",128,206,"legacy","geosmooth.g3c.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g3c.default.v1.rds","active",1,"7f2598e15b9ea210085fbe6e0bb014253ee4415eb15cfd322309aec51b687663"
"geosmooth.g3d.default.v1","G3d",128,207,"legacy","geosmooth.g3d.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g3d.default.v1.rds","active",1,"1bc458504bec37c18815eff2c88ba6b9c02816e9402d03be468b26c69153dedd"
"geosmooth.g4.default.v1","G4",128,208,"legacy","geosmooth.g4.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g4.default.v1.rds","active",1,"579bfdb91505fef310a8f4375d2f5edd264ff1e6012a780169f6d8da9d3650f5"
"geosmooth.g5.default.v1","G5",800,209,"legacy","geosmooth.g5.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g5.default.v1.rds","active",1,"db3c35064c3a2ff9ee3221349ee363cb18bbfd6bca56eeaf12e399a05da8f223"
"geosmooth.g6.default.v1","G6",128,210,"legacy","geosmooth.g6.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g6.default.v1.rds","active",1,"2584eb508c6ac39a2c048949c131712dc569abc893c331ccc89afe7686a81b3a"
"geosmooth.g7.default.v1","G7",128,211,"legacy","geosmooth.g7.default.v1.content.v1","inst/synthetic_registry/fixtures/geosmooth.g7.default.v1.rds","active",1,"1fdd9460f00dcfdcb01e76deae32f3d3aff13a59f3b75c9755f2c294e279c2e1"
