"recipe.id","spec.recipe.id","registry.tag","geometry.id","sampling.id","truth.id","response.id","compatibility.recipe","metadata","specification.sha256","status","version"
"G1","g1.ambient.polynomial.v1","G1","geometry.quadform.08a331c7f7c45ae0","sampling.uniform.box.b0a28e98671299b2","truth.polynomial.c3ee28e4ea9edee7","response.gaussian.181ba79245c12a30","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G1""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""D"",""degree"",""sigma"",""poly.coef""],""values"":{""D"":{""type"":""integer"",""names"":null,""values"":[2]},""degree"":{""type"":""integer"",""names"":null,""values"":[2]},""sigma"":{""type"":""double"",""names"":null,""values"":[0]},""poly.coef"":{""type"":""null""}}}","7c7a6177e1f65b4ad3cca9692c7e467d63efbe5d5394e8dc8d4306caace59b10","active",1
"G2","g2.flat.embedded.v1","G2","geometry.quadform.507869cad1df597d","sampling.uniform.box.b0a28e98671299b2","truth.polynomial.c3ee28e4ea9edee7","response.gaussian.181ba79245c12a30","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G2""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""d"",""D"",""sigma"",""frame.seed"",""poly.coef""],""values"":{""d"":{""type"":""integer"",""names"":null,""values"":[2]},""D"":{""type"":""integer"",""names"":null,""values"":[3]},""sigma"":{""type"":""double"",""names"":null,""values"":[0]},""frame.seed"":{""type"":""null""},""poly.coef"":{""type"":""null""}}}","447fa568b7cd5e117c2b32a62873a0b3a767cbfc1c9581d98eedf8f74466cd73","active",1
"G3a","g3a.paraboloid.v1","G3a","geometry.quadform.cc232a5142ddfbba","sampling.uniform.disk.fea0819a45487236","truth.named.8b1e3c8496c8a1ee","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G3a""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""R"",""truth"",""sigma"",""rho0""],""values"":{""R"":{""type"":""double"",""names"":null,""values"":[1]},""truth"":{""type"":""character"",""names"":null,""values"":[""smooth""]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]},""rho0"":{""type"":""double"",""names"":null,""values"":[1]}}}","8a3673a715e2d0ec890db0ece5b5be53e4c990c5ecbb660046aaca634043f2da","active",1
"G3b","g3b.sphere.cap.v1","G3b","geometry.sphere.cap.0d1257e47a8665ba","sampling.uniform.disk.fea0819a45487236","truth.named.8b1e3c8496c8a1ee","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G3b""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""R"",""rho0"",""truth"",""sigma""],""values"":{""R"":{""type"":""double"",""names"":null,""values"":[2]},""rho0"":{""type"":""double"",""names"":null,""values"":[1]},""truth"":{""type"":""character"",""names"":null,""values"":[""smooth""]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","20dd87d42d9098e23fbc592530345a69a525d2cd46ba3dffda81554ca7247af0","active",1
"G3c","g3c.helix.v1","G3c","geometry.helix.410d0bba6d8198ee","sampling.uniform.interval.872aa7e5a2234dad","truth.named.87048ee5ddd8d929","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G3c""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""pitch"",""sigma""],""values"":{""pitch"":{""type"":""double"",""names"":null,""values"":[0.20000000000000001]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","048bb97caddb34d649761107efc43a6beead4fde353ffce69af5a1219d9fb6bc","active",1
"G3d","g3d.torus.patch.v1","G3d","geometry.torus.patch.23a6bdee8b644071","sampling.uniform.rectangle.ec9e43918676f883","truth.named.8b1e3c8496c8a1ee","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G3d""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""R1"",""R2"",""u.range"",""v.range"",""truth"",""sigma""],""values"":{""R1"":{""type"":""double"",""names"":null,""values"":[1]},""R2"":{""type"":""double"",""names"":null,""values"":[0.34999999999999998]},""u.range"":{""type"":""double"",""names"":null,""values"":[-1.5707963267948966,1.5707963267948966]},""v.range"":{""type"":""double"",""names"":null,""values"":[-1.5707963267948966,1.5707963267948966]},""truth"":{""type"":""character"",""names"":null,""values"":[""smooth""]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","fadd1db53aec83bdde7bf7228e88e1785dc5b1ed34b0c7cadb4e425e553c55b4","active",1
"G4","g4.stratified.v1","G4","geometry.g4.segment.rectangle.34f7adb362291868","sampling.stratified.g4.62b43a835e807ef6","truth.named.97f78cf4d3586887","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G4""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""fracA"",""eta"",""sigma""],""values"":{""fracA"":{""type"":""double"",""names"":null,""values"":[0.5]},""eta"":{""type"":""double"",""names"":null,""values"":[0.02]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","9f335748d07542decab740fcf7a6ac505ddc02d9e49b2fc2480ac34655174054","active",1
"G5","g5.clustered.v1","G5","geometry.quadform.08a331c7f7c45ae0","sampling.clustered.7a88d72306d427fe","truth.named.100094f19c900d3d","response.clustered.gaussian.bd0d540aed204aad","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G5""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""K"",""m"",""sigma.x"",""rho"",""sigma""],""values"":{""K"":{""type"":""integer"",""names"":null,""values"":[40]},""m"":{""type"":""integer"",""names"":null,""values"":[20]},""sigma.x"":{""type"":""double"",""names"":null,""values"":[0.050000000000000003]},""rho"":{""type"":""double"",""names"":null,""values"":[0.59999999999999998]},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","b5082b9a5d43c0247af971519a6b98f9103d7a7fc823b48afd8d7e175c04bca1","active",1
"G6","g6.binary.surface.v1","G6","geometry.quadform.08a331c7f7c45ae0","sampling.uniform.box.b0a28e98671299b2","truth.named.e01b53f5afe32281","response.bernoulli.26586a32c52365c6","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G6""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""prevalence"",""amplitude"",""clip""],""values"":{""prevalence"":{""type"":""double"",""names"":null,""values"":[0.5]},""amplitude"":{""type"":""double"",""names"":null,""values"":[1.5]},""clip"":{""type"":""double"",""names"":null,""values"":[0.050000000000000003,0.94999999999999996]}}}","d81934501c1ac52f264d1f7626ae5a80cbb460f9894504f6724665e461df7d4e","active",1
"G7","g7.simplex.zeros.v1","G7","geometry.simplex.00b16b0271617d41","sampling.dirichlet.zeros.e830efc7c3015518","truth.named.84c3e838cae0641a","response.gaussian.1c1402b52474a0ba","{""type"":""list"",""names"":[""recipe"",""seed.policy""],""values"":{""recipe"":{""type"":""character"",""names"":null,""values"":[""G7""]},""seed.policy"":{""type"":""character"",""names"":null,""values"":[""geosmooth.g1.g7.v1""]}}}","{""type"":""list"",""names"":[""D"",""alpha"",""zero.fraction"",""zero.parts"",""sigma""],""values"":{""D"":{""type"":""integer"",""names"":null,""values"":[5]},""alpha"":{""type"":""double"",""names"":null,""values"":[1]},""zero.fraction"":{""type"":""double"",""names"":null,""values"":[0.5]},""zero.parts"":{""type"":""null""},""sigma"":{""type"":""double"",""names"":null,""values"":[0.10000000000000001]}}}","76ed8be82dfbadab53a6a5606147b63bafb64c2278f4a34942569b6985cb93b2","active",1
