"study","K","m","rho.nominal","replicate","seed.base","train.clusters.per.fold","realized.icc","rel.cluster","nested","rmse.test","n.missing"
"E1.10b'-armC",40,20,0.6,1,910001,32,0.594950528032739,0.105669558784271,0.264586373370115,0.295848560192632,0
"E1.10b'-armC",40,20,0.6,2,910002,32,0.550560871574865,0.0520941341879927,0.243169577488294,0.256533466305736,0
"E1.10b'-armC",40,20,0.6,3,910003,32,0.663791452922239,0.163100883246737,0.308084044140403,0.264881618248283,0
"E1.10b'-armC",40,20,0.6,4,910004,32,0.582442301287293,0.0708352202754349,0.267704611693696,0.24999608401453,0
"E1.10b'-armC",40,20,0.6,5,910005,32,0.642300339544071,0.0832178881793566,0.246220512777834,0.26857037195988,0
"E1.10b'-armC",40,20,0.6,6,910006,32,0.543861800622119,0.139105921232021,0.284856416394351,0.250070174410347,0
"E1.10b'-armC",40,20,0.6,7,910007,32,0.664620448462425,0.0101624896996463,0.285255752340091,0.282386007448075,0
"E1.10b'-armC",40,20,0.6,8,910008,32,0.61278345289645,0.302758282306218,0.320610816758508,0.246101537877728,0
"E1.10b'-armC",40,20,0.6,9,910009,32,0.604920595756153,0.0334425250752383,0.230038884168815,0.222594753541875,0
"E1.10b'-armC",40,20,0.6,10,910010,32,0.589601542805775,0.253456550224483,0.232001931998542,0.310768156988456,0
"E1.10b'-armC",80,20,0.6,1,950001,64,0.620321892397395,0.0400820556726731,0.224058104038303,0.215423487806828,0
"E1.10b'-armC",80,20,0.6,2,950002,64,0.5768032856299,0.185636032886343,0.203433518972026,0.249806630925793,0
"E1.10b'-armC",80,20,0.6,3,950003,64,0.592184162658005,0.102192503812315,0.232465234665618,0.210911645526127,0
"E1.10b'-armC",80,20,0.6,4,950004,64,0.634451393527518,0.096623140273178,0.218109684912426,0.241438202189928,0
"E1.10b'-armC",80,20,0.6,5,950005,64,0.556492573122068,0.0175416418436786,0.20815603490756,0.204567583622821,0
"E1.10b'-armC",80,20,0.6,6,950006,64,0.589331325743731,0.00999124999063274,0.196102516737962,0.198081599517283,0
"E1.10b'-armC",80,20,0.6,7,950007,64,0.588877384565914,0.158754917988807,0.223506324203039,0.192884898034321,0
"E1.10b'-armC",80,20,0.6,8,950008,64,0.603812704028204,0.153729420259529,0.240190716571638,0.208186349722804,0
"E1.10b'-armC",80,20,0.6,9,950009,64,0.566701332697144,0.135993271289998,0.19022845610758,0.220170109544863,0
"E1.10b'-armC",80,20,0.6,10,950010,64,0.599138899058459,0.363929201248041,0.270183145564112,0.198091767019055,0
"E1.10b'-armC",160,20,0.6,1,1030001,128,0.596620215818699,0.0548679644280829,0.197365937571403,0.187100134070721,0
"E1.10b'-armC",160,20,0.6,2,1030002,128,0.548591414191361,0.0393433889420853,0.180801940169565,0.188206626684699,0
"E1.10b'-armC",160,20,0.6,3,1030003,128,0.5969365678962,0.113215844569908,0.197952472422342,0.177820387113535,0
"E1.10b'-armC",160,20,0.6,4,1030004,128,0.561279125312048,0.0108635998726345,0.186734288331796,0.184727482872391,0
"E1.10b'-armC",160,20,0.6,5,1030005,128,0.607218778024629,0.0435107538373502,0.19160809728549,0.183618708845003,0
"E1.10b'-armC",160,20,0.6,6,1030006,128,0.558623848929971,0.0139543873880874,0.178459115335011,0.180984645185221,0
"E1.10b'-armC",160,20,0.6,7,1030007,128,0.584742424705024,0.0293730640370637,0.174602755350617,0.179886575244687,0
"E1.10b'-armC",160,20,0.6,8,1030008,128,0.659544713025157,0.120088301568599,0.208412548558749,0.186067962915855,0
"E1.10b'-armC",160,20,0.6,9,1030009,128,0.627653543045881,0.075647163863883,0.19279573415783,0.179236966018931,0
"E1.10b'-armC",160,20,0.6,10,1030010,128,0.56038323808786,0.0104063011993237,0.181023184938863,0.182926776068048,0
