"case.id","dataset.id","truth.id","geometry.family","source.kind","n","ambient.dimension","intrinsic.dimension","noise.sd","pca.truth.rmse","second.truth.rmse","delta.truth.rmse","pca.observed.rmse","second.observed.rmse","delta.observed.rmse","pca.cv.rmse","second.cv.rmse","pca.selected.support.size","second.selected.support.size","pca.selected.degree","second.selected.degree","pca.selected.kernel","second.selected.kernel","pca.selected.chart.dim","second.selected.chart.dim","pca.runtime.sec","second.runtime.sec","runtime.ratio.second_over_pca","second.fallback.count","second.fallback.rate","second.fallback.reasons","second.any.pca.fallback.used","second.any.structured.failure","second.median.design.rank","second.max.design.rank","second.median.design.condition","second.max.design.condition","pca.fit.status","second.fit.status","pca.fit.error","second.fit.error","notes","outcome","n.chart.diagnostics","fit.residual.median","fit.residual.q90","curvature.fitted.median","curvature.fitted.q90","corrected.residual.median","corrected.residual.q90","corrected.over.fit.median","corrected.over.fit.q90","curvature.over.fit.median","curvature.over.fit.q90","design.condition.median","design.condition.q90","design.condition.max","log10.design.condition.median","log10.design.condition.q90","log10.design.condition.max","first.rank.median","first.rank.q90","second.rank.median","second.rank.q90","design.rank.median","design.rank.q90","fallback.count","fallback.rate","delta.abs","delta.rel","fallback.category","effective.second.order.case","high.dim.flag","singular.flag","valencia.flag","geometry.bucket","support.delta","degree.delta","chart.dim.delta","same.support","same.degree","same.kernel","same.chart.dim","material.abs.exceeded","material.rel.exceeded","practical.outcome"
"anisotropic_bowl_2d","h5_anisotropic_bowl_2d","h5_truth_anisotropic_bowl_2d","custom_curved_2d","generated_h5_curved_singular",80,3,2,0.1,0.119047134250605,0.119138566864278,9.14326136729482e-05,0.1216732939508,0.12229900215138,0.000625708200579861,0.383834048182998,0.387208544320811,15,15,2,2,"tricube","tricube",2,2,0.183999999999997,0.786000000000001,4.27173913043485,0,0,,FALSE,FALSE,3,3,1.8645874586728,4.9790838373973,"ok","ok",,,"Custom H5 curved/singular generator: anisotropic_bowl","pca",80,0.990323536796068,1.2268171584971,1.40511872226518,2.88726247510035,1.43148238702774,1.93020123240615,1.50498527349168,2.38138880185811,1.55411085926941,4.00156515077643,1.8645874586728,2.63068818163693,4.9790838373973,0.270582674966215,0.41999817941141,0.697149438951195,3,3,3,3,3,3,0,0,9.14326136729482e-05,0.000768037082526273,"none",TRUE,FALSE,FALSE,FALSE,"curved_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"cone_tip_singular_2d","h5_cone_tip_singular_2d","h5_truth_cone_tip_singular_2d","custom_singular_2d","generated_h5_curved_singular",80,3,2,0.1,0.127544750296958,0.222751141385203,0.0952063910882455,0.13439503934433,0.233932144318493,0.0995371049741632,0.340957496730847,0.380858763744961,15,25,2,2,"tricube","tricube",2,2,0.187000000000005,0.802,4.28877005347583,0,0,,FALSE,FALSE,3,3,1.82533626613947,4.2639163839387,"ok","ok",,,"Custom H5 curved/singular generator: cone_tip_singular","pca",80,1.86707225175997,2.27163868806971,2.27223005908928,4.67481677170083,2.31337253821089,2.73831934580691,1.30927645275925,1.82019580650091,1.20122748970388,3.76783245363473,1.82533626613946,2.41440385066404,4.2639163839387,0.261342745459482,0.382809913845935,0.629808679519904,3,3,3,3,3,3,0,0,0.0952063910882455,0.746454800111959,"none",TRUE,FALSE,TRUE,FALSE,"singular_2d",10,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"material_pca_win"
"corrugated_sheet_2d","h5_corrugated_sheet_2d","h5_truth_corrugated_sheet_2d","custom_curved_2d","generated_h5_curved_singular",80,3,2,0.1,0.160242502104646,0.160824114461295,0.000581612356648914,0.156125937480469,0.155807374440673,-0.000318563039796216,0.479265072728014,0.501936077030719,15,15,2,2,"tricube","tricube",2,2,0.190000000000005,0.793999999999997,4.17894736842093,0,0,,FALSE,FALSE,3,3,1.88384166886851,3.29300043360127,"ok","ok",,,"Custom H5 curved/singular generator: corrugated_sheet","pca",80,0.973015528200589,1.13207658788544,1.33820456488277,2.55154483647514,1.41136404240557,1.956586910651,1.49528803775647,2.35788303136222,1.43844492986339,4.8292290787074,1.8838416688685,2.37975919468011,3.29300043360127,0.275040521449782,0.376491152213129,0.517591787897036,3,3,3,3,3,3,0,0,0.000581612356648914,0.00362957610502795,"none",TRUE,FALSE,FALSE,FALSE,"curved_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"curved_2d_paraboloid","p7c_ctrl_2d_paraboloid_n400_seed202","p7d_paraboloid_latent_three_gaussian_v1","controlled_2d_curved","generated",80,3,2,0.1,0.138468658435162,0.135962041580973,-0.00250661685418843,0.127239954255029,0.124625832454803,-0.0026141218002264,0.57434183252308,0.589078085597297,15,15,2,2,"tricube","tricube",2,2,0.263999999999999,0.866,3.28030303030304,0,0,,FALSE,FALSE,3,3,2.03669035899861,10.9106910711733,"ok","ok",,,"Curved 2D paraboloid substrate with latent uv retained","second.order.svd",80,0.498490339374877,0.75695874617603,0.867495351327918,1.81225073813435,0.730127218338835,1.37638010564432,1.46480783599181,2.58588526423024,1.68759256331044,4.71728849228571,2.03669035899861,3.96381935967807,10.9106910711733,0.308920681287647,0.598019148546104,1.0378522591944,3,3,3,3,3,3,0,0,-0.00250661685418843,-0.0181024130840565,"none",TRUE,FALSE,FALSE,FALSE,"curved_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"curved_2d_saddle_registry","p7c_ctrl_2d_saddle_n400_seed203","p7d_saddle_latent_three_gaussian_v1","controlled_2d_curved","generated",80,3,2,0.1,0.149929517166948,0.150099863609646,0.000170346442697783,0.154382158869122,0.154445452688492,6.32938193701194e-05,0.498614567077533,0.499350094809849,15,15,2,2,"tricube","tricube",2,2,0.197999999999999,0.808,4.08080808080811,0,0,,FALSE,FALSE,3,3,2.14754079429873,12.2347754317398,"ok","ok",,,"Curved 2D saddle substrate with latent uv retained","pca",80,0.531623183928043,0.688725763715075,0.82814289672406,1.80451818631555,0.773065805755005,1.0946604095058,1.47826564002418,2.84599877112376,1.59618864188094,4.54560184646916,2.14754079429873,3.06322300410804,12.2347754317398,0.331938404208413,0.486168301122861,1.08759600232277,3,3,3,3,3,3,0,0,0.000170346442697783,0.00113617682439476,"none",TRUE,FALSE,FALSE,FALSE,"curved_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"curved_hypersurface_3d","h5_curved_hypersurface_3d","h5_truth_curved_hypersurface_3d","custom_curved_3d","generated_h5_curved_singular",80,4,3,0.1,0.415858656939731,0.417551383289922,0.00169272635019035,0.436327961743183,0.437326040373817,0.000998078630634724,0.773396268342009,0.757597725576381,15,15,1,1,"tricube","tricube",3,3,0.192,0.963000000000001,5.015625,0,0,,FALSE,FALSE,6,6,4.12590881813696,19.8124491221465,"ok","ok",,,"Custom H5 curved/singular generator: curved_hypersurface_3d","pca",80,0.983132366141948,1.2719005125295,3.1087694581299,4.7503151596904,2.31385022779546,3.48742336648313,2.80014489335936,4.92628205773847,3.12196431121124,9.58069350296467,4.12590881813696,10.5606251946208,19.8124491221465,0.615511056371989,1.0234783507096,1.29693816430634,4,4,4,4,6,6,0,0,0.00169272635019035,0.00407043672637954,"none",TRUE,FALSE,FALSE,FALSE,"curved_3d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"cusp_hypersurface_singular_3d","h5_cusp_hypersurface_singular_3d","h5_truth_cusp_hypersurface_singular_3d","custom_singular_3d","generated_h5_curved_singular",80,4,3,0.1,0.333025719416351,0.240679923839554,-0.0923457955767973,0.302131844153941,0.214786229493349,-0.0873456146605918,0.595445012898528,0.616476621920816,35,25,2,2,"tricube","tricube",3,3,0.209000000000003,0.957999999999998,4.58373205741619,0,0,,FALSE,FALSE,6,6,3.23029240020164,9.42292330112741,"ok","ok",,,"Custom H5 curved/singular generator: cusp_hypersurface_3d","second.order.svd",80,1.5742107784718,2.23979890787717,5.07081986177575,6.70745847558374,2.64174284973642,3.84493786130204,1.70663890803347,2.80388351173896,3.14056361267165,6.26589085757526,3.23029240020164,6.18351526678518,9.42292330112741,0.509235560770135,0.791204644579593,0.974185656147065,4,4,4,4,6,6,0,0,-0.0923457955767973,-0.277293284550632,"none",TRUE,FALSE,TRUE,FALSE,"singular_3d",-10,0,0,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,"material_second_order_win"
"cusp_ridge_singular_2d","h5_cusp_ridge_singular_2d","h5_truth_cusp_ridge_singular_2d","custom_singular_2d","generated_h5_curved_singular",80,3,2,0.1,0.118965976636117,0.118386094370843,-0.000579882265274195,0.125417392238567,0.125848793528958,0.000431401290390682,0.436875088634917,0.428602719508295,15,15,2,2,"tricube","tricube",2,2,0.183999999999997,0.746000000000002,4.05434782608702,0,0,,FALSE,FALSE,3,3,2.03269139643444,5.28052636487909,"ok","ok",,,"Custom H5 curved/singular generator: cusp_ridge_singular","second.order.svd",80,0.848451638206919,1.31952984483163,1.57643021135617,3.21536170105034,1.43934517325606,1.97513335694414,1.69748872768391,2.57435422946555,1.67325424506614,5.32660675379307,2.03269139643444,3.4325724441978,5.28052636487909,0.308071207357377,0.535619344688514,0.722677215330922,3,3,3,3,3,3,0,0,-0.000579882265274195,-0.00487435384192145,"none",TRUE,FALSE,TRUE,FALSE,"singular_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
"folded_sheet_singular_2d","h5_folded_sheet_singular_2d","h5_truth_folded_sheet_singular_2d","custom_singular_2d","generated_h5_curved_singular",80,3,2,0.1,0.269286860721267,0.269286860721267,0,0.262666531695399,0.262666531695399,0,0.503457476690462,0.503457476690462,15,15,1,1,"tricube","tricube",3,3,0.196999999999996,0.689999999999998,3.50253807106606,80,1,"chart_dim_not_less_than_ambient_dim:80",TRUE,FALSE,0,0,,,"ok","ok",,,"Custom H5 curved/singular generator: folded_sheet_singular","tied",80,0,0,0,0,0,0,,,,,,,,,,,3,3,0,0,0,0,80,1,0,0,"full",FALSE,FALSE,TRUE,FALSE,"singular_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"full_fallback_noninformative"
"helicoid_2d","h5_helicoid_2d","h5_truth_helicoid_2d","custom_curved_2d","generated_h5_curved_singular",80,3,2,0.1,0.524690539745764,0.524817734820894,0.000127195075130371,0.524968862870398,0.525030941107451,6.20782370526207e-05,0.74402044379798,0.746077319389848,15,15,1,1,"tricube","tricube",2,2,0.185000000000002,0.856000000000002,4.62702702702698,0,0,,FALSE,FALSE,3,3,2.02569531955893,6.54542942455723,"ok","ok",,,"Custom H5 curved/singular generator: helicoid","pca",80,0.870473508889686,1.2477445787639,1.38511350382621,2.88510061867297,1.20027755821978,1.72179643194977,1.40686612872328,2.27228247491846,1.54469913823544,5.86805169475432,2.02569531955893,3.09135175955344,6.54542942455723,0.306573972908155,0.490144137540876,0.815938144484596,3,3,3,3,3,3,0,0,0.000127195075130371,0.000242419227135299,"none",TRUE,FALSE,FALSE,FALSE,"curved_2d",0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,"practical_tie"
