"geometry.bucket","practical.outcome","count"
"curved_2d","full_fallback_noninformative",1
"curved_3d","full_fallback_noninformative",0
"highdim_2d","full_fallback_noninformative",0
"highdim_3d","full_fallback_noninformative",0
"singular_2d","full_fallback_noninformative",1
"singular_3d","full_fallback_noninformative",0
"valencia_probe","full_fallback_noninformative",0
"curved_2d","material_pca_win",0
"curved_3d","material_pca_win",0
"highdim_2d","material_pca_win",0
"highdim_3d","material_pca_win",1
"singular_2d","material_pca_win",1
"singular_3d","material_pca_win",0
"valencia_probe","material_pca_win",1
"curved_2d","material_second_order_win",2
"curved_3d","material_second_order_win",0
"highdim_2d","material_second_order_win",0
"highdim_3d","material_second_order_win",0
"singular_2d","material_second_order_win",0
"singular_3d","material_second_order_win",1
"valencia_probe","material_second_order_win",0
"curved_2d","practical_tie",10
"curved_3d","practical_tie",2
"highdim_2d","practical_tie",3
"highdim_3d","practical_tie",1
"singular_2d","practical_tie",3
"singular_3d","practical_tie",0
"valencia_probe","practical_tie",0
