"predictor","spearman.delta.abs","spearman.delta.rel","n.used","abs.rho"
"degree.delta",-0.339683110243379,-0.311376184389764,25,0.339683110243379
"ambient.dimension",0.337542297729003,0.308815293666961,25,0.337542297729003
"runtime.ratio.second_over_pca",0.331538461538462,0.334615384615385,25,0.334615384615385
"support.delta",0.305373877612682,0.333135139213835,25,0.333135139213835
"high.dim.flag",0.291217603018245,0.318952612829507,25,0.318952612829507
"first.rank.median",0.297870538804822,0.268969171972429,25,0.297870538804822
"second.rank.median",0.287594330543039,0.261534002856291,25,0.287594330543039
"fit.residual.median",0.260769230769231,0.285384615384615,25,0.285384615384615
"valencia.flag",0.283069258536149,0.283069258536149,25,0.283069258536149
"second.fallback.rate",0.283069258536149,0.283069258536149,25,0.283069258536149
"second.selected.support.size",0.225934459723385,0.273499609138834,25,0.273499609138834
"singular.flag",-0.180277563773199,-0.249615088301353,25,0.249615088301353
"corrected.residual.q90",0.226153846153846,0.217692307692308,25,0.226153846153846
"corrected.residual.median",0.203846153846154,0.195384615384615,25,0.203846153846154
"curvature.over.fit.median",-0.164615384615385,-0.194615384615385,25,0.194615384615385
"fit.residual.q90",0.174615384615385,0.166923076923077,25,0.174615384615385
"curvature.fitted.q90",0.172307692307692,0.160769230769231,25,0.172307692307692
"curvature.fitted.median",0.16,0.149230769230769,25,0.16
"second.selected.chart.dim",0.12610145393367,0.0865114625824012,25,0.12610145393367
"design.rank.median",0.12610145393367,0.0865114625824012,25,0.12610145393367
"design.condition.max",-0.0630890567546494,-0.0969417213547052,25,0.0969417213547052
"log10.design.condition.max",-0.0630890567546494,-0.0969417213547052,25,0.0969417213547052
"second.selected.degree",-0.0792593923901217,0.0339683110243379,25,0.0792593923901217
"design.condition.q90",-0.0207732260045797,-0.079246010313767,25,0.079246010313767
"log10.design.condition.q90",-0.0207732260045797,-0.079246010313767,25,0.079246010313767
"design.condition.median",0.0569340268273665,0.0123100598545657,25,0.0569340268273665
"log10.design.condition.median",0.0569340268273665,0.0123100598545657,25,0.0569340268273665
"corrected.over.fit.q90",-0.0538461538461538,-0.0484615384615385,25,0.0538461538461538
"curvature.over.fit.q90",0.0138461538461538,-0.0307692307692308,25,0.0307692307692308
"corrected.over.fit.median",-0.00153846153846154,-0.0223076923076923,25,0.0223076923076923
"chart.dim.delta",,,25,
