"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id","analysis.sample.policy"
15,1,"gaussian",12,8.78342799103064,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
16,1,"gaussian",13,11.9887243055653,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
17,1,"gaussian",14,12.3051948291848,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
18,1,"gaussian",14,8.21604356650639,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
19,1,"gaussian",15,8.69416651384243,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
20,1,"gaussian",16,9.03689526281761,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
21,1,"gaussian",16,7.73037877367099,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
22,1,"gaussian",17,6.84156821374321,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
23,1,"gaussian",18,7.27089217960186,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
24,1,"gaussian",19,6.66729798243964,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
25,1,"gaussian",19,5.77382590718037,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
26,1,"gaussian",20,5.54488156749705,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
27,1,"gaussian",21,5.67598787508509,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
28,1,"gaussian",21,5.01198405125243,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
29,1,"gaussian",22,5.11762262764272,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
30,1,"gaussian",23,5.16208261585694,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
31,1,"gaussian",23,4.65395884451377,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
32,1,"gaussian",24,4.72542003925959,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
33,1,"gaussian",25,4.6075353644,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
34,1,"gaussian",25,4.44981225863145,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
35,1,"gaussian",26,4.61405921710393,"auto","p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","full_dataset"
