"dataset","n","mode","success","runtime.sec","truth.rmse","cv.rmse","support.size","degree","kernel","chart.dim","error"
"rel4",250,"ambient_cpp",TRUE,0.06,0.0271402781100319,0.0593652982961322,15,2,"tricube",4,NA
"rel4",250,"local_pca_auto",TRUE,0.505,0.0268540315021788,0.0950538536412494,35,1,"tricube",2,NA
"rel4",500,"ambient_cpp",TRUE,0.119,0.0249429139086606,0.0626577060272421,15,2,"tricube",4,NA
"rel4",500,"local_pca_auto",TRUE,0.642,0.019574863124927,0.0781414518281707,25,1,"tricube",2,NA
"hypercube_Li",250,"ambient_cpp",TRUE,0.036,0.0514708167813442,0.719803150643356,35,1,"tricube",3,NA
"hypercube_Li",250,"local_pca_auto",TRUE,0.349,0.0469215244984207,0.295741496748123,35,1,"tricube",1,NA
"hypercube_Li",500,"ambient_cpp",TRUE,0.0710000000000002,0.0853322779182303,0.308362029248987,35,1,"gaussian",3,NA
"hypercube_Li",500,"local_pca_auto",TRUE,0.598,0.0547717766008617,0.165914174626054,35,1,"tricube",2,NA
"depth3_top",250,"ambient_cpp",TRUE,0.0369999999999999,0.106580510851424,0.198262679292977,15,2,"tricube",11,NA
"depth3_top",250,"local_pca_auto",TRUE,0.762,0.0647959742726304,0.408137195677003,35,1,"tricube",4,NA
"depth3_top",500,"ambient_cpp",TRUE,0.0789999999999997,0.0486231732859434,0.0886781220443422,15,2,"tricube",11,NA
"depth3_top",500,"local_pca_auto",TRUE,1.403,0.0405577688602678,0.0858805460720677,35,1,"tricube",4,NA
