"support.size","degree","kernel","chart.dim.auto","cv.rmse.observed.auto","chart.dim.cpp","cv.rmse.observed.cpp","cv.rmse.observed.delta.cpp.minus.auto"
15,1,"gaussian",1,0.152567404893956,1,0.152567404893956,-5.55111512312578e-17
15,1,"tricube",1,0.114942915745551,1,0.114942915745551,1.38777878078145e-17
15,2,"gaussian",1,0.103948608744386,1,0.103948608744386,0
15,2,"tricube",1,0.104131877706104,1,0.104131877706104,-1.38777878078145e-17
16,1,"gaussian",1,0.162569899828618,1,0.162569899828618,2.77555756156289e-17
16,1,"tricube",1,0.118893289199817,1,0.118893289199817,4.16333634234434e-17
16,2,"gaussian",1,0.103278321433718,1,0.103278321433718,2.77555756156289e-17
16,2,"tricube",1,0.104470612358038,1,0.104470612358037,-1.38777878078145e-17
17,1,"gaussian",1,0.172567103011864,1,0.172567103011864,-5.55111512312578e-17
17,1,"tricube",1,0.121701704965423,1,0.121701704965423,4.16333634234434e-17
17,2,"gaussian",1,0.102609415999667,1,0.102609415999667,0
17,2,"tricube",1,0.104313964703116,1,0.104313964703116,-2.77555756156289e-17
18,1,"gaussian",1,0.184982945919543,1,0.184982945919543,-5.55111512312578e-17
18,1,"tricube",1,0.126659136572947,1,0.126659136572947,5.55111512312578e-17
18,2,"gaussian",1,0.102277482730401,1,0.102277482730401,-2.77555756156289e-17
18,2,"tricube",1,0.104138927047549,1,0.104138927047549,2.77555756156289e-17
19,1,"gaussian",1,0.194134128957267,1,0.194134128957267,5.55111512312578e-17
19,1,"tricube",1,0.129360440727522,1,0.129360440727522,2.77555756156289e-17
19,2,"gaussian",1,0.102188667969071,1,0.102188667969071,2.77555756156289e-17
19,2,"tricube",1,0.103443899574289,1,0.103443899574289,2.77555756156289e-17
20,1,"gaussian",1,0.205311982170351,1,0.205311982170351,0
20,1,"tricube",1,0.133331046497127,1,0.133331046497127,2.77555756156289e-17
20,2,"gaussian",1,0.103333984964903,1,0.103333984964903,0
20,2,"tricube",1,0.103491513565724,1,0.103491513565724,0
21,1,"gaussian",1,0.217495650610648,1,0.217495650610648,-2.77555756156289e-17
21,1,"tricube",1,0.1390404012642,1,0.1390404012642,-2.77555756156289e-17
21,2,"gaussian",1,0.104857407106424,1,0.104857407106424,0
21,2,"tricube",1,0.103199370554969,1,0.103199370554969,2.77555756156289e-17
22,1,"gaussian",1,0.229634149035389,1,0.229634149035389,-2.77555756156289e-17
22,1,"tricube",1,0.14389665415793,1,0.14389665415793,0
22,2,"gaussian",1,0.108096120337946,1,0.108096120337946,-2.77555756156289e-17
22,2,"tricube",1,0.102709210929861,1,0.102709210929861,0
23,1,"gaussian",1,0.243779662521812,1,0.243779662521812,-2.77555756156289e-17
23,1,"tricube",1,0.14943479542665,1,0.14943479542665,-5.55111512312578e-17
23,2,"gaussian",1,0.112230478750465,1,0.112230478750465,-2.77555756156289e-17
23,2,"tricube",1,0.102292157427185,1,0.102292157427185,1.38777878078145e-17
24,1,"gaussian",1,0.256418728317849,1,0.256418728317849,-5.55111512312578e-17
24,1,"tricube",1,0.156710416252595,1,0.156710416252595,-5.55111512312578e-17
24,2,"gaussian",1,0.114905350316214,1,0.114905350316214,-5.55111512312578e-17
24,2,"tricube",1,0.102159972828266,1,0.102159972828266,-1.38777878078145e-17
25,1,"gaussian",1,0.270055817919244,1,0.270055817919244,5.55111512312578e-17
25,1,"tricube",1,0.168260809327599,1,0.168260809327599,0
25,2,"gaussian",1,0.118054923539005,1,0.118054923539005,-2.77555756156289e-17
25,2,"tricube",1,0.10270898558089,1,0.10270898558089,4.16333634234434e-17
26,1,"gaussian",1,0.285214300006414,1,0.285214300006414,-5.55111512312578e-17
26,1,"tricube",1,0.173846187761199,1,0.173846187761199,2.77555756156289e-17
26,2,"gaussian",1,0.120597362731987,1,0.120597362731987,5.55111512312578e-17
26,2,"tricube",1,0.103540259316326,1,0.103540259316326,2.77555756156289e-17
27,1,"gaussian",1,0.301587032337843,1,0.301587032337843,5.55111512312578e-17
27,1,"tricube",1,0.183868501870898,1,0.183868501870898,0
27,2,"gaussian",1,0.123446307788269,1,0.123446307788269,1.38777878078145e-17
27,2,"tricube",1,0.105229192953554,1,0.105229192953554,-1.38777878078145e-17
28,1,"gaussian",1,0.316322924917084,1,0.316322924917084,5.55111512312578e-17
28,1,"tricube",1,0.194621810755192,1,0.194621810755192,-5.55111512312578e-17
28,2,"gaussian",1,0.12670489538321,1,0.12670489538321,5.55111512312578e-17
28,2,"tricube",1,0.106471433494608,1,0.106471433494608,-1.38777878078145e-17
29,1,"gaussian",1,0.332555164108716,1,0.332555164108716,0
29,1,"tricube",1,0.204331353904517,1,0.204331353904517,8.32667268468867e-17
29,2,"gaussian",1,0.129479732522591,1,0.129479732522591,0
29,2,"tricube",1,0.107959264640395,1,0.107959264640395,1.38777878078145e-17
30,1,"gaussian",1,0.34790594999507,1,0.34790594999507,5.55111512312578e-17
30,1,"tricube",1,0.2125301134933,1,0.2125301134933,-5.55111512312578e-17
30,2,"gaussian",1,0.134273427631388,1,0.134273427631388,2.77555756156289e-17
30,2,"tricube",1,0.109252025456606,1,0.109252025456606,-1.38777878078145e-17
31,1,"gaussian",1,0.364390581359463,1,0.364390581359463,-5.55111512312578e-17
31,1,"tricube",1,0.225529445618861,1,0.225529445618861,-2.77555756156289e-17
31,2,"gaussian",1,0.141407705632908,1,0.141407705632908,0
31,2,"tricube",1,0.111393425674667,1,0.111393425674667,1.38777878078145e-17
32,1,"gaussian",1,0.380849492251146,1,0.380849492251146,1.11022302462516e-16
32,1,"tricube",1,0.23371303364313,1,0.23371303364313,-5.55111512312578e-17
32,2,"gaussian",1,0.143932497882597,1,0.143932497882597,0
32,2,"tricube",1,0.113005173811213,1,0.113005173811213,4.16333634234434e-17
33,1,"gaussian",1,0.396502171783552,1,0.396502171783552,0
33,1,"tricube",1,0.243883474313717,1,0.243883474313718,5.55111512312578e-17
33,2,"gaussian",1,0.152275894778215,1,0.152275894778215,8.32667268468867e-17
33,2,"tricube",1,0.114333046297222,1,0.114333046297222,-5.55111512312578e-17
34,1,"gaussian",1,0.412753791209905,1,0.412753791209905,0
34,1,"tricube",1,0.252698580570806,1,0.252698580570806,5.55111512312578e-17
34,2,"gaussian",1,0.156617275617688,1,0.156617275617688,5.55111512312578e-17
34,2,"tricube",1,0.116652110633342,1,0.116652110633342,1.38777878078145e-17
35,1,"gaussian",1,0.428297653084789,1,0.428297653084789,-5.55111512312578e-17
35,1,"tricube",1,0.261260138744612,1,0.261260138744612,5.55111512312578e-17
35,2,"gaussian",1,0.162675579392363,1,0.162675579392363,0
35,2,"tricube",1,0.118779558904281,1,0.118779558904281,2.77555756156289e-17
