"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label"
15,1,"gaussian",1,0.152567404893956,"auto"
16,1,"gaussian",1,0.162569899828618,"auto"
17,1,"gaussian",1,0.172567103011864,"auto"
18,1,"gaussian",1,0.184982945919543,"auto"
19,1,"gaussian",1,0.194134128957267,"auto"
20,1,"gaussian",1,0.205311982170351,"auto"
21,1,"gaussian",1,0.217495650610648,"auto"
22,1,"gaussian",1,0.229634149035389,"auto"
23,1,"gaussian",1,0.243779662521812,"auto"
24,1,"gaussian",1,0.256418728317849,"auto"
25,1,"gaussian",1,0.270055817919244,"auto"
26,1,"gaussian",1,0.285214300006414,"auto"
27,1,"gaussian",1,0.301587032337843,"auto"
28,1,"gaussian",1,0.316322924917084,"auto"
29,1,"gaussian",1,0.332555164108716,"auto"
30,1,"gaussian",1,0.34790594999507,"auto"
31,1,"gaussian",1,0.364390581359463,"auto"
32,1,"gaussian",1,0.380849492251146,"auto"
33,1,"gaussian",1,0.396502171783552,"auto"
34,1,"gaussian",1,0.412753791209905,"auto"
35,1,"gaussian",1,0.428297653084789,"auto"
15,2,"gaussian",1,0.103948608744386,"auto"
16,2,"gaussian",1,0.103278321433718,"auto"
17,2,"gaussian",1,0.102609415999667,"auto"
18,2,"gaussian",1,0.102277482730401,"auto"
19,2,"gaussian",1,0.102188667969071,"auto"
20,2,"gaussian",1,0.103333984964903,"auto"
21,2,"gaussian",1,0.104857407106424,"auto"
22,2,"gaussian",1,0.108096120337946,"auto"
23,2,"gaussian",1,0.112230478750465,"auto"
24,2,"gaussian",1,0.114905350316214,"auto"
25,2,"gaussian",1,0.118054923539005,"auto"
26,2,"gaussian",1,0.120597362731987,"auto"
27,2,"gaussian",1,0.123446307788269,"auto"
28,2,"gaussian",1,0.12670489538321,"auto"
29,2,"gaussian",1,0.129479732522591,"auto"
30,2,"gaussian",1,0.134273427631388,"auto"
31,2,"gaussian",1,0.141407705632908,"auto"
32,2,"gaussian",1,0.143932497882597,"auto"
33,2,"gaussian",1,0.152275894778215,"auto"
34,2,"gaussian",1,0.156617275617688,"auto"
35,2,"gaussian",1,0.162675579392363,"auto"
15,1,"tricube",1,0.114942915745551,"auto"
16,1,"tricube",1,0.118893289199817,"auto"
17,1,"tricube",1,0.121701704965423,"auto"
18,1,"tricube",1,0.126659136572947,"auto"
19,1,"tricube",1,0.129360440727522,"auto"
20,1,"tricube",1,0.133331046497127,"auto"
21,1,"tricube",1,0.1390404012642,"auto"
22,1,"tricube",1,0.14389665415793,"auto"
23,1,"tricube",1,0.14943479542665,"auto"
24,1,"tricube",1,0.156710416252595,"auto"
25,1,"tricube",1,0.168260809327599,"auto"
26,1,"tricube",1,0.173846187761199,"auto"
27,1,"tricube",1,0.183868501870898,"auto"
28,1,"tricube",1,0.194621810755192,"auto"
29,1,"tricube",1,0.204331353904517,"auto"
30,1,"tricube",1,0.2125301134933,"auto"
31,1,"tricube",1,0.225529445618861,"auto"
32,1,"tricube",1,0.23371303364313,"auto"
33,1,"tricube",1,0.243883474313717,"auto"
34,1,"tricube",1,0.252698580570806,"auto"
35,1,"tricube",1,0.261260138744612,"auto"
15,2,"tricube",1,0.104131877706104,"auto"
16,2,"tricube",1,0.104470612358038,"auto"
17,2,"tricube",1,0.104313964703116,"auto"
18,2,"tricube",1,0.104138927047549,"auto"
19,2,"tricube",1,0.103443899574289,"auto"
20,2,"tricube",1,0.103491513565724,"auto"
21,2,"tricube",1,0.103199370554969,"auto"
22,2,"tricube",1,0.102709210929861,"auto"
23,2,"tricube",1,0.102292157427185,"auto"
24,2,"tricube",1,0.102159972828266,"auto"
25,2,"tricube",1,0.10270898558089,"auto"
26,2,"tricube",1,0.103540259316326,"auto"
27,2,"tricube",1,0.105229192953554,"auto"
28,2,"tricube",1,0.106471433494608,"auto"
29,2,"tricube",1,0.107959264640395,"auto"
30,2,"tricube",1,0.109252025456606,"auto"
31,2,"tricube",1,0.111393425674667,"auto"
32,2,"tricube",1,0.113005173811213,"auto"
33,2,"tricube",1,0.114333046297222,"auto"
34,2,"tricube",1,0.116652110633342,"auto"
35,2,"tricube",1,0.118779558904281,"auto"
15,1,"gaussian",1,0.152567404893956,"cpp.local.pca"
16,1,"gaussian",1,0.162569899828618,"cpp.local.pca"
17,1,"gaussian",1,0.172567103011864,"cpp.local.pca"
18,1,"gaussian",1,0.184982945919543,"cpp.local.pca"
19,1,"gaussian",1,0.194134128957267,"cpp.local.pca"
20,1,"gaussian",1,0.205311982170351,"cpp.local.pca"
21,1,"gaussian",1,0.217495650610648,"cpp.local.pca"
22,1,"gaussian",1,0.229634149035389,"cpp.local.pca"
23,1,"gaussian",1,0.243779662521812,"cpp.local.pca"
24,1,"gaussian",1,0.256418728317849,"cpp.local.pca"
25,1,"gaussian",1,0.270055817919244,"cpp.local.pca"
26,1,"gaussian",1,0.285214300006414,"cpp.local.pca"
27,1,"gaussian",1,0.301587032337843,"cpp.local.pca"
28,1,"gaussian",1,0.316322924917084,"cpp.local.pca"
29,1,"gaussian",1,0.332555164108716,"cpp.local.pca"
30,1,"gaussian",1,0.34790594999507,"cpp.local.pca"
31,1,"gaussian",1,0.364390581359463,"cpp.local.pca"
32,1,"gaussian",1,0.380849492251146,"cpp.local.pca"
33,1,"gaussian",1,0.396502171783552,"cpp.local.pca"
34,1,"gaussian",1,0.412753791209905,"cpp.local.pca"
35,1,"gaussian",1,0.428297653084789,"cpp.local.pca"
15,2,"gaussian",1,0.103948608744386,"cpp.local.pca"
16,2,"gaussian",1,0.103278321433718,"cpp.local.pca"
17,2,"gaussian",1,0.102609415999667,"cpp.local.pca"
18,2,"gaussian",1,0.102277482730401,"cpp.local.pca"
19,2,"gaussian",1,0.102188667969071,"cpp.local.pca"
20,2,"gaussian",1,0.103333984964903,"cpp.local.pca"
21,2,"gaussian",1,0.104857407106424,"cpp.local.pca"
22,2,"gaussian",1,0.108096120337946,"cpp.local.pca"
23,2,"gaussian",1,0.112230478750465,"cpp.local.pca"
24,2,"gaussian",1,0.114905350316214,"cpp.local.pca"
25,2,"gaussian",1,0.118054923539005,"cpp.local.pca"
26,2,"gaussian",1,0.120597362731987,"cpp.local.pca"
27,2,"gaussian",1,0.123446307788269,"cpp.local.pca"
28,2,"gaussian",1,0.12670489538321,"cpp.local.pca"
29,2,"gaussian",1,0.129479732522591,"cpp.local.pca"
30,2,"gaussian",1,0.134273427631388,"cpp.local.pca"
31,2,"gaussian",1,0.141407705632908,"cpp.local.pca"
32,2,"gaussian",1,0.143932497882597,"cpp.local.pca"
33,2,"gaussian",1,0.152275894778215,"cpp.local.pca"
34,2,"gaussian",1,0.156617275617688,"cpp.local.pca"
35,2,"gaussian",1,0.162675579392363,"cpp.local.pca"
15,1,"tricube",1,0.114942915745551,"cpp.local.pca"
16,1,"tricube",1,0.118893289199817,"cpp.local.pca"
17,1,"tricube",1,0.121701704965423,"cpp.local.pca"
18,1,"tricube",1,0.126659136572947,"cpp.local.pca"
19,1,"tricube",1,0.129360440727522,"cpp.local.pca"
20,1,"tricube",1,0.133331046497127,"cpp.local.pca"
21,1,"tricube",1,0.1390404012642,"cpp.local.pca"
22,1,"tricube",1,0.14389665415793,"cpp.local.pca"
23,1,"tricube",1,0.14943479542665,"cpp.local.pca"
24,1,"tricube",1,0.156710416252595,"cpp.local.pca"
25,1,"tricube",1,0.168260809327599,"cpp.local.pca"
26,1,"tricube",1,0.173846187761199,"cpp.local.pca"
