"support.size","degree","kernel","chart.dim","cv.rmse.observed","run.label","dataset.id"
15,1,"gaussian",1,0.152567404893956,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,1,"gaussian",1,0.162569899828618,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,1,"gaussian",1,0.172567103011864,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,1,"gaussian",1,0.184982945919543,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,1,"gaussian",1,0.194134128957267,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,1,"gaussian",1,0.205311982170351,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,1,"gaussian",1,0.217495650610648,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,1,"gaussian",1,0.229634149035389,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,1,"gaussian",1,0.243779662521812,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,1,"gaussian",1,0.256418728317849,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,1,"gaussian",1,0.270055817919244,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,1,"gaussian",1,0.285214300006414,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,1,"gaussian",1,0.301587032337843,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,1,"gaussian",1,0.316322924917084,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,1,"gaussian",1,0.332555164108716,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,1,"gaussian",1,0.34790594999507,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,1,"gaussian",1,0.364390581359463,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,1,"gaussian",1,0.380849492251146,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,1,"gaussian",1,0.396502171783552,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,1,"gaussian",1,0.412753791209905,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,1,"gaussian",1,0.428297653084789,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,2,"gaussian",1,0.103948608744386,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,2,"gaussian",1,0.103278321433718,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,2,"gaussian",1,0.102609415999667,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,2,"gaussian",1,0.102277482730401,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,2,"gaussian",1,0.102188667969071,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,2,"gaussian",1,0.103333984964903,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,2,"gaussian",1,0.104857407106424,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,2,"gaussian",1,0.108096120337946,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,2,"gaussian",1,0.112230478750465,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,2,"gaussian",1,0.114905350316214,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,2,"gaussian",1,0.118054923539005,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,2,"gaussian",1,0.120597362731987,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,2,"gaussian",1,0.123446307788269,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,2,"gaussian",1,0.12670489538321,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,2,"gaussian",1,0.129479732522591,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,2,"gaussian",1,0.134273427631388,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,2,"gaussian",1,0.141407705632908,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,2,"gaussian",1,0.143932497882597,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,2,"gaussian",1,0.152275894778215,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,2,"gaussian",1,0.156617275617688,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,2,"gaussian",1,0.162675579392363,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,1,"tricube",1,0.114942915745551,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,1,"tricube",1,0.118893289199817,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,1,"tricube",1,0.121701704965423,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,1,"tricube",1,0.126659136572947,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
19,1,"tricube",1,0.129360440727522,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
20,1,"tricube",1,0.133331046497127,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
21,1,"tricube",1,0.1390404012642,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
22,1,"tricube",1,0.14389665415793,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
23,1,"tricube",1,0.14943479542665,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
24,1,"tricube",1,0.156710416252595,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
25,1,"tricube",1,0.168260809327599,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
26,1,"tricube",1,0.173846187761199,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
27,1,"tricube",1,0.183868501870898,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
28,1,"tricube",1,0.194621810755192,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
29,1,"tricube",1,0.204331353904517,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
30,1,"tricube",1,0.2125301134933,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
31,1,"tricube",1,0.225529445618861,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
32,1,"tricube",1,0.23371303364313,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
33,1,"tricube",1,0.243883474313717,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
34,1,"tricube",1,0.252698580570806,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
35,1,"tricube",1,0.261260138744612,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
15,2,"tricube",1,0.104131877706104,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
16,2,"tricube",1,0.104470612358038,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
17,2,"tricube",1,0.104313964703116,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
18,2,"tricube",1,0.104138927047549,"auto","p7d_1d_two_gaussian_v1__noise_sd010_r01"
