"support.size","degree","chart.dim","dataset.id","truth.id"
15,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
16,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
17,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
18,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
19,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
20,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
21,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
22,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
23,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
24,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
25,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
26,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
27,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
28,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
29,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
30,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
31,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
32,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
33,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
34,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
35,1,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
15,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
16,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
17,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
18,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
19,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
20,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
21,2,1,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1"
