"phase","seconds","share.of.total","dataset.id","truth.id","geometry.family","n","ambient.dimension","profile.sample.policy","profile.sample.n","candidate.count"
"fold_partition",2.7e-05,4.45804975183523e-05,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"tree_build",0.000158,0.000260878466959247,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"ann_search",0.000517000000000001,0.000853633970999562,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"tie_recovery",0.002305,0.00380585358443712,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"neighbor_extract",0.00015,0.000247669430657512,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"kernel_weights",0.0082290000000004,0.0135871449658718,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"chart_build",0.0751440000000031,0.124072477982193,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"local_solve",0.514860999999993,0.850102204918373,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"accumulate",0.000404000000000003,0.000667056333237573,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"rmse",5e-06,8.25564768858376e-06,"p7d_1d_two_gaussian_v1__noise_sd010_r01","p7d_1d_two_gaussian_v1","controlled_1d",200,1,"full_dataset",200,84
"fold_partition",3e-05,1.76490043667167e-06,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"tree_build",0.001204,7.08313375250895e-05,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"ann_search",0.014599,0.000858859382498988,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"tie_recovery",0.06271,0.00368923021278934,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"neighbor_extract",0.000216,1.2707283144036e-05,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"kernel_weights",0.00896499999999989,0.000527411080492043,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"chart_build",11.27335,0.663211344591752,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"local_solve",5.62579899999999,0.330965837057567,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"accumulate",0.00105900000000001,6.23009854145104e-05,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"rmse",4e-06,2.35320058222889e-07,"p7d_hd1_latent_two_gaussian_v1__noise_sd010_r01","p7d_hd1_latent_two_gaussian_v1","controlled_highdim",200,100,"full_dataset",200,84
"fold_partition",5.1e-05,2.67675365416238e-06,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"tree_build",0.004377,0.000229728445966054,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"ann_search",0.0562239999999999,0.00295093720493383,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"tie_recovery",0.539997,0.0283419400585632,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"neighbor_extract",0.00084400000000001,4.42976487080995e-05,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"kernel_weights",0.0257650000000051,0.00135228544900995,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"chart_build",13.9442799999999,0.731870636169867,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"local_solve",4.45988500000012,0.234078695507731,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"accumulate",0.00165299999999996,8.67583096143197e-05,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"rmse",5e-06,2.62426828839449e-07,"p7d_hd3_latent_four_gaussian_v1__noise_sd010_r01","p7d_hd3_latent_four_gaussian_v1","controlled_highdim",600,99,"full_dataset",600,84
"fold_partition",3.3e-05,6.21128300261702e-06,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"tree_build",0.004658,0.000876732006854245,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
"ann_search",0.028829,0.00542621447522564,"p7d_16s_graph_gaussian_farthest3_v1__noise_sd010_r01","p7d_16s_graph_gaussian_farthest3_v1","real16s",500,178,"deterministic_16s_subset_n500",500,12
