"support.size","degree","kernel","chart.dim","cv.rmse.observed","cv.brier.observed"
12,1,"gaussian",1,0.423055972461877,0.178976355835664
18,1,"gaussian",1,0.419012595379154,0.175571555086375
24,1,"gaussian",1,0.41735656731594,0.174186504281745
30,1,"gaussian",1,0.416130548291735,0.17316463322158
12,2,"gaussian",1,0.452292127104852,0.204568168241032
18,2,"gaussian",1,0.432167563064157,0.186768802564812
24,2,"gaussian",1,0.424425633204373,0.180137118120933
30,2,"gaussian",1,0.422808732406701,0.178767224199361
12,1,"tricube",1,0.437273576132151,0.1912081803834
18,1,"tricube",1,0.422361682036342,0.178389390452568
24,1,"tricube",1,0.418555349656164,0.175188580725793
30,1,"tricube",1,0.417166617606971,0.174027986845641
12,2,"tricube",1,0.481736841284489,0.232070384250757
18,2,"tricube",1,0.443091011199356,0.196329644205667
24,2,"tricube",1,0.432821698618788,0.187334622795253
30,2,"tricube",1,0.427844686980906,0.183051076177789
