"support.size","degree","kernel","chart.dim","cv.rmse.observed","cv.brier.observed","cv.logloss.observed"
12,1,"gaussian",1,0.425433950689233,0.180994046399049,1.22851484914385
18,1,"gaussian",1,0.422072742863421,0.178145400268252,0.799347915183926
24,1,"gaussian",1,0.421476338560625,0.17764230396647,0.61199064720864
30,1,"gaussian",1,0.416942484373099,0.173841035275212,0.532130511804938
12,2,"gaussian",1,0.463628057248191,0.214950975467732,1.70011714933481
18,2,"gaussian",1,0.430741437417445,0.185538185908447,0.86086012554285
24,2,"gaussian",1,0.428203250299549,0.183358023567098,0.815517249885125
30,2,"gaussian",1,0.42683644543455,0.182189351151201,0.557414415592281
12,1,"tricube",1,0.444625360791493,0.197691711458965,1.33025356972191
18,1,"tricube",1,0.424235853040158,0.179976059004711,0.887623218422156
24,1,"tricube",1,0.421963922440186,0.178053551841108,0.907660291975051
30,1,"tricube",1,0.421403147992857,0.17758061313829,0.627231992340078
12,2,"tricube",1,0.481720266104053,0.232054414775359,1.78633473360405
18,2,"tricube",1,0.446522219460172,0.199382092471638,1.10554647969303
24,2,"tricube",1,0.435566614126916,0.189718275341986,1.07650783625907
30,2,"tricube",1,0.431691780834555,0.186357793640109,0.826885253467552
