"dataset_id","truth_rmse_auto","observed_rmse_auto","selected_cv_rmse_observed_auto","selected_support_size_auto","selected_kernel_auto","elapsed_sec_auto","truth_rmse_local_auto","observed_rmse_local_auto","selected_cv_rmse_observed_local_auto","selected_support_size_local_auto","selected_kernel_local_auto","elapsed_sec_local_auto"
"LA-D1-RAW-N500",0.0467257316615594,0.0883931074496484,0.163548819493774,35,"gaussian",3.951,0.0491154352290414,0.0862810415646853,0.396072715587274,34,"gaussian",9.405
"LA-D1-HC-Li-N500",0.0506609139549611,0.0957939751882675,1.57162562052879,26,"gaussian",3.581,0.048657613161673,0.0916696803057097,1.61299430811632,32,"gaussian",13.006
"LA-D1-HC-Lc-N500",0.0644894414288584,0.0734195327147704,34.626372354427,27,"tricube",4.071,0.0658445854454703,0.0724150663979233,2.93421694520833,23,"tricube",12.624
"LA-D1-HC-Gv-N500",0.0518638446248049,0.0924202410905804,0.290455898780635,35,"tricube",4.256,0.0540874951459715,0.0829471225580208,0.586927472217268,35,"tricube",12.829
"LA-D1-HC-Bv-N500",0.0750640954332878,0.0606753210187766,282.016676402021,15,"tricube",4.595,0.0468271754497594,0.0885571430817085,70.7571184172562,34,"gaussian",13.126
"LA-D2-RAW-N500",0.0916834394572969,0.0357401692674006,119.219942657669,30,"tricube",20.837,0.0855746197796613,0.0521811550369712,6.37719582552025,33,"gaussian",31.747
"LA-D2-HC-TOP1-N500",0.0868064093213055,0.0555478722156393,229.703163918253,21,"gaussian",19.448,0.0825127508121705,0.0748699406562476,11.383467893442,35,"gaussian",31.694
"LA-D3-RAW-N500",0.0824733946733432,0.0571377205466878,621.203124655795,31,"gaussian",24.349,0.0811116370155795,0.0581974502316272,5.64827001513482,33,"gaussian",36.426
"LA-13K-SUB-N500",0.0901652264841668,0.040972754427988,5.2544643437161,15,"gaussian",33.992,0.0890041230910766,0.0428858399295017,4.55556613471915,15,"gaussian",46.891
"SYN-PARA-LINE-N500",0.0323567733284085,0.0956677453497436,0.1085107076443,35,"gaussian",5.196,0.0337065881320661,0.0943001352880118,0.109026218504657,32,"gaussian",13.238
"SYN-SADDLE-LINE-N500",0.038886909008219,0.0925390220314138,0.104694736723141,32,"gaussian",5.263,0.0389127989665151,0.0925045901294008,0.104694736723141,32,"gaussian",12.707
"SYN-TWO-PLANES-N600",0.03761112191145,0.0920286179289733,0.108464075428474,35,"gaussian",5.781,0.0383571316161813,0.091449934241417,0.108514815289428,35,"gaussian",14.613
"SYN-SIMPLEX-FACES-N600",0.0855182857789738,0.0487600515866641,418.532477254003,16,"tricube",5.851,0.0610129155595944,0.0780437387213987,3.20975711230332,33,"gaussian",15.23
"SYN-RANK-BLOCKS-N600-P100",0.100134178800507,0.00181978193031723,5.57339674239313,35,"gaussian",25.827,0.0986552885565928,0.0196712359272829,4.64695579656145,35,"gaussian",34.643
