"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.00020323647702003,0.000768365325618359,1.10569543057416e-08,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
2,0.0237280597958932,0.0453825741949697,3.01365165660777e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
3,0.0324224530181691,0.0310128177223686,-1.80068309973042e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
4,0.146271876450716,0.151644258862142,3.2230027003026e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
5,-0.0171206865404627,-0.0269609771567142,8.73505466142657e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
6,-0.0882137413111325,-0.077042183986269,-3.7176669778142e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",3,1,2
7,0.0658200140765934,0.0575649736410194,-2.05107363615163e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
8,0.0174641695163704,0.0171998890382843,-1.84477845839773e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
9,0.0151204616014489,0.0156817461235029,3.48148587036666e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
10,0.0406974075686094,0.0488054975611751,1.46135394967376e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
11,0.140448279800679,0.139983940471882,-2.62218364920635e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
12,-0.0434698309180328,-0.0483466783874832,9.01695029235646e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
13,-0.0236309652005331,-0.0346736486594672,1.29651418268673e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
14,-0.0574339245252612,-0.0773543571135595,5.40692850776077e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
15,0.0521059508605852,0.0399625369847136,-2.25139414626674e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
16,-0.000211443898368635,0.0015567497219281,4.79016603170604e-08,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
17,-0.0328767338842118,-0.0323002269469731,-7.56655805480966e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
18,0.0440966700702887,0.0322873744823666,-1.81646221809957e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
19,0.00971415305595902,0.0127318663936917,1.36400839276792e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
20,0.0460442777056158,0.0493122964324216,6.27530590825611e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
21,0.0223288204822296,0.0402956562020353,2.26576796352137e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
22,0.001408065057798,-0.00118965725835107,-1.14251153559299e-08,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
23,0.0532852827305166,0.0375556096346814,-2.87740380797331e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
24,-0.0489272340843169,-0.058828496773524,2.14847688234051e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
25,0.0438447358108578,0.0313774346617722,-1.88850455115755e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
26,-0.0260989036083298,-0.0313038920752393,6.01661941986856e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
27,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
28,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
29,-0.00381559641870763,0.00851731303609961,1.16767429014251e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
30,0.0239463922528792,0.0452153572529113,2.96218414083445e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
31,0.0214991453260791,0.0418782543184398,2.60087412188724e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
32,0.0205100225086082,0.0445848226261341,3.1557966691549e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
33,-0.0146091284221305,-0.0122987541408065,-1.25187679767521e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
34,-0.0327781015154873,-0.031925059329536,-1.1114648468433e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
35,-0.0496612031039076,-0.0510409205376254,2.79787628017204e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
36,0.0274306474469759,0.0342743015558493,8.5036969443797e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
37,-0.0407720922460554,-0.0859240765640525,0.000115196702837656,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
38,-0.0395312593426214,-0.0837273276935653,0.000109698464035714,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
39,0.0298271845111309,0.0806509094053853,0.000113068697554501,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
40,0.0192601302097254,-0.0410891758742707,2.65281372282965e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
41,-0.0121564909599294,-0.045310748040649,3.83671339247083e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
42,-0.0183902210147738,0.00236556572535823,-6.69772976759201e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
43,0.00944650146922194,0.0113641842665262,8.03642486334561e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
44,0.0151514446915796,0.0912531888886524,0.000163062792838173,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
45,0.0375175235385372,0.0504028694658077,2.28131590512244e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
46,-0.543463011138657,-0.105168774347183,-0.00572484473202772,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
47,-0.0168039635527768,-0.0362571806540917,2.07858490830864e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
48,0.0097980482890554,0.0235036557106242,9.19103604814641e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
49,-0.0518506323593826,-0.0262958386409795,-4.02143890815102e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",3,1,2
50,-0.032029864934258,-0.0238936923656165,-9.16251430732072e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
51,0.0120307755012121,0.0199063094629343,5.06494819396928e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
52,-0.0317036639142059,-0.0321486115196038,5.72117164406158e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
53,-0.0299420076843677,-0.0371339694031159,9.71435790412592e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
54,-0.0323603011820809,-0.0177084777343833,-1.47726497809283e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
55,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
56,0.115408414675222,0.0648883592201003,-0.000183422031719715,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
57,0.0854156141015143,0.129509007997225,0.000190835613358573,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
58,-0.00786113583284281,-0.0109443842083811,1.16759865055519e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
59,0.00766616794450822,0.079851760853973,0.000127217625229334,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
60,0.0494653677686665,-0.043223578162367,-1.16502915644685e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
61,0.0124986528916882,0.0136874778959456,6.26886603111518e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
62,-0.0267204858358037,0.0217529161413602,-4.84894429345611e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
63,0.0819485717059263,0.0772165342045871,-1.51668630604779e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
64,-0.0197824340052835,-0.0485237288469071,3.9533561824357e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
65,-0.0111113830979355,-0.0331790896308886,1.9681909967063e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
66,0.0448379170963478,0.0676203408339172,5.15930261822634e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
67,-0.0280916006593989,-0.0317861766170866,4.45481830526328e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
68,-0.00710773382003882,-0.0138074930114568,2.82176925641169e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
69,0.0193534556998338,0.00917579938664359,-5.84706522682354e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
70,0.0654112493141967,0.0656320188204697,5.82577258168989e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
71,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
72,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
73,0.0116773259167695,0.0134846135355364,9.15737737087305e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
74,0.0444533994733005,0.00941939110606282,-3.80066005954242e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
75,-0.0617162956785318,-0.104106837648887,0.000141551283472356,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
76,-0.0299357454385362,-0.058624435106377,5.1162167026447e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
77,-0.0428094026674042,0.0201130052141408,-2.87582190243075e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
78,-0.00625191370259082,-0.0242223887507944,1.10279060261708e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
79,-0.00786113583284281,-0.0109443842083811,1.16759865055519e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
80,0.00693211647405589,-0.00536680124705324,-3.87675567558443e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
81,0.0180840721079357,0.0370067168130809,2.09923255115198e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
82,0.00173398435871237,-0.0153283200623384,4.67084442170263e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
83,0.0469799346770561,0.03636187350025,-1.78200068708845e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
84,-0.0611049759499015,-0.041748816619832,-4.00902924052373e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
85,-0.0117111033048884,-0.0119611879678746,1.19213950446688e-07,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
86,0.0508736127779242,0.0388030086052957,-2.17975644963876e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
87,-0.0405523233500159,-0.0499135274229442,1.70536014840865e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
88,0.00286476139799623,-0.0198927386404089,7.80346233473829e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
89,0.0397865298537735,0.0456814233564509,1.01456293542176e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
90,-0.017481254149419,-0.028044745662726,9.68426589906336e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
91,-0.0269705062043086,-0.034113161759618,8.7858652959854e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
92,-0.0114715622311819,-0.00334707888038768,-2.42439767257034e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
93,-0.0418982808673473,0.00274349869010959,-3.51986523626917e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
94,-0.0585491668103577,-0.0768124665184117,4.97822541317365e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
95,-0.0820011151594925,-0.0997356723699047,6.49027235752636e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
96,0.0690501691737422,0.16850895637488,0.000475789224861986,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
97,0.042602768653171,0.0518010859185355,1.74862964772753e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
98,0.0258349874847487,-0.0225590463012842,-3.19247602468888e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
99,-0.0394163744687566,-0.0339839609848042,-8.02953856889751e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",1,1,0
100,-0.0464477876970975,-0.0441259695456066,-4.23477471364183e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
101,-0.0888550382769401,0.0469017632357726,-0.000114690432851136,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
102,-0.058070066633122,0.0184819994558862,-6.10268481192627e-05,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
103,-0.00549458497223512,-0.0224898898063413,9.5773607058377e-06,0.0506609139549611,0.048657613161673,-0.00200330079328809,"LA-D1-HC-Li-N500","FB02",2,1,1
