"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0531621345525047,-0.00816787444173979,-4.5278031105776e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
2,0.0304425551003782,0.0517007936001477,2.86521403082421e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
3,-0.0935834307690324,0.0223677614085086,-0.000135490289078982,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",3,2,1
4,0.159885253877445,0.171488969777729,6.30918411156973e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",1,2,-1
5,0.0472455771955921,0.0248255380839505,-2.65127635749626e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
6,0.0194083012618024,0.0156948261526176,-2.13886669592718e-06,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
7,-0.0142122780778217,-0.000779033836489912,-3.30428837084091e-06,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
8,0.0517840817915554,0.021145157686898,-3.66633872500133e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
9,0.0618371920554098,-0.0563488815213037,-1.06429585629322e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
10,-0.0307197781655118,-0.00196497474103138,-1.54210164189219e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",1,2,-1
11,0.0758898497656133,0.035201778161253,-7.41661659442416e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",2,2,0
12,-0.0357008847583528,0.00924010401960018,-1.95120395680696e-05,0.0750640954332878,0.0468271754497594,-0.0282369199835284,"LA-D1-HC-Bv-N500","FB05",1,2,-1
