"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0130984461567254,0.00265737624932294,-1.9431663027443e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",2,3,-1
2,0.0184314911734123,0.0325955131525649,8.53710365954693e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
3,-0.0997722863518109,-0.0903056948839176,-2.12544238228214e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
4,0.0252438217179515,0.140067138038388,0.000224210332822036,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
5,0.044582958036304,0.0361534769370934,-8.03885693845165e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",4,3,1
6,0.000132142531980461,-0.0295896243427601,1.0341752302654e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
7,0.0741403868973031,0.072566625230667,-2.72717950799796e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
8,0.0937863271982235,0.054494262883724,-6.88197422843218e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
9,0.0579875583544419,0.0416104271671978,-1.92669190372465e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",4,3,1
10,-0.0235622581644687,-0.0291554291979378,3.4828786260746e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
11,0.0841842407248865,0.127999024987987,0.000109813490736913,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",4,3,1
12,0.0606685901971702,0.0445017837893141,-2.00835992186706e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
13,-0.0406255296584306,0.0278113420843502,-1.03586966862339e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
14,-0.213241000490573,-0.186322528107691,-0.000127045749592668,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
15,0.0687480817739468,0.00775693274087047,-5.51163700360021e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
16,-0.00293881125689865,-0.00341680958474322,3.58846114323271e-08,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
17,0.00757294122276564,-0.0125354710121502,1.17870410713509e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
18,0.0942130048398181,0.0876100939549851,-1.41810497666048e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
19,0.0989328027886479,0.031609878446063,-0.000103810047785668,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
20,0.0572386836833547,-0.0020314766013208,-3.86505580353925e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
21,0.0919004903094589,0.0678478983205325,-4.53860367553992e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",3,3,0
22,0.0781545829785509,0.045350830924179,-4.78556705790879e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
23,0.0132286944037857,0.00624378876035947,-1.60659263177939e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
24,-0.195170264264639,-0.198590816496903,1.59093671704448e-05,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",6,3,3
25,0.0239618350704931,-0.0262989294842154,1.38748800759018e-06,0.0868064093213055,0.0825127508121705,-0.00429365850913498,"LA-D2-HC-TOP1-N500","FB07",1,3,-2
