"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0966918046846604,-0.0966918046846604,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
2,0.0194036650174737,0.0194036650174737,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
3,-0.0904612881842361,-0.0904612881842361,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
4,0.142148886881981,0.142148886881981,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
5,0.0418348918020801,0.0418348918020801,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
6,-0.0409655544788098,-0.0409655544788098,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
7,0.0480653021590034,0.0480653021590034,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
8,0.0752308023372998,0.0752308023372998,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
9,0.054546795460626,0.054546795460626,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
10,0.0328882117824785,0.0328882117824785,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
11,0.0553102353799813,0.0553102353799813,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
12,-0.00804523148735342,-0.00804523148735342,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
13,-0.0027730609539757,-0.0027730609539757,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
14,-0.191817442891889,-0.191817442891889,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
15,0.0689913548094752,0.0689913548094752,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
16,-0.00530624556131926,-0.00530624556131926,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
17,-0.040751983061931,-0.040751983061931,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
18,0.10392653185563,0.10392653185563,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
19,0.072316364792679,0.072316364792679,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
20,0.059849627882018,0.059849627882018,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
21,0.0908348480188096,0.0908348480188096,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
22,0.0259487876533027,0.0259487876533027,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
23,0.00451843614422941,0.00451843614422941,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
24,-0.200866392296161,-0.200866392296161,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
25,0.0895770349640239,0.0895770349640239,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
26,-0.0164148872235694,-0.0164148872235694,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
27,-0.0488931978788611,-0.0488931978788611,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
28,-0.145625911852497,-0.145625911852497,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
29,-0.0446669819946409,-0.0446669819946409,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
30,-0.0141977490778432,-0.0141977490778432,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
31,0.0962983667299032,0.0962983667299032,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
32,-0.0101368544273632,-0.00209928622041156,-1.09783079839826e-06,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",1,3,-2
33,-0.00490072994443025,-0.00490072994443025,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
34,-0.0396422466088801,-0.0396422466088801,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
35,-0.1408829587859,-0.1408829587859,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
36,-0.0359719035308562,-0.0359719035308562,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
37,-0.0296682284491324,-0.0296682284491324,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
38,0.0269482391993071,0.0269482391993071,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
39,0.0751714607564526,0.0751714607564526,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
40,0.0189565161509879,0.0189565161509879,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
41,0.0167754147722145,0.0167754147722145,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
42,-0.0204534374020696,-0.0204534374020696,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
43,0.0716215375255299,0.0716215375255299,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
44,0.0403807777982675,0.0403807777982675,0,0.0901652264841668,0.0890041230910766,-0.00116110339309015,"LA-13K-SUB-N500","FB09",3,3,0
