"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,-0.0310176302645065,-0.0313531894833185,6.33606982404629e-07,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
2,-0.0155924001242645,-0.0174448605986222,1.85277340774772e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
3,-0.0199698777458151,-0.0179896533092924,-2.27564536022702e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
4,-0.0330203936859028,-0.0181442616638024,-2.3042489846747e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",3,2,1
5,-0.0287331194938165,-0.0310567816979591,4.2060086110475e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
6,0.0221793679263871,0.00260608389732012,-1.4686890815401e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
7,0.0514557357763812,0.056796436828148,1.75026665099672e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
8,-0.00321370427568012,-0.00935068894356783,2.33434953484679e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
9,0.0173858819442955,0.0118098350124494,-4.92850149797793e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
10,0.00144061616536412,0.00102522012750156,-3.10095824199601e-08,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
11,0.0331287798639224,0.0288247510774255,-8.07254655838904e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
12,0.0235780024224663,0.022814817953913,-1.07188853794003e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
13,0.0178568373534009,-0.000167673947671532,-9.6525068862518e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
14,-0.0160582902154807,-0.0107600572134883,-4.30162347981859e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
15,-0.00598648093439212,-0.0100200982294341,1.95462093124937e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
16,-0.00914297579273012,-0.0303715949516145,2.53950073085627e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
17,0.0236539330923726,0.0183829999298356,-6.70791977337299e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
18,-0.0191305294481724,-0.00851549284165808,-8.88430537421676e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",3,2,1
19,0.0161307440295901,0.00749412852799539,-6.1770680765652e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
20,0.00562684853731221,0.0106106889135129,2.44992967261923e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
21,0.0150604554412475,0.0193095566548262,4.42126034399622e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
22,0.0425872390512171,0.0517686418114385,2.62269229371208e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
23,-0.0011823819516535,-0.00394945605794181,4.29895656536134e-07,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
24,-0.000103165499872326,-0.0272701229307685,2.25132038424592e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
25,-0.022174922079751,-0.0318412275767704,1.58071461339444e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
26,0.000392944664297897,0.00435548246298434,5.69629566531257e-07,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
27,0.0374418664718501,-0.000105415024087646,-4.24405365266582e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",3,2,1
28,-0.0377953147717601,-0.0466689560132803,2.26905086300063e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
29,0.0237903692794605,0.0230467893436822,-1.05435662464349e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
30,-0.00615294777913934,-0.0169216109960994,7.52254038660023e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
31,0.0321483644499871,0.0464631183194552,3.40674165613496e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
32,-0.0834042953796296,-0.0859539260619355,1.30723265708033e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
33,-0.0574549498233703,-0.0583071799144198,2.98670755424819e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
34,0.0408390251818631,0.0404369598243635,-9.89300491081164e-07,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
35,-0.0343851837831921,-0.0338356022013418,-1.13505842414267e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
36,0.0331130974460233,0.0272743705660122,-1.06741747589889e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
37,-0.0162438721296507,-0.00865850012763238,-5.71856330432863e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
38,0.0606422090917588,0.0626712449785471,7.5747711924157e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
39,0.0151311258627481,0.012022401396273,-2.55551133563554e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
40,-0.0111513687851965,-0.0120014633380712,5.95855131694673e-07,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
41,0.0179883302515824,0.0167683160770341,-1.28372520693009e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
42,-0.0586477506151108,-0.05670953661646,-6.76886867442797e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
43,0.0509844032429815,0.044319906128957,-1.92286701954575e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
44,-0.0442436040000767,-0.0392106080263829,-1.27158141466433e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
45,-0.033261170451754,-0.0344899905720801,2.52042850987383e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
46,-0.0292023662001809,-0.0311175744837993,3.49740756484061e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
47,0.0371733030028325,0.0285874682654339,-1.70930180309099e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
48,0.0775571721764022,0.0724419590027039,-2.32285343914786e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
49,0.0347657183944176,0.0312071842458937,-7.10732308295422e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
50,0.0596921000284639,0.0630792338301593,1.25892151291932e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
51,-0.00755463877206221,-0.0147977711654774,4.90139953251863e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
52,-0.00698279858951106,-0.0129001192528373,3.56184117776499e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
53,0.0165678430827468,0.0153839339966877,-1.14520358527955e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
54,-0.0128350176698587,-0.01144941898963,-1.01867306299924e-06,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
55,0.0629312183493905,0.0594454165898841,-1.29142895536438e-05,0.0323567733284085,0.0337065881320661,0.00134981480365755,"SYN-PARA-LINE-N500","FB10",2,2,0
