"point","error_auto","error_local_auto","rmse_component","truth_rmse_auto","truth_rmse_local_auto","truth_rmse_delta","dataset_id","batch_id","local_dim","auto_dim","dim_deviation"
1,0.0284395773039042,0.0284395773039042,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
2,-0.103490174700484,-0.103490174700484,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
3,-0.058042325664581,-0.058042325664581,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
4,0.0653994897048311,0.0653994897048311,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
5,0.00531911991932628,0.00531911991932628,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
6,0.0405054955864643,0.0405054955864643,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
7,-0.0305120939374651,-0.0305120939374651,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
8,-0.0194086836953309,-0.0194086836953309,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
9,0.0529428773883779,0.0529428773883779,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
10,-0.0703389648894065,-0.0703389648894065,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
11,0.0155565631095764,0.0155565631095764,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
12,0.0407449530555883,0.0407449530555883,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
13,0.0117612719619521,0.0117612719619521,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
14,-0.00768965467384941,-0.00768965467384941,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
15,0.0949236942201329,0.0949236942201329,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
16,0.00611736658341323,0.00611736658341323,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
17,-0.0491086342667586,-0.0491086342667586,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
18,-0.083101536941022,-0.083101536941022,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
19,0.077962354862382,0.077962354862382,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
20,-0.0347370815843311,-0.0347370815843311,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
21,0.00109739617640681,0.00109739617640681,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
22,0.0921168144472025,0.0921168144472025,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
23,-0.0260071182689012,-0.0260071182689012,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
24,-0.045251635359725,-0.045251635359725,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
25,0.0560758946349216,0.0560758946349216,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
26,-0.0197485586890248,-0.0197485586890248,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
27,-0.0371051687461551,-0.0371051687461551,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
28,-0.0375070893311813,-0.0375070893311813,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
29,-0.00814518290056285,-0.00814518290056285,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
30,-0.00871705138440707,-0.00871705138440707,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
31,0.0527022731734746,0.0527022731734746,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
32,0.0117792602872677,0.0117792602872677,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
33,0.014853366959023,0.014853366959023,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
34,-0.0595280526735353,-0.0595280526735353,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
35,0.00539471328030591,0.00539471328030591,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
36,0.00187282113909787,0.00187282113909787,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
37,-0.0372278490961825,-0.0372278490961825,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
38,0.0138698657021226,0.0138698657021226,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
39,0.0362017775210387,0.0362017775210387,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
40,0.0370499436869708,0.0370499436869708,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
41,0.0188150031722483,0.0188150031722483,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
42,0.0806703765471563,0.0806703765471563,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
43,-0.0128431563391199,-0.0128431563391199,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
44,0.00724143976722391,0.00724143976722391,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
45,-0.0130513276302011,-0.0130513276302011,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
46,0.0230791635063755,0.0230791635063755,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
47,-0.00412282232884269,-0.00412282232884269,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
48,-0.0538456896822335,-0.0538456896822335,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
49,0.0276074382688238,0.0276074382688238,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
50,0.100745789560392,0.100745789560392,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
51,-0.0104576419619798,-0.0104576419619798,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
52,-0.0101920831331664,-0.0101920831331664,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
53,0.0197204335847422,0.0197204335847422,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
54,-0.0399893995086311,-0.0399893995086311,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
55,0.0712841618893912,0.0712841618893912,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
56,0.037683752874896,0.037683752874896,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
57,-0.0274486518385739,-0.0274486518385739,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
58,-0.035594033905776,-0.035594033905776,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
59,0.0116949705890947,0.0116949705890947,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
60,0.0112215583763539,0.0112215583763539,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
61,0.0191367181587229,0.0191367181587229,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
62,8.81487036445416e-05,8.81487036445416e-05,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
63,0.0149911352541416,0.0149911352541416,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
64,0.0213297713913388,0.0213297713913388,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
65,0.00603960332489711,0.00603960332489711,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
66,-0.000601756843797263,-0.000601756843797263,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
67,-0.0586196301067996,-0.0586196301067996,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
68,-0.016921413035396,-0.016921413035396,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
69,0.013490310600235,0.013490310600235,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
70,0.00780685547084159,0.00780685547084159,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
71,0.0176448846131609,0.0176448846131609,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
72,0.0225941302427654,0.0225941302427654,0,0.038886909008219,0.0389127989665151,2.58899582961034e-05,"SYN-SADDLE-LINE-N500","FB11",2,2,0
