"task_id","batch_id","dataset_id","chart_dim_rule","n","p","selected_support_size","selected_degree","selected_kernel","selected_cv_rmse_observed","observed_rmse","truth_rmse","resolved_chart_dim","chart_dim_by_eval_n","chart_dim_by_eval_min","chart_dim_by_eval_median","chart_dim_by_eval_max","elapsed_sec"
"FB01__LA_D1_RAW_N500__chart_auto","FB01","LA-D1-RAW-N500","auto",500,4,35,2,"gaussian",0.163548819493774,0.0883931074496484,0.0467257316615594,2,NA,NA,NA,NA,3.951
"FB01__LA_D1_RAW_N500__chart_local_auto","FB01","LA-D1-RAW-N500","local.auto",500,4,34,2,"gaussian",0.396072715587274,0.0862810415646853,0.0491154352290414,2,500,1,2,3,9.405
"FB02__LA_D1_HC_Li_N500__chart_auto","FB02","LA-D1-HC-Li-N500","auto",500,3,26,2,"gaussian",1.57162562052879,0.0957939751882675,0.0506609139549611,1,NA,NA,NA,NA,3.581
"FB02__LA_D1_HC_Li_N500__chart_local_auto","FB02","LA-D1-HC-Li-N500","local.auto",500,3,32,2,"gaussian",1.61299430811632,0.0916696803057097,0.048657613161673,2,500,1,2,3,13.006
"FB03__LA_D1_HC_Lc_N500__chart_auto","FB03","LA-D1-HC-Lc-N500","auto",500,3,27,2,"tricube",34.626372354427,0.0734195327147704,0.0644894414288584,2,NA,NA,NA,NA,4.071
"FB03__LA_D1_HC_Lc_N500__chart_local_auto","FB03","LA-D1-HC-Lc-N500","local.auto",500,3,23,2,"tricube",2.93421694520833,0.0724150663979233,0.0658445854454703,2,500,1,2,3,12.624
"FB04__LA_D1_HC_Gv_N500__chart_auto","FB04","LA-D1-HC-Gv-N500","auto",500,3,35,2,"tricube",0.290455898780635,0.0924202410905804,0.0518638446248049,1,NA,NA,NA,NA,4.256
"FB04__LA_D1_HC_Gv_N500__chart_local_auto","FB04","LA-D1-HC-Gv-N500","local.auto",500,3,35,2,"tricube",0.586927472217268,0.0829471225580208,0.0540874951459715,1,500,1,1,3,12.829
"FB05__LA_D1_HC_Bv_N500__chart_auto","FB05","LA-D1-HC-Bv-N500","auto",500,3,15,2,"tricube",282.016676402021,0.0606753210187766,0.0750640954332878,2,NA,NA,NA,NA,4.595
"FB05__LA_D1_HC_Bv_N500__chart_local_auto","FB05","LA-D1-HC-Bv-N500","local.auto",500,3,34,2,"gaussian",70.7571184172562,0.0885571430817085,0.0468271754497594,2,500,1,2,3,13.126
"FB06__LA_D2_RAW_N500__chart_auto","FB06","LA-D2-RAW-N500","auto",500,43,30,2,"tricube",119.219942657669,0.0357401692674006,0.0916834394572969,4,NA,NA,NA,NA,20.837
"FB06__LA_D2_RAW_N500__chart_local_auto","FB06","LA-D2-RAW-N500","local.auto",500,43,33,2,"gaussian",6.37719582552025,0.0521811550369712,0.0855746197796613,4,500,1,4,6,31.747
"FB07__LA_D2_HC_TOP1_N500__chart_auto","FB07","LA-D2-HC-TOP1-N500","auto",500,42,21,2,"gaussian",229.703163918253,0.0555478722156393,0.0868064093213055,3,NA,NA,NA,NA,19.448
"FB07__LA_D2_HC_TOP1_N500__chart_local_auto","FB07","LA-D2-HC-TOP1-N500","local.auto",500,42,35,2,"gaussian",11.383467893442,0.0748699406562476,0.0825127508121705,3,500,1,3,6,31.694
