"task_id","dataset_id","chart_dim_rule","result_path","batch_id","status_path","log_path","status","started_at","finished_at","elapsed_sec","hostname","pid","error_message","error_class"
"FB01__LA_D1_RAW_N500__chart_auto","LA-D1-RAW-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB01__LA_D1_RAW_N500__chart_auto.rds","FB01","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB01__LA_D1_RAW_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB01__LA_D1_RAW_N500__chart_auto.log","ok","2026-06-05 06:00:20 EDT","2026-06-05 06:00:24 EDT",3.955,"pgajerm4-osx","11307",NA,NA
"FB01__LA_D1_RAW_N500__chart_local_auto","LA-D1-RAW-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB01__LA_D1_RAW_N500__chart_local_auto.rds","FB01","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB01__LA_D1_RAW_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB01__LA_D1_RAW_N500__chart_local_auto.log","ok","2026-06-05 06:05:58 EDT","2026-06-05 06:06:07 EDT",9.41,"pgajerm4-osx","14166",NA,NA
"FB02__LA_D1_HC_Li_N500__chart_auto","LA-D1-HC-Li-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB02__LA_D1_HC_Li_N500__chart_auto.rds","FB02","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB02__LA_D1_HC_Li_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB02__LA_D1_HC_Li_N500__chart_auto.log","ok","2026-06-05 06:02:26 EDT","2026-06-05 06:02:30 EDT",3.585,"pgajerm4-osx","12266",NA,NA
"FB02__LA_D1_HC_Li_N500__chart_local_auto","LA-D1-HC-Li-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB02__LA_D1_HC_Li_N500__chart_local_auto.rds","FB02","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB02__LA_D1_HC_Li_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB02__LA_D1_HC_Li_N500__chart_local_auto.log","ok","2026-06-05 06:06:55 EDT","2026-06-05 06:07:08 EDT",13.009,"pgajerm4-osx","14395",NA,NA
"FB03__LA_D1_HC_Lc_N500__chart_auto","LA-D1-HC-Lc-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB03__LA_D1_HC_Lc_N500__chart_auto.rds","FB03","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB03__LA_D1_HC_Lc_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB03__LA_D1_HC_Lc_N500__chart_auto.log","ok","2026-06-05 06:02:26 EDT","2026-06-05 06:02:30 EDT",4.076,"pgajerm4-osx","12271",NA,NA
"FB03__LA_D1_HC_Lc_N500__chart_local_auto","LA-D1-HC-Lc-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB03__LA_D1_HC_Lc_N500__chart_local_auto.rds","FB03","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB03__LA_D1_HC_Lc_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB03__LA_D1_HC_Lc_N500__chart_local_auto.log","ok","2026-06-05 06:06:55 EDT","2026-06-05 06:07:08 EDT",12.628,"pgajerm4-osx","14396",NA,NA
"FB04__LA_D1_HC_Gv_N500__chart_auto","LA-D1-HC-Gv-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB04__LA_D1_HC_Gv_N500__chart_auto.rds","FB04","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB04__LA_D1_HC_Gv_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB04__LA_D1_HC_Gv_N500__chart_auto.log","ok","2026-06-05 06:02:26 EDT","2026-06-05 06:02:30 EDT",4.259,"pgajerm4-osx","12264",NA,NA
"FB04__LA_D1_HC_Gv_N500__chart_local_auto","LA-D1-HC-Gv-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB04__LA_D1_HC_Gv_N500__chart_local_auto.rds","FB04","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB04__LA_D1_HC_Gv_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB04__LA_D1_HC_Gv_N500__chart_local_auto.log","ok","2026-06-05 06:06:55 EDT","2026-06-05 06:07:08 EDT",12.833,"pgajerm4-osx","14397",NA,NA
"FB05__LA_D1_HC_Bv_N500__chart_auto","LA-D1-HC-Bv-N500","auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB05__LA_D1_HC_Bv_N500__chart_auto.rds","FB05","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB05__LA_D1_HC_Bv_N500__chart_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB05__LA_D1_HC_Bv_N500__chart_auto.log","ok","2026-06-05 06:02:26 EDT","2026-06-05 06:02:31 EDT",4.598,"pgajerm4-osx","12268",NA,NA
"FB05__LA_D1_HC_Bv_N500__chart_local_auto","LA-D1-HC-Bv-N500","local.auto","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/results/FB05__LA_D1_HC_Bv_N500__chart_local_auto.rds","FB05","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/status/FB05__LA_D1_HC_Bv_N500__chart_local_auto.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/runs/lps_local_auto_fb_20260605_001/logs/FB05__LA_D1_HC_Bv_N500__chart_local_auto.log","ok","2026-06-05 06:06:55 EDT","2026-06-05 06:07:08 EDT",13.13,"pgajerm4-osx","14398",NA,NA
