"point","truth","y","fit_auto","fit_local_auto","error_auto","error_local_auto","abs_error_auto","abs_error_local_auto","squared_error_auto","squared_error_local_auto","rmse_component","mse_component","local_dim","auto_dim","dim_deviation","region","PC1","PC2","helps_local_auto","component_abs_rank","component_signed_rank"
1,0.0202078487583982,-0.042437532315835,-0.00359625315791294,0.000308485310093754,-0.0238041019163111,-0.0198993634483045,0.0238041019163111,0.0198993634483045,0.000566635268042128,0.000395984665647715,-3.56111278547357e-06,-3.41301204788825e-07,2,2,0,"Li",-0.909777577254855,-0.284725709652849,TRUE,200,426
2,0.1452930943525,0.163657426774708,0.214051381617442,0.212761442840561,0.0687582872649413,0.067468348488061,0.0687582872649413,0.067468348488061,0.00472770206760819,0.00455197804770645,-3.66698414893736e-06,-3.51448039803493e-07,2,2,0,"Gv",-0.999618238285882,0.832820332152749,TRUE,196,427
3,-0.384711527664883,-0.468274388905888,-0.368612816354561,-0.354332266360511,0.0160987113103223,0.0303792613043721,0.0160987113103223,0.0303792613043721,0.0002591685058531,0.000922899517399318,1.38506454601882e-05,1.32746202309244e-06,1,2,-1,"Li",-0.818196135894807,-1.57174564011053,FALSE,75,54
4,-0.249481862516768,-0.0899537823029888,-0.085942399870004,-0.082024937388299,0.163539462646764,0.167456925128469,0.163539462646764,0.167456925128469,0.0267451558427923,0.0280418217734816,2.70586423925623e-05,2.59333186137865e-06,3,2,1,"Li",-0.834878544881306,-1.12135560315745,FALSE,39,29
5,0.0339818927406897,0.0669326699222258,0.000737865709765423,-0.00475123347399633,-0.0332440270309243,-0.0387331262146861,0.0332440270309243,0.0387331262146861,0.00110516533323283,0.0015002550663628,8.24467702028202e-06,7.9017946625995e-07,2,2,0,"Li",-0.922988886113196,-0.209492881233695,FALSE,111,77
6,-0.430868601768336,-0.512915440180137,-0.480152280680834,-0.4822220948438,-0.0492836789124984,-0.051353493075464,0.0492836789124984,0.051353493075464,0.00242888100715024,0.00263718125105173,4.34678021270871e-06,4.16600487802976e-07,2,2,0,"Li",-0.807794835011382,-1.70672371643767,FALSE,177,115
7,-0.429304280332796,-0.380561375089947,-0.352651821678624,-0.354417034272525,0.0766524586541717,0.0748872460602709,0.0766524586541717,0.0748872460602709,0.0058755994177295,0.00560809962249155,-5.58214812937929e-06,-5.34999590475895e-07,2,2,0,"Li",-0.805217639961659,-1.70402066230405,TRUE,159,444
8,-0.427945577697495,-0.354113107184573,-0.398940084505156,-0.398434125199819,0.0290054931923391,0.0295114524976762,0.0290054931923391,0.0295114524976762,0.000841318635330832,0.0008709258285226,6.17838746173945e-07,5.92143863835366e-08,2,2,0,"Li",-0.803830708659612,-1.70133620557217,FALSE,360,206
9,0.49670886467702,0.55428699984237,0.495930483942818,0.497667874157722,-0.000778380734202277,0.000959009480701434,0.000778380734202277,0.000959009480701434,6.05876567377277e-07,9.19699184075234e-07,6.54880625683897e-09,6.27645233395914e-10,2,2,0,"Lc",1.05137510848961,-0.159716785657575,FALSE,495,263
10,0.084303655680838,0.0537648169652024,0.0383333075102366,0.0385526114622027,-0.0459703481706013,-0.0457510442186353,0.0459703481706013,0.0457510442186353,0.00211327291092631,0.00209315804709552,-4.19754151235363e-07,-4.02297276615709e-08,2,2,0,"Gv",-1.06572004395788,1.69836609867808,TRUE,390,338
11,-0.0676286638545462,0.0835494529905385,-0.0192818849362918,-0.0214051076253894,0.0483467789182544,0.0462235562291568,0.0483467789182544,0.0462235562291568,0.00233741103177057,0.00213661715047002,-4.19013849298694e-06,-4.01587762601092e-07,2,2,0,"Bv",-0.952399063426866,2.13808968877306,TRUE,182,437
12,0.149990076045494,0.188974399686637,0.159933930115378,0.157925593047884,0.00994385406988346,0.00793551700238931,0.00994385406988346,0.00793551700238931,9.88802337631379e-05,6.29724300952099e-05,-7.49319000026689e-07,-7.1815607335856e-08,2,2,0,"Lc",1.9220207058032,0.174648544443583,TRUE,341,352
13,0.1400289380527,0.0779048799985197,0.1563263732222,0.157836558444843,0.0162974351694997,0.0178076203921431,0.0162974351694997,0.0178076203921431,0.000265606393104045,0.000317111344030671,1.0747980768101e-06,1.03009901853254e-07,2,2,0,"Lc",1.93740665952249,0.18527055245008,FALSE,310,181
