"batch_id","dataset_id","selection_rule","support.size","degree","kernel","chart.dim","sum.local.gcv","mean.local.gcv","fallback.rate","mean.df.ratio","max.df.ratio","status","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","fit_status"
"FB01","LA-D1-RAW-N500","sum_local_gcv",16,2,"tricube",4,0.736655919670031,0.00147331183934006,0,0.536625,0.625,"eligible",16,2,"tricube",4,401.490629412724,0.0329370042652572,0.0951588767167404,"ok"
"FB02","LA-D1-HC-Li-N500","sum_local_gcv",35,2,"tricube",2,2.32609576320739,0.00465219152641477,0,0.151885714285714,0.171428571428571,"eligible",35,2,"tricube",2,4.06389129076967,0.0814216145253912,0.0557851863671911,"ok"
"FB03","LA-D1-HC-Lc-N500","sum_local_gcv",35,2,"tricube",2,2.12675961264824,0.00425351922529648,0,0.148628571428571,0.171428571428571,"eligible",35,2,"tricube",2,427.666302728592,0.076950812014843,0.0607650242329975,"ok"
"FB04","LA-D1-HC-Gv-N500","sum_local_gcv",32,2,"tricube",1,2.39280559809328,0.00478561119618657,0,0.0915,0.09375,"eligible",32,2,"tricube",1,0.353624327989865,0.0915120370248537,0.0536432432205755,"ok"
"FB05","LA-D1-HC-Bv-N500","sum_local_gcv",34,2,"tricube",1,2.22005566341709,0.00444011132683418,0,0.0881764705882353,0.0882352941176471,"eligible",34,2,"tricube",1,2438.69594926427,0.0878169170948548,0.0469690988728794,"ok"
"FB06","LA-D2-RAW-N500","sum_local_gcv",22,2,"tricube",5,9.18559364898788e-06,1.83711872979758e-08,0,0.932,0.954545454545455,"eligible",22,2,"tricube",5,3097.15570181191,1.9024881393475e-07,0.101116941562358,"ok"
"FB07","LA-D2-HC-TOP1-N500","sum_local_gcv",16,2,"tricube",4,0.00216827317021758,4.33654634043517e-06,0,0.817375,0.9375,"eligible",16,2,"tricube",4,37242.1382970918,0.000270708328896845,0.101115648183466,"ok"
"FB08","LA-D3-RAW-N500","sum_local_gcv",29,2,"tricube",6,1.53941271921173e-06,3.07882543842346e-09,0,0.925172413793103,0.96551724137931,"eligible",29,2,"tricube",6,187791.364427199,2.37661985877204e-08,0.101116944812628,"ok"
"FB09","LA-13K-SUB-N500","sum_local_gcv",29,2,"tricube",6,3.84166529361688e-09,7.68333058723375e-12,0,0.963931034482759,0.96551724137931,"eligible",29,2,"tricube",6,685.126183863138,2.7799769489192e-12,0.101116946268294,"ok"
"FB10","SYN-PARA-LINE-N500","sum_local_gcv",35,2,"tricube",2,2.50207147800827,0.00500414295601654,0,0.164228571428571,0.171428571428571,"eligible",35,2,"tricube",2,0.11431325161734,0.0900689245527817,0.0393320616703851,"ok"
"FB11","SYN-SADDLE-LINE-N500","sum_local_gcv",35,2,"tricube",2,2.46631214624025,0.00493262429248051,0,0.171428571428571,0.171428571428571,"eligible",35,2,"tricube",2,0.10961730913337,0.0876183925270395,0.0444593196301529,"ok"
"FB12","SYN-TWO-PLANES-N600","sum_local_gcv",35,2,"tricube",2,2.56546502037653,0.00427577503396089,0,0.171428571428571,0.171428571428571,"eligible",35,2,"tricube",2,0.113757908460604,0.0845100116149118,0.0446944986507133,"ok"
"FB13","SYN-SIMPLEX-FACES-N600","sum_local_gcv",22,2,"tricube",5,1.21628442975738,0.00202714071626231,0,0.502045454545455,0.681818181818182,"eligible",22,2,"tricube",5,16353570.4738818,0.0388109764715371,0.0923981767150636,"ok"
"FB14","SYN-RANK-BLOCKS-N600-P100","sum_local_gcv",16,2,"tricube",4,1.821822294466e-15,3.03637049077667e-18,0,0.9375,0.9375,"eligible",16,2,"tricube",4,1327.75597064449,4.77723881704615e-15,0.100320070809477,"ok"
