"batch_id","dataset_id","method","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","dataset_label","best_truth_rmse","truth_rmse_delta_from_best"
"FB01","LA-D1-RAW-N500","CV auto",35,2,"gaussian",2,0.163548819493774,0.0883931074496484,0.0467257316615594,"FB01 LA-D1-RAW-N500",0.0467257316615594,0
"FB01","LA-D1-RAW-N500","CV local.auto",34,2,"gaussian",2,0.396072715587274,0.0862810415646853,0.0491154352290414,"FB01 LA-D1-RAW-N500",0.0467257316615594,0.00238970356748201
"FB01","LA-D1-RAW-N500","GCV sum",16,2,"tricube",4,401.490629412724,0.0329370042652572,0.0951588767167404,"FB01 LA-D1-RAW-N500",0.0467257316615594,0.048433145055181
"FB02","LA-D1-HC-Li-N500","CV auto",26,2,"gaussian",1,1.57162562052879,0.0957939751882675,0.0506609139549611,"FB02 LA-D1-HC-Li-N500",0.048657613161673,0.0020033007932881
"FB02","LA-D1-HC-Li-N500","CV local.auto",32,2,"gaussian",2,1.61299430811632,0.0916696803057097,0.048657613161673,"FB02 LA-D1-HC-Li-N500",0.048657613161673,0
"FB02","LA-D1-HC-Li-N500","GCV sum",35,2,"tricube",2,4.06389129076967,0.0814216145253912,0.0557851863671911,"FB02 LA-D1-HC-Li-N500",0.048657613161673,0.0071275732055181
"FB03","LA-D1-HC-Lc-N500","CV auto",27,2,"tricube",2,34.626372354427,0.0734195327147704,0.0644894414288584,"FB03 LA-D1-HC-Lc-N500",0.0607650242329975,0.0037244171958609
"FB03","LA-D1-HC-Lc-N500","CV local.auto",23,2,"tricube",2,2.93421694520833,0.0724150663979233,0.0658445854454703,"FB03 LA-D1-HC-Lc-N500",0.0607650242329975,0.0050795612124728
"FB03","LA-D1-HC-Lc-N500","GCV sum",35,2,"tricube",2,427.666302728592,0.076950812014843,0.0607650242329975,"FB03 LA-D1-HC-Lc-N500",0.0607650242329975,0
"FB04","LA-D1-HC-Gv-N500","CV auto",35,2,"tricube",1,0.290455898780635,0.0924202410905804,0.0518638446248049,"FB04 LA-D1-HC-Gv-N500",0.0518638446248049,0
"FB04","LA-D1-HC-Gv-N500","CV local.auto",35,2,"tricube",1,0.586927472217268,0.0829471225580208,0.0540874951459715,"FB04 LA-D1-HC-Gv-N500",0.0518638446248049,0.0022236505211666
"FB04","LA-D1-HC-Gv-N500","GCV sum",32,2,"tricube",1,0.353624327989865,0.0915120370248537,0.0536432432205755,"FB04 LA-D1-HC-Gv-N500",0.0518638446248049,0.0017793985957706
"FB05","LA-D1-HC-Bv-N500","CV auto",15,2,"tricube",2,282.016676402021,0.0606753210187766,0.0750640954332878,"FB05 LA-D1-HC-Bv-N500",0.0468271754497594,0.0282369199835284
"FB05","LA-D1-HC-Bv-N500","CV local.auto",34,2,"gaussian",2,70.7571184172562,0.0885571430817085,0.0468271754497594,"FB05 LA-D1-HC-Bv-N500",0.0468271754497594,0
"FB05","LA-D1-HC-Bv-N500","GCV sum",34,2,"tricube",1,2438.69594926427,0.0878169170948548,0.0469690988728794,"FB05 LA-D1-HC-Bv-N500",0.0468271754497594,0.00014192342312
"FB06","LA-D2-RAW-N500","CV auto",30,2,"tricube",4,119.219942657669,0.0357401692674006,0.0916834394572969,"FB06 LA-D2-RAW-N500",0.0855746197796613,0.0061088196776356
"FB06","LA-D2-RAW-N500","CV local.auto",33,2,"gaussian",4,6.37719582552025,0.0521811550369712,0.0855746197796613,"FB06 LA-D2-RAW-N500",0.0855746197796613,0
"FB06","LA-D2-RAW-N500","GCV sum",22,2,"tricube",5,3097.15570181191,1.9024881393475e-07,0.101116941562358,"FB06 LA-D2-RAW-N500",0.0855746197796613,0.0155423217826967
"FB07","LA-D2-HC-TOP1-N500","CV auto",21,2,"gaussian",3,229.703163918253,0.0555478722156393,0.0868064093213055,"FB07 LA-D2-HC-TOP1-N500",0.0825127508121705,0.004293658509135
"FB07","LA-D2-HC-TOP1-N500","CV local.auto",35,2,"gaussian",3,11.383467893442,0.0748699406562476,0.0825127508121705,"FB07 LA-D2-HC-TOP1-N500",0.0825127508121705,0
