"batch_id","dataset_id","n_points","red_fraction","cor_component_local_gcv","cor_abs_component_local_gcv","cor_component_df_ratio","cor_abs_component_df_ratio","mean_local_gcv_red","mean_local_gcv_blue","mean_df_ratio_red","mean_df_ratio_blue"
"FB01","LA-D1-RAW-N500",500,0.536,0.0974312960754605,0.0696591832149462,0.204095318183028,0.191825996838413,0.0101128424688904,0.00985285293898447,0.185908691834943,0.174949290060852
"FB02","LA-D1-HC-Li-N500",500,0.572,0.0404693047898316,0.162692967245256,-0.0682239964635077,0.195608152100734,0.0110380166155047,0.00960102368332473,0.126092657342657,0.135952102803738
"FB03","LA-D1-HC-Lc-N500",500,0.562,-0.00965426721894809,-0.00957447829952626,0.101020328903818,0.089272453160093,0.00499261327989692,0.00495427369135672,0.214142039300634,0.214810403017669
"FB04","LA-D1-HC-Gv-N500",500,0.278,0.05387633421671,0.0812638055653535,0.352028086480496,0.925835900177173,0.00521840802047656,0.00444839675622286,0.165056526207605,0.0995647012267511
"FB05","LA-D1-HC-Bv-N500",500,0.31,-0.0109034294833019,0.0274109023733123,-0.00123240233074713,0.0375340019488379,0.00952554757606922,0.00957375408128033,0.149335863377609,0.145012787723785
"FB06","LA-D2-RAW-N500",500,0.444,0.16362814251257,-0.0374154776619106,0.244432487848803,-0.217150470911794,0.0244259444273358,0.0203683986584395,0.548730548730549,0.463919773272291
"FB07","LA-D2-HC-TOP1-N500",500,0.448,0.100686642746571,0.164698930795723,0.271233386076382,-0.0351165021684303,0.0186856424685194,0.0165993029206388,0.388520408163265,0.311076604554865
"FB08","LA-D3-RAW-N500",500,0.506,0.210696170784683,0.0989675638702555,0.294266539278608,0.0464674892647408,0.0276879026789013,0.0224881243761488,0.537190082644628,0.422892896577107
"FB09","LA-13K-SUB-N500",500,0.02,0.0768545051985094,-0.268974611989904,0.230181084393346,-0.999120952063528,0.0107716642719632,0.0249207185566845,0.26,0.653469387755102
"FB10","SYN-PARA-LINE-N500",500,0.526,0.0551434845739383,-0.0667538670154681,-0.0157085880803233,0.173996834159461,0.0108307917241622,0.0105724699417881,0.188569391634981,0.188027426160338
"FB11","SYN-SADDLE-LINE-N500",500,0.004,0.0981301257574575,0.0981301257574575,-0.99999799197392,-0.99999799197392,0.0180375498233698,0.0105576635168438,0.09375,0.1875
"FB12","SYN-TWO-PLANES-N600",600,0.135,0.0519352482036946,0.216652320385814,0.0378890188314927,0.985114489618811,0.0111350331569761,0.00968967434657004,0.257142857142857,0.183815028901734
"FB13","SYN-SIMPLEX-FACES-N600",600,0.37,-0.143135427975812,0.263890495190866,-0.120060576274848,0.35264897713733,0.00959990511657439,0.0107603996025741,0.22986622986623,0.250761584094917
"FB14","SYN-RANK-BLOCKS-N600-P100",600,0.0983333333333333,0.0503172518861928,-0.558681695461632,0.149250461775008,-0.99110128157969,0.0131046275742542,0.0302637759814861,0.442615012106538,0.747346184314761
