"arm_label","method","chart_dim_rule","backend_variant","planned","ok","nonfinite_fit","error","missing","median_elapsed_sec","max_elapsed_sec","short_label","failure_rate","n_regret_cases","mean_regret","median_regret","regret_mad","regret_snr","max_regret","mean_regret_ratio","elapsed_mad","elapsed_snr"
"lps / auto / monomial_tiny_ridge","lps","auto","monomial_tiny_ridge",14,5,9,0,0,12.522,132.16,"LPS-A-M",0.642857142857143,5,0.0348278404368585,0.019346791523712,0.00384862172129918,5.02694027231678,0.0639011367722758,2.06287108890865,8.212,1.52484169508037
"lps / auto / orthogonal_drop_adaptive_tiny","lps","auto","orthogonal_drop_adaptive_tiny",14,14,0,0,0,11.5785,52.502,"LPS-A-O",0,14,0.039019683433446,0.0378100321982559,0.0169570749046758,2.22974967149729,0.0710974761320374,2.31306774446821,6.1955,1.86885642805262
"lps / auto / weighted_qr_drop_tiny","lps","auto","weighted_qr_drop_tiny",14,4,10,0,0,12.3735,51.677,"LPS-A-QR",0.714285714285714,4,0.0275595485818755,0.0193155387562388,0.00192431495402882,10.0376181746128,0.0561089390517037,1.86319801010061,6.858,1.80424321959755
"lps / local.auto / monomial_tiny_ridge","lps","local.auto","monomial_tiny_ridge",14,5,9,0,0,26.961,80.337,"LPS-LA-M",0.642857142857143,5,0.0353328830270354,0.020177660098087,0.00374911727503953,5.38197624076037,0.0651516091349038,2.08256005793212,12.428,2.16937560347602
"lps / local.auto / orthogonal_drop_adaptive_tiny","lps","local.auto","orthogonal_drop_adaptive_tiny",14,14,0,0,0,32.651,82.355,"LPS-LA-O",0,14,0.0349860096232103,0.0283927376381665,0.0105038339980581,2.70308324021643,0.0625549936743369,2.18686815052745,17.0115,1.91934867589572
"lps / local.auto / weighted_qr_drop_tiny","lps","local.auto","weighted_qr_drop_tiny",14,4,10,0,0,28.0535,78.335,"LPS-LA-QR",0.714285714285714,4,0.0278705033335612,0.0197622360378658,0.00187333190640324,10.549244354573,0.0555265406669664,1.87853916127796,12.314,2.2781793081046
"ps_lps / auto / monomial_tiny_ridge","ps_lps","auto","monomial_tiny_ridge",14,14,0,0,0,95.3145,4099.116,"PS-A-M",0,14,0.00761149920931379,0.000777771979158213,0.000777771979158213,1,0.0680757716777479,1.18555519225568,50.7765,1.87713804614339
"ps_lps / auto / orthogonal_drop_adaptive_tiny","ps_lps","auto","orthogonal_drop_adaptive_tiny",14,12,0,2,0,607.2995,12011.024,"PS-A-O",0.142857142857143,12,0.00655007514697196,0.00460147673686004,0.00460043442362136,1.00022656843739,0.0169703748978896,1.23153736399364,460.534,1.31868548250509
"ps_lps / auto / weighted_qr_drop_tiny","ps_lps","auto","weighted_qr_drop_tiny",14,12,0,2,0,929.8255,16395.743,"PS-A-QR",0.142857142857143,12,0.0119526516418419,0.00195025528932228,0.00192359035678627,1.01386206394825,0.0906390415930396,1.29096930470896,389.568,2.3868118017907
"ps_lps / local.auto / monomial_tiny_ridge","ps_lps","local.auto","monomial_tiny_ridge",14,14,0,0,0,143.071,3324.267,"PS-LA-M",0,14,0.00889827924915344,0.000842645855875183,0.000842645855875183,1,0.0441840685909426,1.28214681372176,82.9215,1.72537882213901
"ps_lps / local.auto / orthogonal_drop_adaptive_tiny","ps_lps","local.auto","orthogonal_drop_adaptive_tiny",14,12,0,2,0,642.0395,5114.594,"PS-LA-O",0.142857142857143,12,0.0155613185034172,0.00134325722428397,0.00132936661527677,1.01044904306124,0.0666016384725994,1.47211704028461,495.102,1.29678227920711
"ps_lps / local.auto / weighted_qr_drop_tiny","ps_lps","local.auto","weighted_qr_drop_tiny",14,12,0,2,0,1086.6795,10965.506,"PS-LA-QR",0.142857142857143,12,0.0171670969330706,0.00176105307304674,0.00174721820493444,1.00791822571058,0.0862610762901179,1.53029991430586,606.057,1.79303184353947
