"task_id","dataset_id","method","chart_dim_rule","backend_variant","result_path","batch_id","geometry_family","status_path","log_path","status","started_at","finished_at","elapsed_sec","hostname","pid","error_message","error_class"
"bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge","LA-D1-RAW-N500","lps","auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0001__LA_D1_RAW_N500__auto__lps__monomial_tiny_ridge.log","nonfinite_fit","2026-06-06 22:53:08 EDT","2026-06-06 22:53:12 EDT",3.552,"pgajerm4-osx","49187","fit completed but selected fit or observed CV score was nonfinite","nonfinite_fit"
"bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny","LA-D1-RAW-N500","lps","auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0002__LA_D1_RAW_N500__auto__lps__weighted_qr_drop_tiny.log","nonfinite_fit","2026-06-06 22:56:58 EDT","2026-06-06 22:57:02 EDT",4.093,"pgajerm4-osx","50944","fit completed but selected fit or observed CV score was nonfinite","nonfinite_fit"
"bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny","LA-D1-RAW-N500","lps","auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0003__LA_D1_RAW_N500__auto__lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 22:56:58 EDT","2026-06-06 22:57:03 EDT",4.349,"pgajerm4-osx","50945",NA,NA
"bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge","LA-D1-RAW-N500","ps_lps","auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0004__LA_D1_RAW_N500__auto__ps_lps__monomial_tiny_ridge.log","ok","2026-06-06 23:00:36 EDT","2026-06-06 23:01:36 EDT",60.031,"pgajerm4-osx","54056",NA,NA
"bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny","LA-D1-RAW-N500","ps_lps","auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0005__LA_D1_RAW_N500__auto__ps_lps__weighted_qr_drop_tiny.log","ok","2026-06-06 23:00:36 EDT","2026-06-06 23:14:19 EDT",823.514,"pgajerm4-osx","54057",NA,NA
"bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny","LA-D1-RAW-N500","ps_lps","auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0006__LA_D1_RAW_N500__auto__ps_lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 22:53:49 EDT","2026-06-06 22:56:11 EDT",142.094,"pgajerm4-osx","49829",NA,NA
"bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge","LA-D1-RAW-N500","lps","local.auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0007__LA_D1_RAW_N500__local_auto__lps__monomial_tiny_ridge.log","nonfinite_fit","2026-06-06 23:00:36 EDT","2026-06-06 23:00:49 EDT",13.173,"pgajerm4-osx","54058","fit completed but selected fit or observed CV score was nonfinite","nonfinite_fit"
"bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny","LA-D1-RAW-N500","lps","local.auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0008__LA_D1_RAW_N500__local_auto__lps__weighted_qr_drop_tiny.log","nonfinite_fit","2026-06-06 23:00:36 EDT","2026-06-06 23:00:50 EDT",14.129,"pgajerm4-osx","54059","fit completed but selected fit or observed CV score was nonfinite","nonfinite_fit"
"bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny","LA-D1-RAW-N500","lps","local.auto","orthogonal_drop_adaptive_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0009__LA_D1_RAW_N500__local_auto__lps__orthogonal_drop_adaptive_tiny.log","ok","2026-06-06 23:00:36 EDT","2026-06-06 23:00:49 EDT",12.651,"pgajerm4-osx","54060",NA,NA
"bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge","LA-D1-RAW-N500","ps_lps","local.auto","monomial_tiny_ridge","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0010__LA_D1_RAW_N500__local_auto__ps_lps__monomial_tiny_ridge.log","ok","2026-06-06 23:00:36 EDT","2026-06-06 23:01:53 EDT",77.388,"pgajerm4-osx","54061",NA,NA
"bp7x_0011__LA_D1_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny","LA-D1-RAW-N500","ps_lps","local.auto","weighted_qr_drop_tiny","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/results/bp7x_0011__LA_D1_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.rds","FB01","VALENCIA depth-1 dCST","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/status/bp7x_0011__LA_D1_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_ps_lps_backend_p7x_20260606_001/logs/bp7x_0011__LA_D1_RAW_N500__local_auto__ps_lps__weighted_qr_drop_tiny.log","ok","2026-06-06 23:00:36 EDT","2026-06-06 23:16:41 EDT",964.864,"pgajerm4-osx","54062",NA,NA
