"dataset.id","source.file","method","variant.id","variant.label","n","ambient.dim","status","message","truth.rmse","observed.rmse","cv.rmse.observed","selected.support","selected.degree","selected.kernel","selected.chart.dim","selected.lambda.sync","finite.cv.candidates","total.cv.candidates","ridge.multiplier.selected","ridge.condition","ridge.status","frame.cols.min","frame.cols.median","frame.cols.max","frame.kept.min","frame.kept.median","frame.kept.max","elapsed.sec"
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","LPS","monomial_tiny_ridge","monomial + tiny ridge",160,4,"ok","",0.0605730101937865,0.0802577488282941,1.29187951729837,25,2,"tricube","2",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.252
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,4,"nonfinite_fit","No finite selected fit or CV score was available under this backend/guard configuration.",NA,NA,Inf,15,2,"tricube","2",NA,0,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.228
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,4,"ok","",0.0607467688629398,0.0802473493187882,2.42739025118452,25,2,"tricube","2",NA,2,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.168
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,4,"ok","",0.0607467688629398,0.0802473493187882,2.42739025118452,25,2,"tricube","2",NA,2,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.158
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","PS-LPS","monomial_tiny_ridge","monomial + tiny ridge",160,4,"ok","",0.0457181950843566,0.0885141711679369,0.125221014412035,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,1e-08,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.841
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","PS-LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,4,"ok","",0.0490986363852336,0.087646999804872,0.123928176839923,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,2,3,1e-10,20100373764.6031,"ok",NA,NA,NA,NA,NA,NA,1.406
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","PS-LPS","orthogonal_drop_ridge0","orthogonal polynomial drop, ridge 0",160,4,"ok","",0.0528288993959574,0.0848676218358302,0.122891746607383,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,0,NA,"unguarded",NA,NA,NA,NA,NA,NA,0.619999999999999
"LA-D1-RAW-N500","LA-D1-RAW-N500.rds","PS-LPS","orthogonal_drop_adaptive_tiny","orthogonal polynomial drop + tiny/adaptive ridge",160,4,"ok","",0.0528288993959574,0.0848676218358302,0.122891746607383,25,2,"tricube","2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2",0.1,3,3,0,597.359533241451,"ok",NA,NA,NA,NA,NA,NA,0.882
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","LPS","monomial_tiny_ridge","monomial + tiny ridge",160,3,"nonfinite_fit","No finite selected fit or CV score was available under this backend/guard configuration.",NA,NA,Inf,15,2,"tricube","1",NA,0,2,NA,Inf,NA,NA,NA,NA,NA,NA,NA,0.123
"LA-D1-HC-Li-N500","LA-D1-HC-Li-N500.rds","LPS","weighted_qr_drop_tiny","weighted QR drop + tiny/adaptive ridge",160,3,"nonfinite_fit","No finite selected fit or CV score was available under this backend/guard configuration.",NA,NA,Inf,15,2,"tricube","1",NA,0,2,NA,1e+12,NA,NA,NA,NA,NA,NA,NA,0.141999999999999
