"lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.squared.disagreement","eval.elapsed.sec","path","evaluated_by_search","batch_id","dataset_id","chart_dim_rule","layout_id","full_selected_lambda","search_selected_lambda"
0,0.124801500520383,5.1554554981604,4.57209292550024,0.000272132190263822,0.133,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1.11111111111111e-05,0.123711589289455,5.15794034363561,4.54829965282393,0.000270716008328666,0.0799999999999996,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3.33333333333333e-05,0.12369168652596,5.15794166412753,4.54769874559942,0.000270680242170407,0.065,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1e-04,0.123632641482202,5.15794563163149,4.54589710934268,0.000270573008299924,0.0640000000000001,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3e-04,0.123461469317656,5.15796284057663,4.54046408291753,0.000270249633118158,0.0659999999999998,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.001,0.1229265727764,5.15814465107512,4.52069452349918,0.000269072943669205,0.065,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.003,0.121747260042443,5.15897711046163,4.46301016157759,0.000265639555063707,0.127,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.01,0.119323342591368,5.16170168076263,4.27391580419414,0.000254384608482397,0.0620000000000003,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.03,0.116479524696295,5.16843089542166,3.82148492862987,0.00022745580210937,0.0609999999999999,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.1,0.11336657633789,5.18688019077186,2.82347919871685,0.000168054234905361,0.0609999999999999,"expanded_reference",FALSE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
0.3,0.111162866336289,5.22407343831082,1.67191031976594,9.95125481166402e-05,0.0620000000000003,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
1,0.109232172190464,5.29447712877768,0.745757162818213,4.4387665217992e-05,0.0619999999999998,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
3,0.107553722062898,5.38115936277671,0.321279718827722,1.9122654547177e-05,0.0630000000000002,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
10,0.106337352514268,5.49175463192732,0.125345786865166,7.4606146628631e-06,0.0609999999999999,"expanded_reference",TRUE,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2",30,30
