"stage","lambda.sync","boundary","expansion","selected.after.stage","batch_id","dataset_id","chart_dim_rule","layout_id"
"coarse",0,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,10,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",1,"none",0,30,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",3,"none",0,30,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",30,"none",0,30,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",100,"none",0,30,"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,300,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,100,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,100,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"boundary_expand_right",900,"right",1,100,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"boundary_expand_right",2700,"right",2,100,"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,300,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",30,"none",0,30,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"refine",100,"none",0,30,"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"refine",1,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"refine",3,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"refine",30,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"refine",100,"none",0,10,"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",0.003,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",0.3,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",10,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",300,"none",0,300,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"refine",30,"none",0,100,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"refine",100,"none",0,100,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"boundary_expand_right",900,"right",1,900,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"boundary_expand_right",2700,"right",2,2700,"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2"
"coarse",0,"none",0,300,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2"
"coarse",1e-04,"none",0,300,"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2"
