"batch_id","dataset_id","chart_dim_rule","layout_id","initial_grid","reference_grid","initial_candidate_count","reference_candidate_count","search_candidate_count","candidate_reduction","candidate_reduction_pct","boundary_expansion_count","full_setup_elapsed_sec","full_eval_elapsed_sec","search_setup_elapsed_sec","search_eval_elapsed_sec","full_total_elapsed_sec","search_total_elapsed_sec","elapsed_speedup","full_raw_best_lambda","full_selected_lambda","search_selected_lambda","full_best_position","selected_agree","cv_rmse_regret","cv_rmse_relative_regret"
"FB01","LA-D1-RAW-N500","auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,0,0.43,2.573,0.351,1.348,3.003,1.699,1.76751030017657,30,30,30,"interior",TRUE,0,0
"FB01","LA-D1-RAW-N500","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,2,0.33,2.616,0.333,1.474,2.946,1.807,1.63032650802435,300,100,100,"interior",TRUE,0,0
"FB06","LA-D2-RAW-N500","auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,8,11,57.8947368421053,0,1.289,7.493,1.138,2.866,8.782,4.004,2.19330669330669,30,30,30,"interior",TRUE,0,0
"FB07","LA-D2-HC-TOP1-N500","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,0,1.449,9.329,1.472,4.722,10.778,6.194,1.74007103648692,10,10,10,"interior",TRUE,0,0
"FB09","LA-13K-SUB-N500","auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,2,0.658999999999999,3.682,0.641999999999996,1.883,4.341,2.52499999999999,1.71920792079209,2700,2700,2700,"right_boundary",TRUE,0,0
"FB09","LA-13K-SUB-N500","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,9,10,52.6315789473684,1,0.656000000000006,3.597,0.646999999999998,1.67,4.25300000000001,2.317,1.83556322831248,100,100,100,"interior",TRUE,0,0
"FB10","SYN-PARA-LINE-N500","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,9,10,52.6315789473684,1,0.265999999999998,2.474,0.268999999999998,1.182,2.74,1.45099999999999,1.8883528600965,100,100,100,"interior",TRUE,0,0
"FB11","SYN-SADDLE-LINE-N500","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,0,0.266000000000005,2.453,0.269999999999996,1.303,2.71900000000001,1.573,1.72854418308964,30,30,30,"interior",TRUE,0,0
"FB12","SYN-TWO-PLANES-N600","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,9,10,52.6315789473684,1,0.384,3.176,0.389999999999986,1.515,3.56,1.90499999999999,1.86876640419949,100,100,100,"interior",TRUE,0,0
"FB13","SYN-SIMPLEX-FACES-N600","local.auto","wide_mixed_15_expand_2","0, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300","0, 1.11111111111111e-05, 3.33333333333333e-05, 1e-04, 3e-04, 0.001, 0.003, 0.01, 0.03, 0.1, 0.3, 1, 3, 10, 30, 100, 300, 900, 2700",15,19,10,9,47.3684210526316,0,0.512,3.72,0.498999999999995,1.917,4.232,2.416,1.75165562913907,10,10,10,"interior",TRUE,0,0
