"batch_id","dataset_id","chart_dim_rule","variant_id","positive_mass","negative_mass","absolute_mass"
"FB09","LA-13K-SUB-N500","auto","guarded_default",0,0,0
"FB05","LA-D1-HC-Bv-N500","auto","guarded_default",0,0,0
"FB04","LA-D1-HC-Gv-N500","auto","guarded_default",0,0,0
"FB03","LA-D1-HC-Lc-N500","auto","guarded_default",0,0,0
"FB02","LA-D1-HC-Li-N500","auto","guarded_default",0,0,0
"FB01","LA-D1-RAW-N500","auto","guarded_default",0,0,0
"FB07","LA-D2-HC-TOP1-N500","auto","guarded_default",0,0,0
"FB06","LA-D2-RAW-N500","auto","guarded_default",0,0,0
"FB08","LA-D3-RAW-N500","auto","guarded_default",0.0045137097713003,-0.0503843526018153,0.0548980623731157
"FB10","SYN-PARA-LINE-N500","auto","guarded_default",0,0,0
"FB14","SYN-RANK-BLOCKS-N600-P100","auto","guarded_default",0,0,0
"FB11","SYN-SADDLE-LINE-N500","auto","guarded_default",0,0,0
"FB13","SYN-SIMPLEX-FACES-N600","auto","guarded_default",0,0,0
"FB12","SYN-TWO-PLANES-N600","auto","guarded_default",0,0,0
"FB09","LA-13K-SUB-N500","local.auto","guarded_default",0,0,0
"FB05","LA-D1-HC-Bv-N500","local.auto","guarded_default",0,0,0
"FB04","LA-D1-HC-Gv-N500","local.auto","guarded_default",0,0,0
"FB03","LA-D1-HC-Lc-N500","local.auto","guarded_default",0,0,0
"FB02","LA-D1-HC-Li-N500","local.auto","guarded_default",0,0,0
"FB01","LA-D1-RAW-N500","local.auto","guarded_default",0,0,0
"FB07","LA-D2-HC-TOP1-N500","local.auto","guarded_default",0,0,0
"FB06","LA-D2-RAW-N500","local.auto","guarded_default",0,0,0
"FB08","LA-D3-RAW-N500","local.auto","guarded_default",0,0,0
"FB10","SYN-PARA-LINE-N500","local.auto","guarded_default",0,0,0
"FB14","SYN-RANK-BLOCKS-N600-P100","local.auto","guarded_default",0,0,0
"FB11","SYN-SADDLE-LINE-N500","local.auto","guarded_default",0,0,0
"FB13","SYN-SIMPLEX-FACES-N600","local.auto","guarded_default",0,0,0
"FB12","SYN-TWO-PLANES-N600","local.auto","guarded_default",0,0,0
"FB09","LA-13K-SUB-N500","auto","guarded_one_expansion",0.00216593519324369,-0.0180362641616553,0.020202199354899
"FB05","LA-D1-HC-Bv-N500","auto","guarded_one_expansion",0.00245587523524897,-0.00252723646040792,0.0049831116956569
"FB04","LA-D1-HC-Gv-N500","auto","guarded_one_expansion",0,0,0
"FB03","LA-D1-HC-Lc-N500","auto","guarded_one_expansion",0,0,0
"FB02","LA-D1-HC-Li-N500","auto","guarded_one_expansion",0,0,0
