"function_name","total.time","total.pct","self.time","self.pct"
"""cache.aware.fit""",13.87,100,0,0
"""fit.ps.lps""",13.87,100,0,0
""".ps.lps.solve.component.cached""",11.17,80.53,0,0
""".ps.lps.solve.normal.cached""",9.29,66.98,0,0
""".Call""",8.9,64.17,8.9,64.17
""".local""",7.78,56.09,0,0
"""doTryCatch""",7.05,50.83,0,0
"""Matrix::solve""",7.05,50.83,0,0
"""standardGeneric""",7.05,50.83,0,0
"""tryCatch""",7.05,50.83,0,0
"""tryCatchList""",7.05,50.83,0,0
"""tryCatchOne""",7.05,50.83,0,0
"""Cholesky""",7.03,50.68,0,0
"""+""",3.72,26.82,0,0
"""forceSymmetric""",3.71,26.75,0.27,1.95
"""callGeneric""",3.6,25.96,0,0
"""eval""",3.6,25.96,0,0
""".Arith.Csparse""",2.83,20.4,0,0
""".M2C""",2.59,18.67,1.11,8
""".ps.lps.component.normal.cache""",1.88,13.55,0,0
""".nextMethod""",1.48,10.67,0.73,5.26
"""callNextMethod""",1.48,10.67,0,0
"""initialize""",1.48,10.67,0,0
"""new""",1.48,10.67,0,0
"""newTMat""",1.48,10.67,0,0
""".ps.lps.prepare.component.cache""",1.34,9.66,0,0
""".ps.lps.prepare.frames""",1.32,9.52,0.01,0.07
""".klp.local.coordinates""",0.83,5.98,0,0
"""rcpp_local_pca_chart""",0.81,5.84,0,0
"""Matrix::crossprod""",0.73,5.26,0,0
"""c""",0.68,4.9,0.68,4.9
""".M2gen""",0.61,4.4,0.61,4.4
"""matrix""",0.46,3.32,0.46,3.32
""".klp.local.order""",0.46,3.32,0,0
"""is.data.frame""",0.46,3.32,0,0
"""rowSums""",0.46,3.32,0,0
"""non0.i""",0.44,3.17,0.44,3.17
"""non0ind""",0.44,3.17,0,0
""".ps.lps.diagnostics""",0.36,2.6,0.31,2.24
"""rcpp_ps_lps_assemble_cached_system""",0.3,2.16,0,0
"""Matrix::sparseMatrix""",0.27,1.95,0.02,0.14
"""validityMethod""",0.08,0.58,0.08,0.58
"""anyStrings""",0.08,0.58,0,0
"""isTRUE""",0.08,0.58,0,0
"""validObject""",0.08,0.58,0,0
"""proc.time""",0.06,0.43,0.06,0.43
"""elapsed""",0.06,0.43,0,0
"""unname""",0.06,0.43,0,0
""".rangeNum""",0.05,0.36,0.03,0.22
"""cbind""",0.05,0.36,0,0
"""range""",0.05,0.36,0,0
"""%*%""",0.03,0.22,0.03,0.22
""".ps.lps.prepare.sync.rows""",0.03,0.22,0.01,0.07
"""aperm.default""",0.02,0.14,0.02,0.14
"""aperm""",0.02,0.14,0,0
"""solve""",0.02,0.14,0,0
"""sweep""",0.02,0.14,0,0
""".local.polynomial.design.matrix""",0.01,0.07,0.01,0.07
""".ps.lps.prepare.system.cache""",0.01,0.07,0.01,0.07
"""*""",0.01,0.07,0.01,0.07
"""FUN""",0.01,0.07,0.01,0.07
"""max""",0.01,0.07,0.01,0.07
"""mean.default""",0.01,0.07,0.01,0.07
"""min""",0.01,0.07,0.01,0.07
"""structure""",0.01,0.07,0.01,0.07
"""sum""",0.01,0.07,0.01,0.07
"""unique.default""",0.01,0.07,0.01,0.07
"""as""",0.01,0.07,0,0
"""asMethod""",0.01,0.07,0,0
"""intersect""",0.01,0.07,0,0
"""mean""",0.01,0.07,0,0
"""qr.default""",0.01,0.07,0,0
"""qr""",0.01,0.07,0,0
"""unique""",0.01,0.07,0,0
"""vapply""",0.01,0.07,0,0
