"lambda_sync","combine_elapsed_sec","solve_elapsed_sec","reported_component_combine_sec","reported_ridge_normal_sec","reported_solve_sec","reported_diagnostics_sec","reported_fitted_sec","rep_id"
0.01,0.0470000000000041,0.242000000000004,0.0470000000000041,0.0420000000000016,0.192,0.00800000000000267,,1
0.03,0.0499999999999972,0.241,0.0499999999999972,0.0429999999999993,0.192,0.00600000000000023,,1
0.1,0.0499999999999972,0.244999999999997,0.0499999999999972,0.0419999999999945,0.196000000000005,0.0069999999999979,,1
0.3,0.0519999999999996,0.241,0.0519999999999996,0.0439999999999969,0.190000000000005,0.0069999999999979,,1
1,0.0499999999999972,0.242000000000004,0.0499999999999972,0.044000000000004,0.189999999999998,0.00800000000000267,,1
3,0.0510000000000019,0.239000000000004,0.0510000000000019,0.0430000000000064,0.189999999999998,0.00600000000000023,,1
10,0.0519999999999996,0.241999999999997,0.0519999999999996,0.0439999999999969,0.190000000000005,0.00799999999999557,,1
0.01,0.0459999999999994,0.239000000000004,0.0459999999999994,0.0410000000000039,0.189999999999998,0.00800000000000267,,2
0.03,0.0499999999999972,0.241,0.0499999999999972,0.0439999999999969,0.189,0.00800000000000267,,2
0.1,0.0499999999999972,0.243000000000002,0.0499999999999972,0.044000000000004,0.190999999999995,0.00800000000000267,,2
0.3,0.0509999999999948,0.240000000000002,0.0509999999999948,0.0420000000000016,0.189999999999998,0.00800000000000267,,2
1,0.0510000000000019,0.241,0.0510000000000019,0.0419999999999945,0.191000000000003,0.00800000000000267,,2
3,0.0500000000000043,0.247999999999998,0.0500000000000043,0.0439999999999969,0.196000000000005,0.00799999999999557,,2
10,0.0519999999999996,0.239999999999995,0.0510000000000019,0.0429999999999993,0.189999999999998,0.0069999999999979,,2
0.01,0.0479999999999947,0.238,0.0479999999999947,0.0390000000000015,0.191000000000003,0.00799999999999557,,3
0.03,0.0519999999999996,0.239999999999995,0.0519999999999996,0.0429999999999993,0.189999999999998,0.0069999999999979,,3
0.1,0.0489999999999995,0.241,0.0489999999999995,0.0439999999999969,0.189999999999998,0.007000000000005,,3
0.3,0.0510000000000019,0.241000000000007,0.0510000000000019,0.0450000000000017,0.189,0.00600000000000023,,3
1,0.0489999999999995,0.239999999999995,0.0489999999999995,0.0439999999999969,0.189999999999998,0.00600000000000023,,3
3,0.0519999999999996,0.239999999999995,0.0519999999999996,0.0439999999999969,0.189,0.0069999999999979,,3
10,0.0499999999999972,0.241,0.0499999999999972,0.044000000000004,0.189999999999998,0.0069999999999979,,3
0.01,0.0510000000000019,0.244,0.0510000000000019,0.0399999999999991,0.196000000000005,0.00799999999999557,,4
0.03,0.0510000000000019,0.241,0.0510000000000019,0.0439999999999969,0.189,0.00800000000000267,,4
0.1,0.0529999999999973,0.241,0.0529999999999973,0.0439999999999969,0.189,0.00800000000000267,,4
0.3,0.0509999999999948,0.241,0.0509999999999948,0.0439999999999969,0.189,0.00800000000000267,,4
1,0.0510000000000019,0.241,0.0510000000000019,0.0420000000000016,0.191000000000003,0.00799999999999557,,4
3,0.0510000000000019,0.241,0.0510000000000019,0.0429999999999993,0.190000000000005,0.0069999999999979,,4
10,0.0500000000000043,0.238,0.0500000000000043,0.0429999999999993,0.188000000000002,0.0069999999999979,,4
0.01,0.0480000000000018,0.238,0.0480000000000018,0.0399999999999991,0.189999999999998,0.007000000000005,,5
0.03,0.112000000000002,0.24499999999999,0.112000000000002,0.0450000000000017,0.191999999999993,0.00799999999999557,,5
0.1,0.0529999999999973,0.263999999999996,0.0529999999999973,0.0449999999999875,0.211000000000013,0.00799999999999557,,5
0.3,0.054000000000002,0.253,0.054000000000002,0.0450000000000017,0.200000000000003,0.00799999999999557,,5
1,0.0510000000000019,0.239999999999995,0.0510000000000019,0.0429999999999922,0.189000000000007,0.007000000000005,,5
3,0.0519999999999925,0.240000000000009,0.0510000000000019,0.0420000000000016,0.189999999999998,0.007000000000005,,5
10,0.0499999999999972,0.242000000000004,0.0499999999999972,0.0430000000000064,0.191999999999993,0.007000000000005,,5
