"grid_size","rep_id","elapsed_sec","per_lambda_sec"
1,1,0.423,0.423
1,2,0.425000000000001,0.425000000000001
1,3,0.454,0.454
1,4,0.399,0.399
1,5,0.407,0.407
3,1,1.216,0.405333333333333
3,2,1.21,0.403333333333334
3,3,1.211,0.403666666666667
3,4,1.226,0.408666666666667
3,5,1.215,0.405
7,1,2.837,0.405285714285714
7,2,2.9,0.414285714285715
7,3,2.964,0.423428571428571
7,4,2.97,0.424285714285714
7,5,2.908,0.415428571428572
11,1,4.668,0.424363636363636
11,2,4.648,0.422545454545454
11,3,4.582,0.416545454545455
11,4,4.575,0.41590909090909
11,5,4.599,0.418090909090909
