"batch_id","dataset_id","method","status","selected_lambda_sync","selected_support_size","selected_degree","selected_kernel","selected_chart_dim","selected_cv_rmse_observed","observed_rmse","truth_rmse","total_local_gcv_ps","sync_energy","mean_sync_disagreement","elapsed_sec"
"FB01","LA-D1-RAW-N500","PS-LPS auto","ok",1,35,2,"gaussian",2,0.109232172190474,0.0932768614562093,0.0337127319744868,5.29447712877768,0.74575716281821,4.43876652179918e-05,35.339
"FB01","LA-D1-RAW-N500","PS-LPS local.auto","ok",1,34,2,"gaussian",2,0.11097308083935,0.0921283638520135,0.0342544418590999,5.46346071582127,0.754654617456818,4.63589776691902e-05,34.146
"FB02","LA-D1-HC-Li-N500","PS-LPS auto","ok",1,26,2,"gaussian",1,0.114289069253044,0.101337457931163,0.0442266623755854,5.91897324287661,1.88754730938829,0.000152775986333967,19.549
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto","ok",1,32,2,"gaussian",2,0.12091085245439,0.101012795773483,0.0425463371759189,6.27456137497262,2.04108186394824,0.000132559302841766,30.954
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto","ok",1,27,2,"tricube",2,0.111094808188163,0.0881959081971741,0.0409187855307945,2.88493546352204,0.491353358557451,3.91913906382783e-05,21.824
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto","ok",1,23,2,"tricube",2,0.122267072490232,0.0873426084910936,0.0420112126752178,3.66956742367713,0.372518163682961,3.52937574269837e-05,15.859
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto","ok",0.1,35,2,"tricube",1,0.114326175230977,0.0973712773320834,0.0429000754533826,2.58361322001701,2.94692909055194,0.000175428198809221,36.058
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto","ok",1,35,2,"tricube",1,0.105076149654894,0.0942229867265674,0.0323601957381746,2.96508822446563,0.285513314468012,1.699636637127e-05,36.555
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto","ok",1,15,2,"tricube",2,0.132763519176998,0.0835437039454355,0.0478275966830696,4.86827770356541,0.273822592440799,4.08046204721034e-05,7.066
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto","ok",1,34,2,"gaussian",2,0.108571141982079,0.0933782691382348,0.0331570287789357,5.12418542360099,0.569378253073805,3.55162182897341e-05,34.031
"FB06","LA-D2-RAW-N500","PS-LPS auto","ok",1,30,2,"tricube",4,0.165685763850677,0.0759566289157904,0.0515165059898884,3.76943090971654,0.68806581762841,5.00302380880016e-05,27.322
"FB06","LA-D2-RAW-N500","PS-LPS local.auto","ok",1,33,2,"gaussian",4,0.94511383014516,0.083466833872123,0.0443316431140221,44.8293141047914,3.08613742206173,0.000201504190193335,34.192
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto","ok",1,21,2,"gaussian",3,1.42773873673216,0.0957162883592445,0.0577820108723341,14.1104755023387,2.06336939158529,0.000221201693253111,13.08
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto","ok",1,35,2,"gaussian",3,0.300711394350755,0.107359158670535,0.055717501125356,32.1721789345515,6.08573738872249,0.000366710095739662,38.118
"FB08","LA-D3-RAW-N500","PS-LPS auto","ok",1,31,2,"gaussian",4,0.197088513904268,0.082877523082649,0.0461047959620609,11.878844620465,1.4589825804774,0.000100702828677281,29.623
"FB08","LA-D3-RAW-N500","PS-LPS local.auto","ok",1,33,2,"gaussian",4,1.00433418557904,0.0876548248797302,0.0436911692748442,41.1961103654032,3.59636166844653,0.000231649705099546,34.531
"FB09","LA-13K-SUB-N500","PS-LPS auto","ok",1,15,2,"gaussian",3,0.52630576252396,0.0640412877351169,0.0636521703170962,18.5840853137371,1.8951397185493,0.000322056202404679,6.60299999999995
"FB09","LA-13K-SUB-N500","PS-LPS local.auto","ok",1,15,2,"gaussian",3,0.258760915185019,0.06600826926501,0.0617842600298582,18.1635791543926,1.99537959180094,0.00033909076328321,6.63600000000002
"FB10","SYN-PARA-LINE-N500","PS-LPS auto","ok",1,35,2,"gaussian",2,0.108448768938567,0.09568242754776,0.0290423785805415,5.36422323128584,0.865147950062741,6.02156221109838e-05,29.324
"FB10","SYN-PARA-LINE-N500","PS-LPS local.auto","ok",1,32,2,"gaussian",2,0.109052847774004,0.0948226937172946,0.0294824343394256,5.4847029165831,0.8710370617067,6.67282385865421e-05,24.483
"FB11","SYN-SADDLE-LINE-N500","PS-LPS auto","ok",1,32,2,"gaussian",2,0.105288252262416,0.0927423823257479,0.0348394503537633,5.40268366083703,1.06688808112988,8.0665967183829e-05,24.964
"FB11","SYN-SADDLE-LINE-N500","PS-LPS local.auto","ok",1,32,2,"gaussian",2,0.105224003626104,0.0927033988991721,0.0348666546675399,5.39626732942818,1.06925057790251,8.08445923747031e-05,25.228
"FB12","SYN-TWO-PLANES-N600","PS-LPS auto","ok",1,35,2,"gaussian",2,0.107974523090759,0.092796567203916,0.0317031064186862,6.0319759330906,1.86040778210164,0.000108377477774784,41.236
"FB12","SYN-TWO-PLANES-N600","PS-LPS local.auto","ok",1,35,2,"gaussian",2,0.108380356554144,0.0922216424847531,0.0335133907146345,6.2407313126426,1.56583534419115,9.12172518555811e-05,41.673
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS auto","ok",1,16,2,"tricube",3,0.121411196986177,0.0730129241572479,0.0577088523413456,11.6164682825505,0.427090870421991,4.74768830808019e-05,11.9559999999999
"FB13","SYN-SIMPLEX-FACES-N600","PS-LPS local.auto","ok",1,33,2,"gaussian",3,0.104778577858036,0.087224700839524,0.0389399027667966,7.0539903997367,1.79615710274253,9.05321121064921e-05,48.2529999999999
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS auto","ok",1,35,2,"gaussian",6,0.264392797536688,0.0414297210882616,0.0749699796045122,36.6563535416921,5.67390454973574,0.000329954905569863,50.903
"FB14","SYN-RANK-BLOCKS-N600-P100","PS-LPS local.auto","ok",1,35,2,"gaussian",6,0.141815587802264,0.049771465604482,0.068431857714423,32.1951411170099,6.3835104967209,0.000371220662012701,49.8109999999999
