"batch_id","dataset_id","method","lambda.sync","cv.rmse.observed","total.local.gcv.ps","sync.energy","mean.sync.disagreement"
"FB01","LA-D1-RAW-N500","PS-LPS auto",0,0.123721583405271,5.15793968376678,0,0
"FB01","LA-D1-RAW-N500","PS-LPS auto",0.1,0.113366576337887,5.18688019077186,2.82347919871688,0.000168054234905363
"FB01","LA-D1-RAW-N500","PS-LPS auto",1,0.109232172190474,5.29447712877768,0.74575716281821,4.43876652179918e-05
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",0,0.135509685068634,5.30265336754284,0,0
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",0.1,0.123973095745603,5.33433686748479,3.23998131672563,0.000199034390085437
"FB01","LA-D1-RAW-N500","PS-LPS local.auto",1,0.11097308083935,5.46346071582127,0.754654617456818,4.63589776691902e-05
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",0,0.308107364140434,5.61925213329466,0,0
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",0.1,0.130683430935503,5.66885491339393,5.4372573655681,0.00044008558240879
"FB02","LA-D1-HC-Li-N500","PS-LPS auto",1,0.114289069253044,5.91897324287661,1.88754730938829,0.000152775986333967
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",0,0.301769701887532,5.86726538133282,0,0
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",0.1,0.122932734201248,5.94045971955179,6.00963053791183,0.00039029910975799
"FB02","LA-D1-HC-Li-N500","PS-LPS local.auto",1,0.12091085245439,6.27456137497262,2.04108186394824,0.000132559302841766
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",0,0.135299264120419,2.75256350801498,0,0
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",0.1,0.119288947905754,2.78506122908629,2.16009809594044,0.000172294025919646
"FB03","LA-D1-HC-Lc-N500","PS-LPS auto",1,0.111094808188163,2.88493546352204,0.491353358557451,3.91913906382783e-05
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",0,0.172047221774644,3.46567047857149,0,0
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",0.1,0.163685282583097,3.51672425378074,2.14538135327404,0.000203261415019939
"FB03","LA-D1-HC-Lc-N500","PS-LPS local.auto",1,0.122267072490232,3.66956742367713,0.372518163682961,3.52937574269837e-05
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",0,0.118351219454564,2.56534053014886,0,0
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",0.1,0.114326175230977,2.58361322001701,2.94692909055194,0.000175428198809221
"FB04","LA-D1-HC-Gv-N500","PS-LPS auto",1,0.11436321319405,2.64589840343673,0.892265078359078,5.31157862124144e-05
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",0,0.11828015951292,2.88218882484577,0,0
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",0.1,0.108001948768546,2.90714603924596,1.49549385141039,8.90254853855519e-05
"FB04","LA-D1-HC-Gv-N500","PS-LPS local.auto",1,0.105076149654894,2.96508822446563,0.285513314468012,1.699636637127e-05
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",0,0.263439033680389,4.43231930583946,0,0
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",0.1,0.186457505331838,4.54454275904627,1.63297301892598,0.000243343121122723
"FB05","LA-D1-HC-Bv-N500","PS-LPS auto",1,0.132763519176998,4.86827770356541,0.273822592440799,4.08046204721034e-05
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",0,0.190220860490714,5.0075511284324,0,0
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",0.1,0.112018685942587,5.0381723023221,2.38656371701334,0.000148867150226087
"FB05","LA-D1-HC-Bv-N500","PS-LPS local.auto",1,0.108571141982079,5.12418542360099,0.569378253073805,3.55162182897341e-05
"FB06","LA-D2-RAW-N500","PS-LPS auto",0,0.224091065675483,3.06745099484689,0,0
"FB06","LA-D2-RAW-N500","PS-LPS auto",0.1,0.284519370277327,3.24041016877234,3.90473535938124,0.000283918826797444
"FB06","LA-D2-RAW-N500","PS-LPS auto",1,0.165685763850677,3.76943090971654,0.68806581762841,5.00302380880016e-05
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",0,1.52575179325285,35.9437923241126,0,0
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",0.1,1.29909275441788,38.39176945889,10.8846589345737,0.000710695631523971
"FB06","LA-D2-RAW-N500","PS-LPS local.auto",1,0.94511383014516,44.8293141047914,3.08613742206173,0.000201504190193335
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",0,1.87600778288162,12.8286206626831,0,0
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",0.1,2.36384126673575,13.0288971093181,4.20911910775633,0.000451234896444976
"FB07","LA-D2-HC-TOP1-N500","PS-LPS auto",1,1.42773873673216,14.1104755023387,2.06336939158529,0.000221201693253111
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",0,0.628418678287719,29.6931579209511,0,0
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",0.1,0.526286559560848,30.1179564138848,10.0068112292914,0.000602983413438496
"FB07","LA-D2-HC-TOP1-N500","PS-LPS local.auto",1,0.300711394350755,32.1721789345515,6.08573738872249,0.000366710095739662
"FB08","LA-D3-RAW-N500","PS-LPS auto",0,0.547417517458462,10.7189545661305,0,0
"FB08","LA-D3-RAW-N500","PS-LPS auto",0.1,0.359854664859698,10.9952344911927,5.3524692367004,0.000369441554516356
"FB08","LA-D3-RAW-N500","PS-LPS auto",1,0.197088513904268,11.878844620465,1.4589825804774,0.000100702828677281
"FB08","LA-D3-RAW-N500","PS-LPS local.auto",0,1.05372981957744,35.776429604021,0,0
