"function_name","total.time","total.pct","self.time","self.pct"
"""FUN""",6.32,100,0.02,0.32
"""lapply""",6.32,100,0.01,0.16
"""profile.task""",6.32,100,0,0
"""time.block""",6.32,100,0,0
""".ps.lps.fit.local.grid""",6.28,99.37,0,0
"""fit.ps.lps""",6.28,99.37,0,0
"""force""",6.28,99.37,0,0
""".ps.lps.search.lambda.sync""",2.93,46.36,0,0
"""assign""",2.9,45.89,0,0
"""evaluate""",2.9,45.89,0,0
"""do.call""",2.85,45.09,0.01,0.16
""".ps.lps.solve.component.cached""",2.22,35.13,0,0
""".ps.lps.screen.local.grid""",2.01,31.8,0,0
"""fit.lps""",2.01,31.8,0,0
""".ps.lps.solve.normal.cached""",1.93,30.54,0,0
""".klp.cv.table""",1.91,30.22,0.02,0.32
""".ps.lps.diagnostics""",1.32,20.89,1.18,18.67
""".Call""",1.03,16.3,1.03,16.3
"""tryCatch""",0.75,11.87,0.03,0.47
"""tryCatchList""",0.72,11.39,0.01,0.16
""".ps.lps.solve""",0.72,11.39,0,0
"""tryCatchOne""",0.71,11.23,0.01,0.16
""".klp.fit.intercept.lazy""",0.7,11.08,0,0
"""doTryCatch""",0.69,10.92,0.01,0.16
"""eval""",0.69,10.92,0.01,0.16
"""forceSymmetric""",0.69,10.92,0.01,0.16
"""+""",0.69,10.92,0,0
""".ps.lps.prepare.component.cache""",0.68,10.76,0,0
"""callGeneric""",0.68,10.76,0,0
""".klp.solve.local.wls""",0.66,10.44,0.19,3.01
""".klp.local.coordinates""",0.66,10.44,0.02,0.32
""".M2C""",0.62,9.81,0.32,5.06
""".klp.local.neighborhood.from.order""",0.62,9.81,0.03,0.47
""".Arith.Csparse""",0.57,9.02,0,0
""".ps.lps.solve.independent""",0.48,7.59,0.13,2.06
""".klp.fit.intercept.design""",0.47,7.44,0.01,0.16
""".klp.resolve.chart.dim""",0.47,7.44,0,0
""".local.pca.auto.chart.dim.with.metric""",0.47,7.44,0,0
""".local.pca.auto.chart.dim.result""",0.46,7.28,0.02,0.32
""".local.pca.auto.chart.dim""",0.46,7.28,0,0
""".ps.lps.choose.global.ridge""",0.43,6.8,0,0
"""rcpp_local_pca_chart""",0.41,6.49,0,0
"""proc.time""",0.38,6.01,0.38,6.01
"""elapsed""",0.36,5.7,0,0
"""unname""",0.36,5.7,0,0
"""rcpp_ps_lps_assemble_cached_system""",0.32,5.06,0,0
""".nextMethod""",0.3,4.75,0.2,3.16
""".local""",0.3,4.75,0,0
"""callNextMethod""",0.3,4.75,0,0
"""initialize""",0.3,4.75,0,0
"""new""",0.3,4.75,0,0
"""newTMat""",0.3,4.75,0,0
""".ps.lps.component.normal.cache""",0.29,4.59,0,0
""".klp.local.design.condition""",0.27,4.27,0.05,0.79
"""order""",0.26,4.11,0.2,3.16
"""cmpfun""",0.25,3.96,0,0
"""compiler:::tryCmpfun""",0.25,3.96,0,0
"""h""",0.24,3.8,0.01,0.16
"""cmp""",0.24,3.8,0,0
"""cmpCall""",0.24,3.8,0,0
