"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason"
1,15,2,"tricube",2,"global.auto",1,0,0.141860123627743,5.77735702253248,0.772868870953347,4.90128096670651e-05,6,6,0,1.567,1.106,0.065,0.012,0.207,0.024,"evaluated",Inf,NA,"lps_selected+neighbor+guard"
2,16,2,"tricube",1,"global.auto",10,0,0.122756184145159,4.10561795522219,0.649031438358113,3.81602982717009e-05,7,7,1,1.063,0.746,0.0729999999999995,0.0120000000000005,0.114,0.0139999999999993,"evaluated",Inf,NA,"neighbor"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
11,25,2,"tricube",1,"global.auto",10,0,0.131140144777249,3.69941962457405,1.26401669589241,4.47323549535573e-05,7,7,1,1.02,0.673,0.0659999999999998,0.00699999999999967,0.146,0.0270000000000001,"evaluated",Inf,NA,"guard"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
17,31,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
18,32,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
19,33,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
21,35,2,"tricube",1,"global.auto",1,0,0.128540517138982,2.69062914611587,4.42207000062363,0.000105725813775977,6,6,0,1.063,0.653,0.0710000000000006,0.00699999999999967,0.194,0.0129999999999999,"evaluated",Inf,NA,"guard"
