"function_name","total.time","total.pct","self.time","self.pct"
"""FUN""",19.68,100,0.04,0.2
"""lapply""",19.68,100,0.03,0.15
"""profile.task""",19.68,100,0,0
"""time.block""",19.68,100,0,0
""".ps.lps.fit.local.grid""",19.6,99.59,0,0
"""fit.ps.lps""",19.6,99.59,0,0
"""force""",19.6,99.59,0,0
""".ps.lps.search.lambda.sync""",12.45,63.26,0,0
"""assign""",12.44,63.21,0,0
"""evaluate""",12.44,63.21,0,0
""".ps.lps.solve.component.cached""",10.7,54.37,0,0
"""do.call""",9.55,48.53,0.02,0.1
""".ps.lps.solve.normal.cached""",8.29,42.12,0,0
""".Call""",5.78,29.37,5.78,29.37
"""+""",4.08,20.73,0,0
"""forceSymmetric""",4.04,20.53,0.24,1.22
"""eval""",4.01,20.38,0.03,0.15
"""callGeneric""",3.98,20.22,0,0
"""tryCatch""",3.71,18.85,0.03,0.15
"""tryCatchList""",3.66,18.6,0.02,0.1
"""tryCatchOne""",3.64,18.5,0.03,0.15
"""doTryCatch""",3.61,18.34,0.1,0.51
""".M2C""",3.6,18.29,1.77,8.99
""".local""",3.6,18.29,0,0
""".ps.lps.diagnostics""",3.5,17.78,2.81,14.28
""".ps.lps.prepare.component.cache""",3.5,17.78,0,0
""".Arith.Csparse""",3.36,17.07,0,0
"""eval.one""",3.02,15.35,0,0
"""Matrix::solve""",2.75,13.97,0,0
"""standardGeneric""",2.75,13.97,0,0
"""Cholesky""",2.72,13.82,0,0
""".ps.lps.component.normal.cache""",2.41,12.25,0,0
""".ps.lps.screen.local.grid""",1.97,10.01,0,0
"""fit.lps""",1.94,9.86,0,0
""".ps.lps.solve""",1.91,9.71,0,0
"""callNextMethod""",1.83,9.3,0,0
"""initialize""",1.83,9.3,0,0
"""new""",1.83,9.3,0,0
"""newTMat""",1.83,9.3,0,0
""".nextMethod""",1.82,9.25,0.85,4.32
""".klp.cv.table""",1.79,9.1,0.01,0.05
""".ps.lps.choose.global.ridge""",1.76,8.94,0,0
"""rcpp_ps_lps_assemble_cached_system""",1.55,7.88,0,0
""".klp.solve.local.wls""",1.34,6.81,0.33,1.68
"""proc.time""",1.3,6.61,1.3,6.61
""".ps.lps.solve.independent""",1.3,6.61,0.28,1.42
"""elapsed""",1.21,6.15,0,0
"""unname""",1.21,6.15,0,0
"""c""",1.03,5.23,1.03,5.23
""".klp.local.coordinates""",0.89,4.52,0.01,0.05
"""Matrix::crossprod""",0.85,4.32,0,0
"""Matrix::sparseMatrix""",0.82,4.17,0.15,0.76
""".klp.fit.intercept.lazy""",0.76,3.86,0.01,0.05
""".ps.lps.prepare.frames""",0.67,3.4,0.04,0.2
""".klp.local.neighborhood.from.order""",0.63,3.2,0.05,0.25
"""rcpp_local_pca_chart""",0.62,3.15,0.02,0.1
""".klp.local.design.condition""",0.59,3,0.07,0.36
"""%*%""",0.58,2.95,0.58,2.95
""".ps.lps.prepare.sync.rows""",0.49,2.49,0.25,1.27
""".klp.fit.intercept.design""",0.49,2.49,0.04,0.2
