"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason"
1,15,2,"tricube",2,"global.auto",90,0,0.105467476534897,5.64636044241224,0.00491470520571792,3.74425208252775e-07,8,8,2,1.559,1.22,0.0630000000000006,0.0080000000000009,0.154999999999999,0.0220000000000002,"evaluated",0.147372775906446,21,"guard"
2,16,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.138882178462798,20,"screened_out"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.135456898590083,19,"screened_out"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.133973570673844,18,"screened_out"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.130602827870132,17,"screened_out"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.128266591752898,16,"screened_out"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.12608616782521,15,"screened_out"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.125193608950545,14,"screened_out"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.12338758664443,13,"screened_out"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.122310101483777,12,"screened_out"
11,25,2,"tricube",2,"global.auto",30,0,0.104556725581059,3.55442185373021,0.035840469048438,1.51760291136627e-06,8,8,2,1.774,1.321,0.0679999999999996,0.00699999999999967,0.241999999999999,0.0220000000000002,"evaluated",0.121380069945979,11,"guard"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",0.120229540109963,10,"screened_out"
13,27,2,"tricube",2,"global.auto",30,0,0.104415190589852,3.38561430868924,0.0457903531418428,1.77667920940931e-06,8,8,2,1.805,1.258,0.0709999999999997,0.00699999999999967,0.263999999999999,0.0240000000000009,"evaluated",0.119292900013805,9,"neighbor"
14,28,2,"tricube",2,"global.auto",30,0,0.104425884076415,3.30446356205153,0.0519214501858561,1.93599501540296e-06,8,8,2,1.804,1.26,0.072000000000001,0.00700000000000145,0.318,0.0259999999999998,"evaluated",0.118678478924783,8,"top_lps_cv+neighbor"
15,29,2,"tricube",2,"global.auto",30,0,0.104417656424148,3.27425779879274,0.0591081639126829,2.11895192884623e-06,8,8,2,1.835,1.334,0.0719999999999992,0.00600000000000023,0.274000000000001,0.0259999999999998,"evaluated",0.117735328506185,7,"top_lps_cv+neighbor"
16,30,2,"tricube",2,"global.auto",30,0,0.104381936016614,3.20089337309978,0.0639557542257794,2.2076165193485e-06,8,8,2,1.835,1.259,0.0700000000000003,0.00700000000000145,0.356999999999999,0.0210000000000008,"evaluated",0.11702239210406,6,"top_lps_cv+neighbor"
17,31,2,"tricube",2,"global.auto",30,0,0.104460727119547,3.14250909659319,0.0735252476175473,2.44713011202106e-06,8,8,2,1.783,1.256,0.0700000000000003,0.00700000000000145,0.295999999999999,0.0250000000000021,"evaluated",0.116118017016826,5,"top_lps_cv+neighbor"
18,32,2,"tricube",2,"global.auto",30,0,0.1045242602767,3.09495263121472,0.0818242896598777,2.62678298024391e-06,8,8,2,1.804,1.276,0.0740000000000016,0.00700000000000145,0.297999999999998,0.022000000000002,"evaluated",0.115637821138867,4,"top_lps_cv+neighbor"
19,33,2,"tricube",2,"global.auto",30,0,0.104475938561565,3.06850011542801,0.0834297650702503,2.58656844650342e-06,8,8,2,1.817,1.214,0.0760000000000005,0.00700000000000145,0.363,0.0250000000000021,"evaluated",0.11510087650721,3,"top_lps_cv+neighbor"
20,34,2,"tricube",2,"global.auto",10,0,0.104680327250291,2.9508396401827,0.144650891229642,4.33865901367873e-06,8,8,2,1.812,1.202,0.0730000000000004,0.00600000000000023,0.372,0.0240000000000009,"evaluated",0.114847107363975,2,"top_lps_cv+neighbor"
21,35,2,"tricube",2,"global.auto",10,0,0.104578122503723,2.92230135582834,0.152554867716791,4.43209331669909e-06,8,8,2,1.856,1.24,0.0749999999999993,0.00700000000000145,0.376999999999999,0.0249999999999986,"evaluated",0.11431119385679,1,"lps_selected_top+neighbor+guard"
