"function_name","total.time","total.pct","self.time","self.pct"
"""FUN""",20.35,100,0.02,0.1
"""lapply""",20.35,100,0,0
"""profile.task""",20.35,100,0,0
"""time.block""",20.35,100,0,0
""".ps.lps.fit.local.grid""",20.29,99.71,0,0
"""fit.ps.lps""",20.29,99.71,0,0
"""force""",20.29,99.71,0,0
""".ps.lps.search.lambda.sync""",13.69,67.27,0,0
"""assign""",13.68,67.22,0,0
"""evaluate""",13.68,67.22,0,0
""".ps.lps.solve.component.cached""",13.05,64.13,0,0
"""do.call""",10.13,49.78,0.01,0.05
""".ps.lps.solve.normal.cached""",9.21,45.26,0,0
"""+""",7.14,35.09,0,0
"""forceSymmetric""",7.07,34.74,0.52,2.56
"""callGeneric""",6.92,34,0,0
"""eval""",6.92,34,0,0
""".Call""",6.62,32.53,6.62,32.53
""".Arith.Csparse""",5.33,26.19,0,0
""".M2C""",4.81,23.64,2.17,10.66
""".local""",4.51,22.16,0,0
"""tryCatch""",4.45,21.87,0.03,0.15
"""tryCatchOne""",4.42,21.72,0.02,0.1
"""tryCatchList""",4.42,21.72,0,0
"""doTryCatch""",4.4,21.62,0.05,0.25
""".ps.lps.component.normal.cache""",3.84,18.87,0,0
"""standardGeneric""",3.67,18.03,0,0
"""Matrix::solve""",3.66,17.99,0,0
"""eval.one""",3.62,17.79,0,0
"""Cholesky""",3.6,17.69,0,0
""".ps.lps.choose.global.ridge""",3.44,16.9,0,0
""".ps.lps.screen.local.grid""",2.95,14.5,0,0
"""fit.lps""",2.95,14.5,0,0
""".klp.cv.table""",2.83,13.91,0.01,0.05
""".nextMethod""",2.64,12.97,1.37,6.73
"""callNextMethod""",2.64,12.97,0,0
"""initialize""",2.64,12.97,0,0
"""new""",2.64,12.97,0,0
"""newTMat""",2.64,12.97,0,0
""".ps.lps.prepare.component.cache""",2.54,12.48,0,0
""".ps.lps.diagnostics""",2.32,11.4,2.12,10.42
""".klp.solve.local.wls""",1.39,6.83,0.25,1.23
""".klp.fit.intercept.lazy""",1.35,6.63,0.02,0.1
"""c""",1.27,6.24,1.27,6.24
""".M2gen""",1.22,6,1.22,6
""".klp.local.coordinates""",1.18,5.8,0.02,0.1
"""rcpp_ps_lps_assemble_cached_system""",1.1,5.41,0,0
""".klp.local.neighborhood.from.order""",1.01,4.96,0.03,0.15
""".ps.lps.solve""",0.96,4.72,0,0
"""rcpp_local_pca_chart""",0.94,4.62,0,0
""".klp.fit.intercept.design""",0.89,4.37,0.02,0.1
"""Matrix::crossprod""",0.85,4.18,0,0
"""non0.i""",0.82,4.03,0.82,4.03
"""non0ind""",0.82,4.03,0,0
""".ps.lps.solve.independent""",0.65,3.19,0.08,0.39
"""Matrix::sparseMatrix""",0.52,2.56,0.07,0.34
""".klp.local.design.condition""",0.52,2.56,0.02,0.1
"""svd""",0.47,2.31,0.08,0.39
""".klp.resolve.chart.dim""",0.46,2.26,0,0
""".local.pca.auto.chart.dim.result""",0.46,2.26,0,0
