"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason"
1,15,2,"tricube",3,"global.auto",90,0,0.103458853814913,20.3589792419345,0.00518941000251675,2.70199071209052e-07,8,8,2,4.638,3.789,0.097999999999999,0.00900000000000034,0.442999999999998,0.131,"evaluated",Inf,NA,"lps_selected+neighbor+guard"
2,16,2,"tricube",3,"global.auto",90,0,0.103400269687514,16.1899347083127,0.00561301879359952,2.70812574652114e-07,8,8,2,4.464,3.712,0.104000000000006,0.00900000000000034,0.403999999999996,0.0689999999999955,"evaluated",Inf,NA,"neighbor"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
11,25,2,"tricube",3,"global.auto",10,0,0.102266163707269,5.49200416899652,0.0858619035613405,2.44755362622094e-06,8,8,2,5.052,3.993,0.113,0.00999999999999801,0.646999999999998,0.0739999999999981,"evaluated",Inf,NA,"guard"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
17,31,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
18,32,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
19,33,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
20,34,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out"
21,35,2,"tricube",3,"global.auto",10,0,0.102376934123035,4.12770502628842,0.166260851680955,3.16099046606365e-06,8,8,2,5.709,4.151,0.131,0.0109999999999957,0.957999999999998,0.128999999999998,"evaluated",Inf,NA,"guard"
