"task_id","phase","elapsed_sec"
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_data_native_sec",0.00500000000000256
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_data_sparse_matrix_sec",0.00199999999999534
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_data_crossprod_sec",0.00200000000000244
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_data_rhs_crossprod_sec",0
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_sync_native_sec",0.0459999999999994
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_sync_sparse_matrix_sec",0.0200000000000031
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_sync_crossprod_sec",0.0390000000000015
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_component_cache_sec",0.114000000000004
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_component_combine_sec",0.0189999999999984
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_count_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_fill_triplets_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_sparse_matrix_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_assembly_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_crossprod_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_rhs_crossprod_sec",NA
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_ridge_normal_sec",0.0189999999999984
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_solve_sec",0.0240000000000009
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_fallback_solve_sec",0
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_diagnostics_sec",0.0120000000000005
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_fitted_sec",0
"bp7x_0148__SYN_SIMPLEX_FACES_N600__auto__ps_lps__monomial_tiny_ridge","phase_normal_cache_sec",0.0189999999999984
