"function_name","total.time","total.pct","self.time","self.pct"
"""profile.case""",5.43,100,0,0
"""time.block""",5.42,99.82,0,0
"""force""",5.13,94.48,0,0
""".ps.lps.solve""",3.77,69.43,0.7,12.89
""".Call""",2.89,53.22,2.89,53.22
""".local""",2.07,38.12,0,0
""".ps.lps.prepare.frames""",1.33,24.49,0,0
"""standardGeneric""",1.13,20.81,0,0
"""doTryCatch""",1.12,20.63,0,0
"""Matrix::solve""",1.12,20.63,0,0
"""tryCatch""",1.12,20.63,0,0
"""tryCatchList""",1.12,20.63,0,0
"""tryCatchOne""",1.12,20.63,0,0
"""Cholesky""",1.09,20.07,0,0
"""Matrix::crossprod""",0.95,17.5,0,0
""".klp.local.coordinates""",0.86,15.84,0,0
"""rcpp_local_pca_chart""",0.82,15.1,0,0
"""forceSymmetric""",0.5,9.21,0.13,2.39
"""+""",0.5,9.21,0,0
"""callGeneric""",0.5,9.21,0,0
"""eval""",0.5,9.21,0,0
""".M2C""",0.43,7.92,0.3,5.52
"""matrix""",0.42,7.73,0.42,7.73
""".klp.local.order""",0.42,7.73,0,0
"""is.data.frame""",0.42,7.73,0,0
"""rowSums""",0.42,7.73,0,0
""".Arith.Csparse""",0.36,6.63,0,0
"""Matrix::sparseMatrix""",0.34,6.26,0.03,0.55
"""gc""",0.29,5.34,0.29,5.34
""".rangeNum""",0.13,2.39,0.1,1.84
""".nextMethod""",0.13,2.39,0.09,1.66
"""callNextMethod""",0.13,2.39,0,0
"""cbind""",0.13,2.39,0,0
"""initialize""",0.13,2.39,0,0
"""new""",0.13,2.39,0,0
"""newTMat""",0.13,2.39,0,0
"""range""",0.13,2.39,0,0
"""non0.i""",0.1,1.84,0.1,1.84
"""non0ind""",0.1,1.84,0,0
"""seq.int""",0.09,1.66,0.09,1.66
""".local.polynomial.design.matrix""",0.05,0.92,0.05,0.92
"""c""",0.04,0.74,0.04,0.74
""".ps.lps.diagnostics""",0.04,0.74,0.03,0.55
"""sweep""",0.04,0.74,0.01,0.18
"""aperm.default""",0.03,0.55,0.02,0.37
""".ps.lps.prepare.sync.rows""",0.03,0.55,0.01,0.18
"""aperm""",0.03,0.55,0,0
"""solve""",0.03,0.55,0,0
"""max""",0.02,0.37,0.02,0.37
"""unique.default""",0.02,0.37,0.02,0.37
"""intersect""",0.02,0.37,0,0
"""unique""",0.02,0.37,0,0
""".M2gen""",0.01,0.18,0.01,0.18
"""%*%""",0.01,0.18,0.01,0.18
"""integer""",0.01,0.18,0.01,0.18
"""Matrix::diag""",0.01,0.18,0.01,0.18
"""min""",0.01,0.18,0.01,0.18
"""order""",0.01,0.18,0.01,0.18
"""proc.time""",0.01,0.18,0.01,0.18
"""readRDS""",0.01,0.18,0.01,0.18
"""validityMethod""",0.01,0.18,0.01,0.18
"""anyStrings""",0.01,0.18,0,0
"""elapsed""",0.01,0.18,0,0
"""isTRUE""",0.01,0.18,0,0
"""prepare.profile.case""",0.01,0.18,0,0
"""unname""",0.01,0.18,0,0
"""validObject""",0.01,0.18,0,0
