"pair_id","dataset_id","geometry_family","repetition","chart_dim_rule","response_seed_match","fold_seed_match","full_status","screened_status","pair_status","pair_complete","pair_exclusion_reason","truth_rmse_full","truth_rmse_screened","delta_truth_rmse","cv_rmse_full","cv_rmse_screened","delta_cv_rmse","elapsed_full","elapsed_screened","elapsed_ratio_screened_full","support_full","support_screened","lambda_full","lambda_screened","full_candidate_key","screened_candidate_key","screened_evaluated_candidate_keys","screened_evaluated_supports","full_support_in_screened_evaluated_supports","full_candidate_key_in_screened_evaluated_candidates","support_match","lambda_match","full_candidates_evaluated","screened_candidates_evaluated","candidate_key_matching_available"
"LA_D1_RAW_N500__r01__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",1,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0249649866413627,0.0249649866413627,0,0.107529178361741,0.107529178361741,0,56.069,16.428,0.292996129768678,25,25,10,10,"25|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",TRUE,TRUE,TRUE,TRUE,21,4,TRUE
"LA_D1_RAW_N500__r01__local_auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",1,"local.auto",TRUE,TRUE,"running","ok","incomplete",FALSE,"full=running; screened=ok",NA,0.0264017089568749,NA,NA,0.102220886874911,NA,NA,26.683,NA,NA,25,NA,90,NA,"25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",NA,FALSE,NA,NA,NA,4,TRUE
"LA_D1_RAW_N500__r02__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",2,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0319739342724474,0.0302533133056856,-0.0017206209667618,0.10864306947968,0.108875691603796,0.00023262212411615,56.386,17.747,0.314741247827475,22,25,90,30,"22|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,FALSE,21,4,TRUE
"LA_D1_RAW_N500__r02__local_auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",2,"local.auto",TRUE,TRUE,"running","ok","incomplete",FALSE,"full=running; screened=ok",NA,0.0219341312247654,NA,NA,0.107713359570278,NA,NA,27.099,NA,NA,25,NA,90,NA,"25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",NA,FALSE,NA,NA,NA,4,TRUE
"LA_D1_RAW_N500__r03__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",3,"auto",TRUE,TRUE,"ok","ok","complete_ok",TRUE,NA,0.0259512838048969,0.0275216653417792,0.00157038153688229,0.104194605540325,0.104452483577406,0.00025787803708141,55.549,15.731,0.283191416587157,27,25,10,10,"27|2|tricube","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",FALSE,FALSE,FALSE,TRUE,21,4,TRUE
"LA_D1_RAW_N500__r03__local_auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",3,"local.auto",TRUE,TRUE,"running","ok","incomplete",FALSE,"full=running; screened=ok",NA,0.0263635730293026,NA,NA,0.105328847898983,NA,NA,26.541,NA,NA,25,NA,30,NA,"25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",NA,FALSE,NA,NA,NA,4,TRUE
"LA_D1_RAW_N500__r04__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",4,"auto",TRUE,TRUE,"running","ok","incomplete",FALSE,"full=running; screened=ok",NA,0.025843261723926,NA,NA,0.102410344438833,NA,NA,15.417,NA,NA,25,NA,10,NA,"25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube","15;16;25;35",NA,FALSE,NA,NA,NA,4,TRUE
"LA_D1_RAW_N500__r04__local_auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",4,"local.auto",TRUE,TRUE,"running","running","incomplete",FALSE,"full=running; screened=running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_RAW_N500__r05__auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",5,"auto",TRUE,TRUE,"running","running","incomplete",FALSE,"full=running; screened=running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"LA_D1_RAW_N500__r05__local_auto","LA-D1-RAW-N500","VALENCIA depth-1 dCST",5,"local.auto",TRUE,TRUE,"running","running","incomplete",FALSE,"full=running; screened=running",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
