"task_id","pair_id","batch_id","dataset_id","geometry_family","n","p","repetition","pair_seed_base","pair_response_seed","pair_fold_seed","response_seed","fold_seed","sigma","method","chart_dim_rule","search_policy","backend_variant","design_basis","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","selected_total_local_gcv_ps","selected_sync_energy","finite_cv_candidates","total_cv_candidates","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","timing_frame_prep_sec","timing_system_cache_sec","timing_fold_cache_sec","timing_lambda_search_sec","timing_final_solve_sec","timing_total_fit_sec","elapsed_sec","local_candidates_total","local_candidates_evaluated","local_candidates_finite","local_candidates_evaluated_supports","selected_candidate_key","evaluated_candidate_keys"
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361607,20361609,20361608,20361609,20361608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0249649866413627,0.100274878388298,0.107529178361741,25,2,"tricube",10,3.88463982006078,0.0732149498569502,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,56.069,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35","25|2|tricube","15|2|tricube;16|2|tricube;17|2|tricube;18|2|tricube;19|2|tricube;20|2|tricube;21|2|tricube;22|2|tricube;23|2|tricube;24|2|tricube;25|2|tricube;26|2|tricube;27|2|tricube;28|2|tricube;29|2|tricube;30|2|tricube;31|2|tricube;32|2|tricube;33|2|tricube;34|2|tricube;35|2|tricube"
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361607,20361609,20361608,20361609,20361608,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0249649866413627,0.100274878388298,0.107529178361741,25,2,"tricube",10,3.88463982006078,0.0732149498569502,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,16.428,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361707,20361709,20361708,20361709,20361708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0264017089568749,0.0964792736975457,0.102220886874911,25,2,"tricube",90,4.89011934745946,0.0100591676857917,7,8,500,1,2,4,4,NA,NA,NA,NA,NA,NA,26.683,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362607,20362609,20362608,20362609,20362608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0319739342724474,0.103977323518201,0.10864306947968,22,2,"tricube",90,4.71787092849457,0.0150860822255643,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,56.386,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35","22|2|tricube","15|2|tricube;16|2|tricube;17|2|tricube;18|2|tricube;19|2|tricube;20|2|tricube;21|2|tricube;22|2|tricube;23|2|tricube;24|2|tricube;25|2|tricube;26|2|tricube;27|2|tricube;28|2|tricube;29|2|tricube;30|2|tricube;31|2|tricube;32|2|tricube;33|2|tricube;34|2|tricube;35|2|tricube"
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","LA_D1_RAW_N500__r02__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362607,20362609,20362608,20362609,20362608,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0302533133056856,0.102873726376614,0.108875691603796,25,2,"tricube",30,4.15911283116496,0.0314332148301548,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,17.747,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","LA_D1_RAW_N500__r02__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362707,20362709,20362708,20362709,20362708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0219341312247654,0.102516053011676,0.107713359570278,25,2,"tricube",90,5.29458921673487,0.00905685616596194,7,8,500,1,2,4,4,NA,NA,NA,NA,NA,NA,27.099,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","LA_D1_RAW_N500__r03__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363607,20363609,20363608,20363609,20363608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0259512838048969,0.0972409147775597,0.104194605540325,27,2,"tricube",10,3.5506943090944,0.0892054856478024,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,55.549,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35","27|2|tricube","15|2|tricube;16|2|tricube;17|2|tricube;18|2|tricube;19|2|tricube;20|2|tricube;21|2|tricube;22|2|tricube;23|2|tricube;24|2|tricube;25|2|tricube;26|2|tricube;27|2|tricube;28|2|tricube;29|2|tricube;30|2|tricube;31|2|tricube;32|2|tricube;33|2|tricube;34|2|tricube;35|2|tricube"
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","LA_D1_RAW_N500__r03__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363607,20363609,20363608,20363609,20363608,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0275216653417792,0.0969257091160797,0.104452483577406,25,2,"tricube",10,3.73154811024974,0.0765045080161192,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,15.731,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0012__LA_D1_RAW_N500__r03__local_auto__screened","LA_D1_RAW_N500__r03__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363707,20363709,20363708,20363709,20363708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0263635730293026,0.0995652070813875,0.105328847898983,25,2,"tricube",30,5.53798261075453,0.0236324311065658,7,8,500,1,2,4,4,NA,NA,NA,NA,NA,NA,26.541,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
"s3r_0014__LA_D1_RAW_N500__r04__auto__screened","LA_D1_RAW_N500__r04__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,4,20364607,20364609,20364608,20364609,20364608,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.025843261723926,0.0946164799070935,0.102410344438833,25,2,"tricube",10,3.52471675271872,0.0845150864364685,7,8,500,2,2,2,1,NA,NA,NA,NA,NA,NA,15.417,21,4,4,"15;16;25;35","25|2|tricube","15|2|tricube;16|2|tricube;25|2|tricube;35|2|tricube"
