"task_id","batch_id","dataset_id","geometry_family","n","p","repetition","response_seed","fold_seed","sigma","method","chart_dim_rule","search_policy","backend_variant","design_basis","support_grid","degree_grid","kernel_grid","lambda_sync_search","status","truth_rmse","observed_rmse","selected_cv_rmse_observed","selected_support_size","selected_degree","selected_kernel","selected_lambda_sync","selected_total_local_gcv_ps","selected_sync_energy","finite_cv_candidates","total_cv_candidates","local_candidates_total","local_candidates_evaluated","local_candidates_finite","local_candidates_evaluated_supports","chart_dim_n","chart_dim_min","chart_dim_median","chart_dim_max","chart_dim_unique","timing_frame_prep_sec","timing_system_cache_sec","timing_fold_cache_sec","timing_lambda_search_sec","timing_final_solve_sec","timing_total_fit_sec","elapsed_sec"
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361609,20361608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0249649866413627,0.100274878388298,0.107529178361741,25,2,"tricube",10,3.88463982006078,0.0732149498569502,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,39.658
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361619,20361618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0236219968402948,0.0995356887569403,0.104769392975503,25,2,"tricube",30,3.76602183790925,0.0364366654659795,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,14.587
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361709,20361708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0263493414919111,0.0968082237144248,0.102193951924877,27,2,"tricube",90,3.54444054386461,0.0135957731849888,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,3,3,NA,NA,NA,NA,NA,NA,154.552
"s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,1,20361709,20361708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0264017089568749,0.0964792736975457,0.102220886874911,25,2,"tricube",90,4.89011934745946,0.0100591676857917,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,4,4,NA,NA,NA,NA,NA,NA,23.914
"s3r_0005__LA_D1_RAW_N500__r02__auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362609,20362608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0319739342724474,0.103977323518201,0.10864306947968,22,2,"tricube",90,4.71787092849457,0.0150860822255643,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,128.452
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362619,20362618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0263638024293109,0.0952173118345104,0.100098278572073,25,2,"tricube",30,3.59085720644917,0.0331429764473419,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,13.807
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362709,20362708,0.1,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0219341312247654,0.102516053011676,0.107713359570278,25,2,"tricube",90,5.29458921673487,0.00905685616596194,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,4,4,NA,NA,NA,NA,NA,NA,157.639
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,2,20362709,20362708,0.1,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0219341312247654,0.102516053011676,0.107713359570278,25,2,"tricube",90,5.29458921673487,0.00905685616596194,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,1,2,4,4,NA,NA,NA,NA,NA,NA,25.277
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363609,20363608,0.1,"ps_lps","auto","full","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.0259512838048969,0.0972409147775597,0.104194605540325,27,2,"tricube",10,3.5506943090944,0.0892054856478024,7,8,21,21,21,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,124.063
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,3,20363619,20363618,0.1,"ps_lps","auto","screened","monomial_tiny_ridge","monomial","15:35","2","tricube","guarded","ok",0.03132449513224,0.0975729576164698,0.103226283169272,25,2,"tricube",30,3.64789167376601,0.0257183694165278,7,8,21,21,4,"15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35",500,2,2,2,1,NA,NA,NA,NA,NA,NA,14.704
