"task_id","phase","value"
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","total.elapsed.sec",1.827
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_frames_sec",0.0810000000000031
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_sync_rows_sec",0.0559999999999974
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_system_cache_sec",0.00700000000000145
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_fold_component_cache_sec",0.289999999999999
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_full_component_cache_sec",0.059000000000001
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_lambda_search_sec",1.289
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","phase_final_solve_sec",0.027000000000001
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","evaluated_lambda_count",8
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","unique_lambda_count",8
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","boundary_expansion_count",2
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","total.elapsed.sec",2.502
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_frames_sec",0.0899999999999999
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_sync_rows_sec",0.0599999999999987
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_system_cache_sec",0.00900000000000034
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_fold_component_cache_sec",0.43
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_full_component_cache_sec",0.0850000000000009
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_lambda_search_sec",1.78
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","phase_final_solve_sec",0.0289999999999999
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","evaluated_lambda_count",8
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","unique_lambda_count",8
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","boundary_expansion_count",2
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","total.elapsed.sec",6.633
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","phase_frames_sec",0.287000000000006
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","phase_sync_rows_sec",0.116
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","phase_system_cache_sec",0.0119999999999862
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","phase_fold_component_cache_sec",0.926000000000002
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","phase_full_component_cache_sec",0.201000000000008
