"search_policy","chart_dim_rule","dataset_id","n","median_elapsed_sec","p90_elapsed_sec","max_elapsed_sec","median_candidates_evaluated"
"full","auto","LA-13K-SUB-N500",3,2011.879,2032.9718,2038.245,21
"screened","auto","LA-13K-SUB-N500",3,1591.022,1616.9548,1623.438,21
"full","local.auto","LA-13K-SUB-N500",2,1795.802,1834.014,1843.567,21
"screened","local.auto","LA-13K-SUB-N500",2,1266.879,1270.867,1271.864,21
"full","auto","LA-D1-HC-Bv-N500",3,126.435,127.979,128.365,21
"screened","auto","LA-D1-HC-Bv-N500",3,33.657,34.0578,34.158,21
"full","local.auto","LA-D1-HC-Bv-N500",3,133.913,134.533,134.688,21
"screened","local.auto","LA-D1-HC-Bv-N500",3,52.218,52.734,52.863,21
"full","auto","LA-D1-HC-Gv-N500",3,86.363,87.5814,87.886,21
"screened","auto","LA-D1-HC-Gv-N500",3,26.535,26.6462,26.674,21
"full","local.auto","LA-D1-HC-Gv-N500",3,106.871,107.5142,107.675,21
"screened","local.auto","LA-D1-HC-Gv-N500",3,48.781,49.1882,49.29,21
"full","auto","LA-D1-HC-Lc-N500",3,105.407,106.451,106.712,21
"screened","auto","LA-D1-HC-Lc-N500",3,29.613,30.373,30.563,21
"full","local.auto","LA-D1-HC-Lc-N500",3,142.823,143.2542,143.362,21
"screened","local.auto","LA-D1-HC-Lc-N500",3,54.707,55.3646,55.529,21
"full","auto","LA-D1-HC-Li-N500",3,84.98,85.6392,85.804,21
"screened","auto","LA-D1-HC-Li-N500",3,25.307,26.4198,26.698,21
"full","local.auto","LA-D1-HC-Li-N500",3,110.211,116.8998,118.572,21
"screened","local.auto","LA-D1-HC-Li-N500",3,48.289,55.6306,57.466,21
"full","auto","LA-D1-RAW-N500",3,124.063,127.5742,128.452,21
"screened","auto","LA-D1-RAW-N500",3,14.587,14.6806,14.704,21
"full","local.auto","LA-D1-RAW-N500",3,156.094,157.33,157.639,21
"screened","local.auto","LA-D1-RAW-N500",3,25.277,57.333,65.347,21
"full","auto","LA-D2-HC-TOP1-N500",3,441.47,458.4932,462.749,21
"screened","auto","LA-D2-HC-TOP1-N500",3,103.169,103.8682,104.043,21
"full","local.auto","LA-D2-HC-TOP1-N500",3,562.593,594.3786,602.325,21
"screened","local.auto","LA-D2-HC-TOP1-N500",3,156.46,162.1952,163.629,21
"full","auto","LA-D2-RAW-N500",3,939.12,940.7208,941.121,21
"screened","auto","LA-D2-RAW-N500",3,415.479,416.255,416.449,21
"full","local.auto","LA-D2-RAW-N500",3,855.121,863.0418,865.022,21
"screened","local.auto","LA-D2-RAW-N500",3,202.916,209.584,211.251,21
"full","auto","LA-D3-RAW-N500",3,634.445,691.3442,705.569,21
"screened","auto","LA-D3-RAW-N500",3,204.685,236.5866,244.562,21
"full","local.auto","LA-D3-RAW-N500",3,811.379,820.8606,823.231,21
"screened","local.auto","LA-D3-RAW-N500",3,202.691,204.0134,204.344,21
"full","auto","SYN-PARA-LINE-N500",3,170.789,173.921,174.704,21
"screened","auto","SYN-PARA-LINE-N500",3,106.566,115.03,117.146,21
"full","local.auto","SYN-PARA-LINE-N500",3,194.509,203.4194,205.647,21
"screened","local.auto","SYN-PARA-LINE-N500",3,145.146,164.9548,169.907,21
"full","auto","SYN-SADDLE-LINE-N500",3,137.258,145.3628,147.389,21
"screened","auto","SYN-SADDLE-LINE-N500",3,86.298,86.7644,86.881,21
"full","local.auto","SYN-SADDLE-LINE-N500",3,147.026,161.1156,164.638,21
"screened","local.auto","SYN-SADDLE-LINE-N500",3,108.147,121.9014,125.34,21
"full","auto","SYN-TWO-PLANES-N600",1,153.162,153.162,153.162,21
"screened","auto","SYN-TWO-PLANES-N600",1,92.102,92.102,92.102,21
