"task_id","dataset_id","repetition","chart_dim_rule","search_policy","selected_cv_rmse_observed","selected_support_size","selected_lambda_sync","local_candidates_evaluated","elapsed_sec"
"s3r_0105__LA_13K_SUB_N500__r03__auto__full","LA-13K-SUB-N500",3,"auto","full",0.109952467966552,35,90,21,2038.245
"s3r_0101__LA_13K_SUB_N500__r02__auto__full","LA-13K-SUB-N500",2,"auto","full",0.106368820844855,26,90,21,2011.879
"s3r_0097__LA_13K_SUB_N500__r01__auto__full","LA-13K-SUB-N500",1,"auto","full",0.108197588521079,35,90,21,1937.694
"s3r_0103__LA_13K_SUB_N500__r02__local_auto__full","LA-13K-SUB-N500",2,"local.auto","full",0.108085796465211,26,90,21,1843.567
"s3r_0099__LA_13K_SUB_N500__r01__local_auto__full","LA-13K-SUB-N500",1,"local.auto","full",0.109850889536115,25,90,21,1748.037
"s3r_0106__LA_13K_SUB_N500__r03__auto__screened","LA-13K-SUB-N500",3,"auto","screened",0.111146422965947,35,90,21,1623.438
"s3r_0102__LA_13K_SUB_N500__r02__auto__screened","LA-13K-SUB-N500",2,"auto","screened",0.109637525730477,34,90,21,1591.022
"s3r_0098__LA_13K_SUB_N500__r01__auto__screened","LA-13K-SUB-N500",1,"auto","screened",0.11106526964687,35,90,21,1415.463
"s3r_0104__LA_13K_SUB_N500__r02__local_auto__screened","LA-13K-SUB-N500",2,"local.auto","screened",0.108085796465211,26,90,21,1271.864
"s3r_0100__LA_13K_SUB_N500__r01__local_auto__screened","LA-13K-SUB-N500",1,"local.auto","screened",0.111373324959488,26,90,21,1261.894
"s3r_0069__LA_D2_RAW_N500__r03__auto__full","LA-D2-RAW-N500",3,"auto","full",0.112046350094426,34,30,21,941.121
"s3r_0065__LA_D2_RAW_N500__r02__auto__full","LA-D2-RAW-N500",2,"auto","full",0.105564354842699,30,30,21,939.12
"s3r_0061__LA_D2_RAW_N500__r01__auto__full","LA-D2-RAW-N500",1,"auto","full",0.116641402277607,31,30,21,879.088
"s3r_0071__LA_D2_RAW_N500__r03__local_auto__full","LA-D2-RAW-N500",3,"local.auto","full",0.161179756584753,30,0.000333333333333333,21,865.022
"s3r_0067__LA_D2_RAW_N500__r02__local_auto__full","LA-D2-RAW-N500",2,"local.auto","full",0.148028967737152,30,0.000333333333333333,21,855.121
"s3r_0095__LA_D3_RAW_N500__r03__local_auto__full","LA-D3-RAW-N500",3,"local.auto","full",0.154008120043232,16,30,21,823.231
"s3r_0091__LA_D3_RAW_N500__r02__local_auto__full","LA-D3-RAW-N500",2,"local.auto","full",0.159687292242078,25,0.001,21,811.379
"s3r_0063__LA_D2_RAW_N500__r01__local_auto__full","LA-D2-RAW-N500",1,"local.auto","full",0.188426463845171,26,0.001,21,785.311
"s3r_0087__LA_D3_RAW_N500__r01__local_auto__full","LA-D3-RAW-N500",1,"local.auto","full",0.155421588682302,23,0.01,21,776.367
"s3r_0093__LA_D3_RAW_N500__r03__auto__full","LA-D3-RAW-N500",3,"auto","full",0.146363069076321,17,90,21,705.569
"s3r_0085__LA_D3_RAW_N500__r01__auto__full","LA-D3-RAW-N500",1,"auto","full",0.136992459048394,17,90,21,634.445
"s3r_0075__LA_D2_HC_TOP1_N500__r01__local_auto__full","LA-D2-HC-TOP1-N500",1,"local.auto","full",0.13189750520833,22,1,21,602.325
"s3r_0089__LA_D3_RAW_N500__r02__auto__full","LA-D3-RAW-N500",2,"auto","full",0.125486332030294,16,10,21,602.305
"s3r_0083__LA_D2_HC_TOP1_N500__r03__local_auto__full","LA-D2-HC-TOP1-N500",3,"local.auto","full",0.133169654460404,27,1,21,562.593
"s3r_0079__LA_D2_HC_TOP1_N500__r02__local_auto__full","LA-D2-HC-TOP1-N500",2,"local.auto","full",0.126228895695025,35,0.1,21,550.93
