"dataset_id","status","n"
"SYN-RANK-BLOCKS-N600-P100","not_started",12
"SYN-SIMPLEX-FACES-N600","not_started",12
"SYN-TWO-PLANES-N600","not_started",3
"LA-13K-SUB-N500","ok",10
"LA-D1-HC-Bv-N500","ok",12
"LA-D1-HC-Gv-N500","ok",12
"LA-D1-HC-Lc-N500","ok",12
"LA-D1-HC-Li-N500","ok",12
"LA-D1-RAW-N500","ok",12
"LA-D2-HC-TOP1-N500","ok",12
"LA-D2-RAW-N500","ok",12
"LA-D3-RAW-N500","ok",12
"SYN-PARA-LINE-N500","ok",12
"SYN-SADDLE-LINE-N500","ok",12
"SYN-TWO-PLANES-N600","ok",2
"LA-13K-SUB-N500","stopped_by_user",2
"SYN-TWO-PLANES-N600","stopped_by_user",7
