"local.candidate.id","support.size","degree","kernel","chart.dim","chart.dim.mode","selected.lambda.sync","selected.lambda.ridge","selected.cv.rmse.observed","selected.total.local.gcv.ps","selected.sync.energy","selected.mean.sync.squared.disagreement","evaluated.lambda.count","unique.lambda.count","boundary.expansion.count","local.candidate.elapsed.sec","lambda.search.elapsed.sec","frame.prep.elapsed.sec","system.cache.elapsed.sec","fold.component.cache.elapsed.sec","final.solve.elapsed.sec","local.candidate.status","screening.cv.rmse.observed","screening.rank","screening.reason","task_id","pair_id","search_policy","chart_dim_rule","candidate_key"
1,15,2,"tricube",2,"global.auto",30,0,0.108642302225067,6.35290461364796,0.016994603305858,1.11028192883362e-06,8,8,2,2.178,1.582,0.0870000000000002,0.0129999999999999,0.304,0.024,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",30,0,0.108392434153055,5.78426307887992,0.0188640160605164,1.13905619190651e-06,8,8,2,2.028,1.499,0.101,0.0220000000000002,0.2,0.0249999999999995,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","16|2|tricube"
3,17,2,"tricube",2,"global.auto",10,0,0.10869630310298,5.19652708418546,0.0508868023709713,2.86204612162287e-06,8,8,2,1.955,1.507,0.0800000000000001,0.00699999999999967,0.221,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","17|2|tricube"
4,18,2,"tricube",2,"global.auto",10,0,0.108888212283363,4.88586264342751,0.0587446773277805,3.06040246850387e-06,8,8,2,2.015,1.53,0.077,0.00900000000000034,0.247,0.0250000000000004,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","18|2|tricube"
5,19,2,"tricube",2,"global.auto",10,0,0.108550851130342,4.63215932153351,0.0612818812070909,2.99643730139925e-06,8,8,2,2.134,1.64,0.0820000000000007,0.00799999999999912,0.251000000000001,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","19|2|tricube"
6,20,2,"tricube",2,"global.auto",10,0,0.108400559091171,4.43745640168077,0.0625108747380238,2.87589477863001e-06,8,8,2,2.048,1.521,0.0939999999999994,0.00799999999999912,0.267000000000001,0.0220000000000002,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","20|2|tricube"
7,21,2,"tricube",2,"global.auto",10,0,0.108674955663651,4.44347139503613,0.0604872996551947,2.63202500350114e-06,8,8,2,2.072,1.558,0.0800000000000001,0.0120000000000005,0.266,0.0299999999999976,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","21|2|tricube"
8,22,2,"tricube",2,"global.auto",10,0,0.108028604596151,4.28162904323364,0.0623281293705963,2.57118968417991e-06,8,8,2,2.083,1.552,0.0850000000000009,0.00800000000000267,0.273999999999997,0.027000000000001,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","22|2|tricube"
9,23,2,"tricube",2,"global.auto",10,0,0.107971867067477,4.14081948551497,0.0641995561948533,2.51760832390259e-06,8,8,2,2.226,1.667,0.0850000000000009,0.00900000000000034,0.286000000000001,0.0410000000000004,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","23|2|tricube"
10,24,2,"tricube",2,"global.auto",10,0,0.108143254076692,4.00382575857349,0.0691782834431014,2.58653756509796e-06,8,8,2,2.153,1.562,0.088000000000001,0.00900000000000034,0.320999999999998,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","24|2|tricube"
11,25,2,"tricube",2,"global.auto",10,0,0.107529178361741,3.88463982006078,0.0732149498569502,2.61375847045985e-06,8,8,2,2.054,1.488,0.0850000000000009,0.00900000000000034,0.307000000000002,0.0310000000000024,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","25|2|tricube"
12,26,2,"tricube",2,"global.auto",10,0,0.107784262049489,3.77990371491187,0.081333116907393,2.7789368836397e-06,8,8,2,2.109,1.524,0.0859999999999985,0.00799999999999912,0.318999999999999,0.0240000000000009,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","26|2|tricube"
13,27,2,"tricube",2,"global.auto",10,0,0.107663231762338,3.69415029338423,0.0888356190391869,2.9010864813849e-06,8,8,2,2.264,1.56,0.0910000000000011,0.0119999999999969,0.430000000000003,0.0259999999999998,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","27|2|tricube"
14,28,2,"tricube",2,"global.auto",10,0,0.108251300597676,3.60257972518455,0.0933825485428586,2.92739852337044e-06,8,8,2,2.31,1.56,0.093,0.0100000000000016,0.456,0.032,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","28|2|tricube"
15,29,2,"tricube",2,"global.auto",1,0,0.108933840656077,3.28361739247353,0.841067037706828,2.53746166212838e-05,8,8,2,2.187,1.535,0.0920000000000023,0.00900000000000034,0.366999999999997,0.0229999999999961,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","29|2|tricube"
16,30,2,"tricube",2,"global.auto",1,0,0.109032651563072,3.24962955419614,0.873577771458251,2.53766293179767e-05,8,8,2,2.145,1.401,0.0930000000000035,0.00900000000000034,0.460000000000001,0.0289999999999964,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","30|2|tricube"
17,31,2,"tricube",2,"global.auto",1,0,0.109045950607455,3.17791667421223,0.882961052357316,2.47199926276047e-05,8,8,2,2.293,1.528,0.0940000000000012,0.00900000000000034,0.471999999999994,0.0250000000000057,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","31|2|tricube"
18,32,2,"tricube",2,"global.auto",1,0,0.109091933866162,3.15920925036663,0.904917236058148,2.44483023812944e-05,7,7,1,2.102,1.408,0.0959999999999965,0.0150000000000006,0.384999999999998,0.0300000000000011,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","32|2|tricube"
19,33,2,"tricube",2,"global.auto",1,0,0.109164718180012,3.12883141717528,0.920208637374325,2.40338654718309e-05,7,7,1,2.115,1.337,0.0949999999999989,0.00799999999999557,0.488000000000007,0.0259999999999962,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","33|2|tricube"
20,34,2,"tricube",2,"global.auto",1,0,0.109070307927521,3.0845281250313,0.921717977721844,2.32663060688504e-05,7,7,1,2.214,1.332,0.0959999999999965,0.0150000000000006,0.497,0.0300000000000011,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","34|2|tricube"
21,35,2,"tricube",2,"global.auto",1,0,0.109095377601776,3.04403515586431,0.928649261914837,2.26701640538013e-05,7,7,1,2.13,1.314,0.0989999999999966,0.00900000000000034,0.506999999999998,0.029999999999994,"evaluated",NA,NA,"full_search","s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","full","auto","35|2|tricube"
1,15,2,"tricube",2,"global.auto",30,0,0.108642302225067,6.35290461364796,0.016994603305858,1.11028192883362e-06,8,8,2,2.017,1.535,0.0739999999999998,0.016,0.212,0.024,"evaluated",Inf,NA,"lps_selected+neighbor+guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","15|2|tricube"
2,16,2,"tricube",2,"global.auto",30,0,0.108392434153055,5.78426307887992,0.0188640160605164,1.13905619190651e-06,8,8,2,2.004,1.527,0.0889999999999995,0.0129999999999999,0.218,0.0259999999999998,"evaluated",Inf,NA,"neighbor","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","16|2|tricube"
3,17,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","17|2|tricube"
4,18,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","18|2|tricube"
5,19,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","19|2|tricube"
6,20,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","20|2|tricube"
7,21,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","21|2|tricube"
8,22,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","22|2|tricube"
9,23,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","23|2|tricube"
10,24,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","24|2|tricube"
11,25,2,"tricube",2,"global.auto",10,0,0.107529178361741,3.88463982006078,0.0732149498569502,2.61375847045985e-06,8,8,2,2.222,1.661,0.0809999999999995,0.00900000000000034,0.306000000000001,0.027000000000001,"evaluated",Inf,NA,"guard","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","25|2|tricube"
12,26,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","26|2|tricube"
13,27,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","27|2|tricube"
14,28,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","28|2|tricube"
15,29,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","29|2|tricube"
16,30,2,"tricube",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,"screened_out",Inf,NA,"screened_out","s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","screened","auto","30|2|tricube"
