"dataset_id","planned_pairs","complete_pairs","mean_delta_truth_rmse","ci95_lo","ci95_hi","median_delta_truth_rmse","median_elapsed_ratio_screened_full","median_candidates_screened","median_candidates_full","support_inclusion_rate","lambda_match_rate"
"LA-13K-SUB-N500",6,6,0.000601624279171861,-0.000726514189566229,0.00192976274790995,7.70550019300147e-05,0.709895028915777,12,21,0.166666666666667,1
"LA-D1-HC-Bv-N500",6,6,-0.000183631306560157,-0.000726040789739155,0.000358778176618841,0,0.322797122514167,4,21,0.5,0.666666666666667
"LA-D1-HC-Gv-N500",6,6,-0.000722928150893178,-0.00111808811040691,-0.000327768191379445,-0.000817525288803906,0.370002280568404,4,21,0.166666666666667,0.666666666666667
"LA-D1-HC-Lc-N500",6,6,-3.61453068110802e-05,-0.00118270986190168,0.00111041924827952,-1.45598098373351e-05,0.322741658941329,4,21,0.166666666666667,0.666666666666667
"LA-D1-HC-Li-N500",6,6,0.00591648285523027,-0.00492781243011492,0.0167607781405755,0.000978762470594788,0.381164096459465,4,21,0,0.833333333333333
"LA-D1-RAW-N500",6,6,-0.000410773466463172,-0.00154342979088854,0.000721882857962195,0,0.338019634527409,4,21,0.333333333333333,0.666666666666667
"LA-D2-HC-TOP1-N500",6,6,0.00947556443258576,-0.00853711506589755,0.0274882439310691,0,0.254594415761548,4,21,0.333333333333333,0.833333333333333
"LA-D2-RAW-N500",6,6,0.000171048723112469,-0.000967341486299801,0.00130943893252474,0.000169394345765,0.308719311322317,5,21,0.333333333333333,1
"LA-D3-RAW-N500",6,6,0.0135537896866588,0.0012835918349283,0.0258239875383893,0.00835083368368724,0.273711549307376,4.5,21,0.333333333333333,0.333333333333333
"SYN-PARA-LINE-N500",6,6,-0.000464611084153417,-0.00127692758901318,0.00034770542070635,-0.000290446973800606,0.66475422992174,11,21,0.166666666666667,0.166666666666667
"SYN-RANK-BLOCKS-N600-P100",6,6,0.00154319582835599,0.000108250990185022,0.00297814066652695,0.00100690378253143,0.808835882023275,12,21,0.5,0.5
"SYN-SADDLE-LINE-N500",6,6,-6.99435161165297e-05,-0.000207032807704928,6.71457754718685e-05,0,0.659031979529826,11,21,0.833333333333333,0.833333333333333
"SYN-SIMPLEX-FACES-N600",6,6,0.000510166908933264,-0.000591396398115018,0.00161173021598155,0.000107271757860664,0.256538783801724,4,21,0.166666666666667,0.666666666666667
"SYN-TWO-PLANES-N600",6,6,-0.000332438392347345,-0.000984017641348142,0.000319140856653452,0,0.634349727161206,11,21,0.833333333333333,0.833333333333333
