"task_id","pair_id","batch_id","dataset_id","geometry_family","n","p","asset_path","source_sha256","repetition","pair_seed_base","pair_fold_seed","pair_response_seed","replicate_seed","fold_seed","response_seed","method","chart_dim_rule","search_policy","backend_variant","design_basis","design_drop_tol","ridge_multiplier_grid","ridge_condition_max","support_grid","degree_grid","kernel_grid","lambda_sync_grid","lambda_sync_search","local_candidate_search","local_candidate_search_control","result_path","status_path","log_path","skip_if_complete","status","status_file_exists","result_file_exists","elapsed_sec","started_at","finished_at","error_class","error_message"
"s3r_0001__LA_D1_RAW_N500__r01__auto__full","LA_D1_RAW_N500__r01__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",1,20361607,20361608,20361609,20361607,20361608,20361609,"ps_lps","auto","full","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0001__LA_D1_RAW_N500__r01__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0001__LA_D1_RAW_N500__r01__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0001__LA_D1_RAW_N500__r01__auto__full.log",TRUE,"ok",TRUE,TRUE,47.017,"2026-06-07 16:02:31 EDT","2026-06-07 16:03:18 EDT",NA,NA
"s3r_0002__LA_D1_RAW_N500__r01__auto__screened","LA_D1_RAW_N500__r01__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",1,20361607,20361608,20361609,20361607,20361608,20361609,"ps_lps","auto","screened","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0002__LA_D1_RAW_N500__r01__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0002__LA_D1_RAW_N500__r01__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0002__LA_D1_RAW_N500__r01__auto__screened.log",TRUE,"ok",TRUE,TRUE,12.472,"2026-06-07 16:02:31 EDT","2026-06-07 16:02:43 EDT",NA,NA
"s3r_0003__LA_D1_RAW_N500__r01__local_auto__full","LA_D1_RAW_N500__r01__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",1,20361707,20361708,20361709,20361707,20361708,20361709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0003__LA_D1_RAW_N500__r01__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0003__LA_D1_RAW_N500__r01__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0003__LA_D1_RAW_N500__r01__local_auto__full.log",TRUE,"ok",TRUE,TRUE,57.52,"2026-06-07 16:02:31 EDT","2026-06-07 16:03:28 EDT",NA,NA
"s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened","LA_D1_RAW_N500__r01__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",1,20361707,20361708,20361709,20361707,20361708,20361709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0004__LA_D1_RAW_N500__r01__local_auto__screened.log",TRUE,"ok",TRUE,TRUE,21.657,"2026-06-07 16:02:31 EDT","2026-06-07 16:02:52 EDT",NA,NA
"s3r_0005__LA_D1_RAW_N500__r02__auto__full","LA_D1_RAW_N500__r02__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",2,20362607,20362608,20362609,20362607,20362608,20362609,"ps_lps","auto","full","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0005__LA_D1_RAW_N500__r02__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0005__LA_D1_RAW_N500__r02__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0005__LA_D1_RAW_N500__r02__auto__full.log",TRUE,"ok",TRUE,TRUE,47.808,"2026-06-07 16:02:31 EDT","2026-06-07 16:03:19 EDT",NA,NA
"s3r_0006__LA_D1_RAW_N500__r02__auto__screened","LA_D1_RAW_N500__r02__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",2,20362607,20362608,20362609,20362607,20362608,20362609,"ps_lps","auto","screened","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0006__LA_D1_RAW_N500__r02__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0006__LA_D1_RAW_N500__r02__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0006__LA_D1_RAW_N500__r02__auto__screened.log",TRUE,"ok",TRUE,TRUE,13.6,"2026-06-07 16:02:31 EDT","2026-06-07 16:02:44 EDT",NA,NA
"s3r_0007__LA_D1_RAW_N500__r02__local_auto__full","LA_D1_RAW_N500__r02__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",2,20362707,20362708,20362709,20362707,20362708,20362709,"ps_lps","local.auto","full","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0007__LA_D1_RAW_N500__r02__local_auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0007__LA_D1_RAW_N500__r02__local_auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0007__LA_D1_RAW_N500__r02__local_auto__full.log",TRUE,"ok",TRUE,TRUE,57.885,"2026-06-07 16:02:31 EDT","2026-06-07 16:03:29 EDT",NA,NA
"s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened","LA_D1_RAW_N500__r02__local_auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",2,20362707,20362708,20362709,20362707,20362708,20362709,"ps_lps","local.auto","screened","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0008__LA_D1_RAW_N500__r02__local_auto__screened.log",TRUE,"ok",TRUE,TRUE,22.162,"2026-06-07 16:02:31 EDT","2026-06-07 16:02:53 EDT",NA,NA
"s3r_0009__LA_D1_RAW_N500__r03__auto__full","LA_D1_RAW_N500__r03__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",3,20363607,20363608,20363609,20363607,20363608,20363609,"ps_lps","auto","full","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","full",NA,"/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0009__LA_D1_RAW_N500__r03__auto__full.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0009__LA_D1_RAW_N500__r03__auto__full.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0009__LA_D1_RAW_N500__r03__auto__full.log",TRUE,"ok",TRUE,TRUE,45.792,"2026-06-07 16:02:31 EDT","2026-06-07 16:03:17 EDT",NA,NA
"s3r_0010__LA_D1_RAW_N500__r03__auto__screened","LA_D1_RAW_N500__r03__auto","FB01","LA-D1-RAW-N500","VALENCIA depth-1 dCST",500,4,"/Users/pgajer/current_projects/geosmooth/split_handoffs/lps_local_auto_nonmanifold_first_batch_2026-06-05/assets/LA-D1-RAW-N500.rds","03498fe04feb38a76784fb1a2611ec0ffcb8bca7052cf0f20687c9f0dd853132",3,20363607,20363608,20363609,20363607,20363608,20363609,"ps_lps","auto","screened","monomial_tiny_ridge","monomial",1e-08,1e-08,Inf,"15:35",2,"tricube","0;0.001;0.01;0.1;1;10","guarded","screened","top.n=8;max.candidates=12;neighbor.radius=1;guard.support.quantiles=0|0.5|1","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/results/s3r_0010__LA_D1_RAW_N500__r03__auto__screened.rds","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/status/s3r_0010__LA_D1_RAW_N500__r03__auto__screened.json","/Users/pgajer/current_projects/geosmooth/split_handoffs/ps_lps_s3r_light_seedmatched_20260607_002/logs/s3r_0010__LA_D1_RAW_N500__r03__auto__screened.log",TRUE,"ok",TRUE,TRUE,13.726,"2026-06-07 16:02:31 EDT","2026-06-07 16:02:44 EDT",NA,NA
